Tarih,TP_KM_F12
2000-01-01,157622.0
2000-02-01,159094.0
2000-03-01,135445.0
2000-04-01,135763.0
2000-05-01,136524.0
2000-06-01,138000.0
2000-07-01,137030.0
2000-08-01,134283.0
2000-09-01,188047.0
2000-10-01,181371.0
2000-11-01,252836.0
2000-12-01,120305.0
2001-01-01,164463.0
2001-02-01,122928.0
2001-03-01,28643.0
2001-04-01,45100.0
2001-05-01,33677.0
2001-06-01,51832.0
2001-07-01,74089.0
2001-08-01,87970.0
2001-09-01,713477.0
2001-10-01,721799.0
2001-11-01,729200.0
2001-12-01,732516.0
2002-01-01,751037.0
2002-02-01,803087.0
2002-03-01,1110324.0
2002-04-01,833155.0
2002-05-01,511460.0
2002-06-01,353180.0
2002-07-01,332623.0
2002-08-01,433310.0
2002-09-01,539549.0
2002-10-01,660574.0
2002-11-01,771167.0
2002-12-01,331467.0
2003-01-01,388828.0
2003-02-01,533744.0
2003-03-01,443916.0
2003-04-01,370514.0
2003-05-01,333516.0
2003-06-01,378389.0
2003-07-01,398170.0
2003-08-01,435667.0
2003-09-01,534988.0
2003-10-01,536666.0
2003-11-01,498048.0
2003-12-01,504694.0
2004-01-01,313857.0
2004-02-01,525480.0
2004-03-01,681920.0
2004-04-01,377680.0
2004-05-01,396289.0
2004-06-01,454073.0
2004-07-01,309708.0
2004-08-01,423919.0
2004-09-01,453838.0
2004-10-01,487242.0
2004-11-01,447248.0
2004-12-01,631768.0
2005-01-01,733443.0
2005-02-01,675054.0
2005-03-01,734822.0
2005-04-01,682464.0
2005-05-01,828048.0
2005-06-01,707477.0
2005-07-01,1026734.0
2005-08-01,744436.0
2005-09-01,604780.0
2005-10-01,805192.0
2005-11-01,669328.0
2005-12-01,461438.0
2006-01-01,1186377.0
2006-02-01,1076625.0
2006-03-01,1579517.0
2006-04-01,1502778.0
2006-05-01,2099642.0
2006-06-01,2532165.0
2006-07-01,2430077.0
2006-08-01,1987851.0
2006-09-01,1736511.0
2006-10-01,1824184.0
