Tarih,TP_GSYIH03_GY_CF
2000-01-01,2058356.98637374
2000-04-01,2326810.93676757
2000-07-01,2550543.882166729
2000-10-01,2633400.20881725
2001-01-01,2650849.343285989
2001-04-01,3096161.4393866
2001-07-01,3652792.15893837
2001-10-01,3886175.71783814
2002-01-01,3932134.53745279
2002-04-01,4364254.52724414
2002-07-01,4979620.35161762
2002-10-01,5225825.29056668
2003-01-01,5879505.529307919
2003-04-01,6069153.627362499
2003-07-01,6638385.26580198
2003-10-01,6950538.54887545
2004-01-01,7098855.93785974
2004-04-01,7409510.284329709
2004-07-01,7976473.40181284
2004-10-01,8137917.01122444
2005-01-01,8340609.42530826
2005-04-01,8655433.30945149
2005-07-01,9039631.58131034
2005-10-01,9461080.15997427
2006-01-01,9487165.59288443
2006-04-01,9791085.73666102
2006-07-01,10418136.429832
2006-10-01,10964361.27355859
2007-01-01,10718046.24428929
2007-04-01,11127338.91525059
2007-07-01,11942346.65620229
2007-10-01,12412411.16264789
2008-01-01,12386667.6048422
2008-04-01,12909251.3657673
2008-07-01,13582901.84539129
2008-10-01,13562509.60310179
2009-01-01,12319413.7577797
2009-04-01,12601095.3007964
2009-07-01,13392869.33989829
2009-10-01,13688470.8220534
2010-01-01,14158294.74371
2010-04-01,14968410.219264
2010-07-01,15772304.42411229
2010-10-01,16407643.1714698
2011-01-01,16939329.85663269
2011-04-01,17645114.0342141
2011-07-01,18847534.8695143
2011-10-01,19298607.46676849
2012-01-01,19998275.7812797
2012-04-01,20944140.0171778
2012-07-01,22421502.1429062
2012-10-01,22935657.2794483
2013-01-01,23752172.21287859
2013-04-01,24658522.5522901
2013-07-01,26123215.6888489
2013-10-01,26532115.7790279
2014-01-01,27681284.77202039
2014-04-01,29527464.20701229
2014-07-01,30727231.5754637
2014-10-01,31143967.0827725
2015-01-01,33090563.88745599
2015-04-01,34432752.4730826
2015-07-01,36399153.3818456
2015-10-01,37039965.44262959
2016-01-01,41007662.85453549
2016-04-01,42103156.7693637
2016-07-01,43162328.48254989
2016-10-01,43817828.1198266
2017-01-01,45057183.45213039
2017-04-01,47596590.4453992
2017-07-01,49305171.10027799
2017-10-01,50614043.5967369
2018-01-01,55035122.11339619
2018-04-01,57282569.78530439
2018-07-01,59080511.12997359
2018-10-01,59882457.8887599
2019-01-01,65684507.0683306
2019-04-01,69303877.48985998
2019-07-01,71736276.0154311
2019-10-01,73183117.7023123
2020-01-01,79355623.2131229
2020-04-01,70150409.4583669
2020-07-01,81941807.6752552
2020-10-01,87196553.9202259
2021-01-01,99190906.3033706
2021-04-01,106603835.4736749
2021-07-01,116507686.422379
2021-10-01,123639595.444672
2022-01-01,161763491.347595
2022-04-01,180678941.0110299
2022-07-01,231011433.2053759
2022-10-01,251071021.8545989
2023-01-01,393695457.181544
2023-04-01,378226578.663576
2023-07-01,486926841.6654189
2023-10-01,519820512.3869019
2024-01-01,748907607.084905
2024-04-01,788561182.19252
2024-07-01,846103335.524813
2024-10-01,892300526.1606299
2025-01-01,1027423514.007169
2025-04-01,1089011551.050329
