Tarih,TP_GSYIH16_GY_CF
2000-01-01,22614549.09673409
2000-04-01,26072960.00601109
2000-07-01,30991483.8036913
2000-10-01,28427814.71040179
2001-01-01,31720207.95315859
2001-04-01,38506952.21883869
2001-07-01,46279435.5992607
2001-10-01,43233616.942579
2002-01-01,47135653.36615829
2002-04-01,54816232.5036955
2002-07-01,66521900.47716219
2002-10-01,62371265.80150029
2003-01-01,63424467.74314749
2003-04-01,70772703.54804298
2003-07-01,83859685.399599
2003-10-01,78772029.3813275
2004-01-01,77269476.232008
2004-04-01,88465897.1323949
2004-07-01,103791106.490794
2004-10-01,99123295.2869928
2005-01-01,92153027.1384382
2005-04-01,101924936.891726
2005-07-01,118663649.4611079
2005-10-01,116804007.468272
2006-01-01,102914688.314493
2006-04-01,123642036.278409
2006-07-01,139829610.10029
2006-10-01,137899281.5040319
2007-01-01,122237294.589614
2007-04-01,137225255.553027
2007-07-01,152086077.8901509
2007-10-01,154780100.7855579
2008-01-01,141712848.4908669
2008-04-01,162387904.0509069
2008-07-01,175051429.8252049
2008-10-01,164519293.023146
2009-01-01,131927666.215388
2009-04-01,153652452.166007
2009-07-01,176599091.7346509
2009-10-01,176768043.5892379
2010-01-01,143926085.250164
2010-04-01,171305879.6345239
2010-07-01,203671357.8056389
2010-10-01,202528341.190135
2011-01-01,175109480.9466139
2011-04-01,207361667.2989119
2011-07-01,242574044.534718
2011-10-01,249117503.814132
2012-01-01,198824619.1858269
2012-04-01,234310782.166586
2012-07-01,266850599.509342
2012-10-01,267482239.8601529
2013-01-01,223426040.4090729
2013-04-01,264356693.595036
2013-07-01,307075542.023836
2013-10-01,306357543.8201349
2014-01-01,269753760.7203279
2014-04-01,291297920.404603
2014-07-01,337062696.030263
2014-10-01,336427041.269832
2015-01-01,273901607.2831599
2015-04-01,330766778.6069409
2015-07-01,384774200.445903
2015-10-01,394633588.0631549
2016-01-01,302460149.3260539
2016-04-01,358588806.6913719
2016-07-01,388041031.2783259
2016-10-01,443538146.1573569
2017-01-01,369934161.4592919
2017-04-01,429868414.562092
2017-07-01,514234916.725669
2017-10-01,555595911.09903
2018-01-01,460921223.1096289
2018-04-01,541942510.9956769
2018-07-01,663271227.030183
2018-10-01,659760759.2842458
2019-01-01,545441444.1989179
2019-04-01,621797254.945082
2019-07-01,730856864.434499
2019-10-01,759051610.089904
2020-01-01,623888678.5972139
2020-04-01,629539051.1700969
2020-07-01,914329978.6941729
2020-10-01,988647777.0620939
2021-01-01,859347843.486557
2021-04-01,1026951578.63431
2021-07-01,1280370266.994199
2021-10-01,1620531293.83535
2022-01-01,1620460444.6375
2022-04-01,2374107969.80522
2022-07-01,2928892000.0892
2022-10-01,3329623474.58125
2023-01-01,2788769205.032279
2023-04-01,3461501882.734509
2023-07-01,4865565441.275759
2023-10-01,5543528277.682089
2024-01-01,4895965056.410909
2024-04-01,5633682816.69021
2024-07-01,7322574121.286149
2024-10-01,7815902539.864689
2025-01-01,6577486292.67492
2025-04-01,8180142371.37644
