Tarih,TP_GSYIH04_GY_CF
2000-01-01,571186.554456332
2000-04-01,1135865.02338372
2000-07-01,1291136.516408819
2000-10-01,1202420.808396149
2001-01-01,631357.329487208
2001-04-01,1197286.56840773
2001-07-01,1348677.4012024
2001-10-01,1240437.51569006
2002-01-01,818969.209382535
2002-04-01,1574312.77452324
2002-07-01,1793704.999236739
2002-10-01,1679477.7544931
2003-01-01,1155969.18497814
2003-04-01,2170664.500304719
2003-07-01,2391068.30992659
2003-10-01,2142791.3224351
2004-01-01,1483855.007221269
2004-04-01,2887165.739557529
2004-07-01,3223939.085608089
2004-10-01,2888676.767098689
2005-01-01,2368333.10590273
2005-04-01,3251418.464173669
2005-07-01,3905337.76701848
2005-10-01,3734376.589283669
2006-01-01,2626181.64669753
2006-04-01,3959701.39641311
2006-07-01,4731273.979136359
2006-10-01,4438065.77392913
2007-01-01,3422697.879123489
2007-04-01,4527528.073214639
2007-07-01,5265021.159329599
2007-10-01,4700680.251260479
2008-01-01,4153681.83148143
2008-04-01,5493950.526435719
2008-07-01,5794962.0689236
2008-10-01,5069320.18015902
2009-01-01,3716183.317023689
2009-04-01,4496352.26179817
2009-07-01,4950062.76319928
2009-10-01,4777769.261224069
2010-01-01,4604564.683144539
2010-04-01,5647075.90298165
2010-07-01,5963758.176428769
2010-10-01,5819062.74166469
2011-01-01,5764820.535107599
2011-04-01,6904082.8277262
2011-07-01,7432980.246039619
2011-10-01,7040767.48205691
2012-01-01,6433939.02463524
2012-04-01,7735029.99230607
2012-07-01,8364632.23239691
2012-10-01,8376445.50970841
2013-01-01,7920299.637324989
2013-04-01,9227016.53314023
2013-07-01,9728092.14703124
2013-10-01,9565642.22196416
2014-01-01,9505527.16064313
2014-04-01,10620386.65934539
2014-07-01,10956430.51113389
2014-10-01,10721343.68988309
2015-01-01,10891678.9334442
2015-04-01,12109050.2696399
2015-07-01,12980275.99385589
2015-10-01,13294408.81316619
2016-01-01,14497372.8768828
2016-04-01,16096950.89501529
2016-07-01,16094157.1343316
2016-10-01,16573908.17239109
2017-01-01,15855158.55547159
2017-04-01,17972687.48541349
2017-07-01,18742445.4685033
2017-10-01,19556428.3192209
2018-01-01,19748496.66112909
2018-04-01,20956932.39960189
2018-07-01,20967909.5291244
2018-10-01,19278634.4038673
2019-01-01,18544795.40855589
2019-04-01,19343288.6415526
2019-07-01,19314678.5814506
2019-10-01,19423121.61644029
2020-01-01,19014149.15312629
2020-04-01,17528122.44339559
2020-07-01,21718561.91685809
2020-10-01,22625103.48689759
2021-01-01,25051740.347608
2021-04-01,27573557.22899379
2021-07-01,30298610.077702
2021-10-01,31697173.7597507
2022-01-01,38001611.93074789
2022-04-01,42305574.199096
2022-07-01,57258801.0141125
2022-10-01,63058818.32939559
2023-01-01,91144811.8476879
2023-04-01,97239249.678276
2023-07-01,139576361.721655
2023-10-01,148801584.148021
2024-01-01,206244283.399627
2024-04-01,218943631.6891939
2024-07-01,242148652.797522
2024-10-01,257444502.923078
2025-01-01,296865182.063184
2025-04-01,324807054.7715619
