Tarih,TP_GSYIH14_GY_CF
2000-01-01,9666357.8147817
2000-04-01,11190148.1475498
2000-07-01,11970831.4868867
2000-10-01,12696795.445186
2001-01-01,12092285.26856539
2001-04-01,14633186.0773449
2001-07-01,16382161.654716
2001-10-01,18018247.5071874
2002-01-01,19295182.558933
2002-04-01,21705354.94354499
2002-07-01,23472997.41427589
2002-10-01,25620326.31438289
2003-01-01,26665085.8536859
2003-04-01,28913007.43715209
2003-07-01,30898652.49917389
2003-10-01,32005253.8280829
2004-01-01,32908427.9363943
2004-04-01,35296902.0357346
2004-07-01,37369955.34768919
2004-10-01,39326610.1249686
2005-01-01,38141521.6371982
2005-04-01,40940366.69512339
2005-07-01,44495556.79105129
2005-10-01,45600662.6782744
2006-01-01,43968109.849779
2006-04-01,48354323.7631039
2006-07-01,51460343.4495135
2006-10-01,53376906.3366217
2007-01-01,52256372.0228245
2007-04-01,55140903.49633529
2007-07-01,59270577.82039909
2007-10-01,60465606.68655399
2008-01-01,60149440.73128309
2008-04-01,63728126.8611145
2008-07-01,66799089.8432108
2008-10-01,66649545.97680749
2009-01-01,63675326.4173863
2009-04-01,65886914.03076259
2009-07-01,69072056.4753936
2009-10-01,70612138.3552493
2010-01-01,73945081.5482378
2010-04-01,77502951.6125432
2010-07-01,80886897.2949736
2010-10-01,82415971.65200178
2011-01-01,87162687.8138772
2011-04-01,91359223.15001298
2011-07-01,96556366.3988692
2011-10-01,97372671.68849158
2012-01-01,101956403.800969
2012-04-01,109110035.838815
2012-07-01,114319891.799664
2012-10-01,114647089.8194759
2013-01-01,120911546.5409789
2013-04-01,126599710.3319109
2013-07-01,132266731.9815399
2013-10-01,128645521.248897
2014-01-01,138779143.379052
2014-04-01,143800684.7533879
2014-07-01,154446610.366941
2014-10-01,156429094.6862519
2015-01-01,165110605.6359179
2015-04-01,169943073.5786519
2015-07-01,178960763.097584
2015-10-01,180936365.545208
2016-01-01,204580383.068251
2016-04-01,210432858.659855
2016-07-01,210782399.5369409
2016-10-01,215969121.4504599
2017-01-01,225109986.0445559
2017-04-01,235099031.4286519
2017-07-01,240848257.869695
2017-10-01,247488435.6024819
2018-01-01,268383139.585451
2018-04-01,276932204.629242
2018-07-01,285678156.853689
2018-10-01,288411463.8202769
2019-01-01,321469778.658482
2019-04-01,334527160.20709
2019-07-01,342255314.881492
2019-10-01,346721433.675068
2020-01-01,376990049.027691
2020-04-01,340261270.4289669
2020-07-01,379373924.9908909
2020-10-01,392886916.002444
2021-01-01,442353858.114372
2021-04-01,465408899.8127509
2021-07-01,520220655.5350019
2021-10-01,542235822.312169
2022-01-01,706718010.7938749
2022-04-01,774025054.19466
2022-07-01,1019377968.425879
2022-10-01,1087488598.46934
2023-01-01,1594682472.10364
2023-04-01,1670973157.264219
2023-07-01,2208203785.03309
2023-10-01,2281655985.608019
2024-01-01,3331860251.388319
2024-04-01,3495133376.071839
2024-07-01,3849543368.757219
2024-10-01,3994207229.95802
2025-01-01,4763086697.54244
2025-04-01,4964337430.43612
