Tarih,TP_AC2_TOP_A
2015-10-01,5201.0
2015-11-01,5519.0
2015-12-01,6215.0
2016-01-01,6894.0
2016-02-01,6364.0
2016-03-01,7117.0
2016-04-01,5860.0
2016-05-01,5422.0
2016-06-01,5571.0
2016-07-01,3136.0
2016-08-01,4533.0
2016-09-01,3745.0
2016-10-01,5362.0
2016-11-01,5592.0
2016-12-01,4885.0
2017-01-01,6275.0
2017-02-01,5617.0
2017-03-01,6146.0
2017-04-01,6446.0
2017-05-01,6250.0
2017-06-01,6039.0
2017-07-01,5269.0
2017-08-01,6674.0
2017-09-01,5105.0
2017-10-01,6992.0
2017-11-01,6971.0
2017-12-01,5998.0
2018-01-01,9631.0
2018-02-01,7167.0
2018-03-01,7580.0
2018-04-01,8563.0
2018-05-01,8297.0
2018-06-01,5599.0
2018-07-01,6871.0
2018-08-01,5536.0
2018-09-01,6394.0
2018-10-01,7160.0
2018-11-01,7110.0
2018-12-01,6441.0
2019-01-01,8367.0
2019-02-01,6772.0
2019-03-01,7151.0
2019-04-01,6789.0
2019-05-01,6798.0
2019-06-01,4641.0
2019-07-01,7301.0
2019-08-01,5390.0
2019-09-01,7805.0
2019-10-01,8464.0
2019-11-01,7833.0
2019-12-01,7952.0
2020-01-01,10591.0
2020-02-01,9287.0
2020-03-01,8425.0
2020-04-01,2878.0
2020-05-01,3479.0
2020-06-01,9719.0
2020-07-01,10394.0
2020-08-01,9496.0
2020-09-01,10764.0
2020-10-01,10419.0
2020-11-01,8782.0
2020-12-01,8560.0
2021-01-01,11428.0
2021-02-01,10001.0
2021-03-01,11034.0
2021-04-01,8707.0
2021-05-01,4542.0
2021-06-01,9680.0
2021-07-01,6847.0
2021-08-01,8900.0
2021-09-01,10316.0
2021-10-01,9463.0
2021-11-01,10302.0
2021-12-01,9905.0
2022-01-01,11526.0
2022-02-01,9987.0
2022-03-01,11361.0
2022-04-01,10914.0
2022-05-01,9556.0
2022-06-01,13562.0
2022-07-01,8467.0
2022-08-01,12382.0
2022-09-01,13190.0
2022-10-01,12632.0
2022-11-01,13373.0
2022-12-01,15264.0
2023-01-01,14462.0
2023-02-01,9683.0
2023-03-01,11581.0
2023-04-01,9400.0
2023-05-01,10336.0
2023-06-01,9656.0
2023-07-01,9608.0
2023-08-01,10844.0
2023-09-01,11272.0
2023-10-01,11444.0
2023-11-01,10663.0
2023-12-01,12781.0
2024-01-01,11045.0
2024-02-01,10233.0
2024-03-01,9014.0
2024-04-01,6586.0
2024-05-01,10355.0
2024-06-01,6759.0
2024-07-01,9980.0
2024-08-01,9482.0
2024-09-01,10491.0
2024-10-01,11044.0
2024-11-01,10301.0
2024-12-01,12847.0
2025-01-01,11202.0
2025-02-01,9315.0
2025-03-01,8557.0
2025-04-01,7719.0
2025-05-01,8956.0
2025-06-01,7465.0
2025-07-01,9946.0
2025-08-01,9328.0
