Tarih,TP_AC2_LTD_A
2015-10-01,4068.0
2015-11-01,4338.0
2015-12-01,4803.0
2016-01-01,5652.0
2016-02-01,5061.0
2016-03-01,5708.0
2016-04-01,4661.0
2016-05-01,4208.0
2016-06-01,4371.0
2016-07-01,2415.0
2016-08-01,3665.0
2016-09-01,3021.0
2016-10-01,4358.0
2016-11-01,4486.0
2016-12-01,3843.0
2017-01-01,5185.0
2017-02-01,4568.0
2017-03-01,5006.0
2017-04-01,5200.0
2017-05-01,5048.0
2017-06-01,4887.0
2017-07-01,4232.0
2017-08-01,5407.0
2017-09-01,4196.0
2017-10-01,5728.0
2017-11-01,5678.0
2017-12-01,4896.0
2018-01-01,7964.0
2018-02-01,5912.0
2018-03-01,6316.0
2018-04-01,7314.0
2018-05-01,7096.0
2018-06-01,4683.0
2018-07-01,5924.0
2018-08-01,4784.0
2018-09-01,5529.0
2018-10-01,6191.0
2018-11-01,6081.0
2018-12-01,5474.0
2019-01-01,7275.0
2019-02-01,5800.0
2019-03-01,6058.0
2019-04-01,5774.0
2019-05-01,5733.0
2019-06-01,3954.0
2019-07-01,6279.0
2019-08-01,4583.0
2019-09-01,6651.0
2019-10-01,7214.0
2019-11-01,6647.0
2019-12-01,6673.0
2020-01-01,9087.0
2020-02-01,7883.0
2020-03-01,7205.0
2020-04-01,2365.0
2020-05-01,2951.0
2020-06-01,8282.0
2020-07-01,8856.0
2020-08-01,8090.0
2020-09-01,9198.0
2020-10-01,8839.0
2020-11-01,7400.0
2020-12-01,7102.0
2021-01-01,9954.0
2021-02-01,8525.0
2021-03-01,9382.0
2021-04-01,7363.0
2021-05-01,3877.0
2021-06-01,8306.0
2021-07-01,5793.0
2021-08-01,7686.0
2021-09-01,8913.0
2021-10-01,8174.0
2021-11-01,8693.0
2021-12-01,8375.0
2022-01-01,10072.0
2022-02-01,8566.0
2022-03-01,9737.0
2022-04-01,9351.0
2022-05-01,8295.0
2022-06-01,11704.0
2022-07-01,7247.0
2022-08-01,10699.0
2022-09-01,11396.0
2022-10-01,10901.0
2022-11-01,11480.0
2022-12-01,12961.0
2023-01-01,12552.0
2023-02-01,8276.0
2023-03-01,9917.0
2023-04-01,8086.0
2023-05-01,8848.0
2023-06-01,8403.0
2023-07-01,8188.0
2023-08-01,9298.0
2023-09-01,9563.0
2023-10-01,9614.0
2023-11-01,9026.0
2023-12-01,10174.0
2024-01-01,9603.0
2024-02-01,8885.0
2024-03-01,7767.0
2024-04-01,5641.0
2024-05-01,8992.0
2024-06-01,5820.0
2024-07-01,8605.0
2024-08-01,8144.0
2024-09-01,9072.0
2024-10-01,9485.0
2024-11-01,8882.0
2024-12-01,10944.0
2025-01-01,9877.0
2025-02-01,8132.0
2025-03-01,7402.0
2025-04-01,6795.0
2025-05-01,7860.0
2025-06-01,6495.0
2025-07-01,8687.0
2025-08-01,8172.0
