Tarih,TP_AC2_ANO_S
2015-04-01,766201826.0
2015-05-01,480396945.0
2015-06-01,496932652.0
2015-07-01,471233221.0
2015-08-01,478944892.0
2015-09-01,649485868.0
2015-10-01,717519912.0
2015-11-01,526952752.0
2015-12-01,823668127.0
2016-01-01,1223648007.0
2016-02-01,539922002.0
2016-03-01,567786561.0
2016-04-01,647132981.0
2016-05-01,786711181.0
2016-06-01,2953838474.0
2016-07-01,523031729.0
2016-08-01,435164796.0
2016-09-01,328853000.0
2016-10-01,344754633.0
2016-11-01,1925703796.0
2016-12-01,483584839.0
2017-01-01,1296756800.0
2017-02-01,578160692.0
2017-03-01,506803090.0
2017-04-01,1297400914.0
2017-05-01,1090367903.0
2017-06-01,613448740.0
2017-07-01,744055071.0
2017-08-01,1526816934.0
2017-09-01,8862194061.0
2017-10-01,1026774582.0
2017-11-01,824419265.0
2017-12-01,781834057.0
2018-01-01,775104151.0
2018-02-01,681545101.0
2018-03-01,754944343.0
2018-04-01,634842648.0
2018-05-01,819999083.0
2018-06-01,726691946.0
2018-07-01,981124064.0
2018-08-01,285440319.0
2018-09-01,467637819.0
2018-10-01,518443422.0
2018-11-01,1662174272.0
2018-12-01,707535220.0
2019-01-01,684573146.0
2019-02-01,871439573.0
2019-03-01,694279365.0
2019-04-01,427482202.0
2019-05-01,573227741.0
2019-06-01,507391274.0
2019-07-01,943430314.0
2019-08-01,404853927.0
2019-09-01,1451462895.0
2019-10-01,1770925054.0
2019-11-01,892348393.0
2019-12-01,6019325701.0
2020-01-01,876468422.0
2020-02-01,553894843.0
2020-03-01,908287977.0
2020-04-01,489468945.0
2020-05-01,329292585.0
2020-06-01,1816139357.0
2020-07-01,742082899.0
2020-08-01,4898994305.0
2020-09-01,1448019017.0
2020-10-01,876954446.0
2020-11-01,847555782.0
2020-12-01,1657645704.0
2021-01-01,1753991150.0
2021-02-01,866849302.0
2021-03-01,13998305320.0
2021-04-01,1784442449.0
2021-05-01,1616269925.0
2021-06-01,1499920139.0
2021-07-01,2491407635.0
2021-08-01,1187892546.0
2021-09-01,1507096062.0
2021-10-01,2551429728.0
2021-11-01,1491641036.0
2021-12-01,2870481426.0
2022-01-01,1040958531.0
2022-02-01,1646507155.0
2022-03-01,2005594173.0
2022-04-01,1872590553.0
2022-05-01,2374352321.0
2022-06-01,3271273992.0
2022-07-01,2639312789.0
2022-08-01,8226272843.0
2022-09-01,2417578595.0
2022-10-01,3573047823.0
2022-11-01,3908387934.0
2022-12-01,6649601061.0
2023-01-01,3613654832.0
2023-02-01,2961382486.0
2023-03-01,4110119954.0
2023-04-01,4816590878.0
2023-05-01,2668962383.0
2023-06-01,2821865335.0
2023-07-01,5424057900.0
2023-08-01,3711116770.0
2023-09-01,6704981500.0
2023-10-01,6346254412.0
2023-11-01,11144545659.0
2023-12-01,173983042630.0
2024-01-01,4848097778.0
2024-02-01,5651236554.0
2024-03-01,3990823801.0
2024-04-01,2799701769.0
2024-05-01,5677770180.0
2024-06-01,7819551371.0
2024-07-01,11930510801.0
2024-08-01,9514332978.0
2024-09-01,24863407975.0
2024-10-01,11203209429.0
2024-11-01,18568331818.0
2024-12-01,13000575471.0
2025-01-01,6305739566.0
2025-02-01,31038954462.0
2025-03-01,12021730037.0
2025-04-01,14255591490.0
2025-05-01,20318693151.0
2025-06-01,6066429479.0
2025-07-01,15461718008.0
2025-08-01,6007649178.0
