Tarih,TP_AC2_TOP_S
2015-02-01,980121184.0
2015-03-01,1277055581.0
2015-04-01,1314429951.0
2015-05-01,989065195.0
2015-06-01,1000590202.0
2015-07-01,859859471.0
2015-08-01,911637192.0
2015-09-01,1151042843.0
2015-10-01,1199819662.0
2015-11-01,1026275877.0
2015-12-01,1536958027.0
2016-01-01,1917214482.0
2016-02-01,1159665602.0
2016-03-01,1287172886.0
2016-04-01,1190680786.0
2016-05-01,1298932458.0
2016-06-01,3437471899.0
2016-07-01,824914879.0
2016-08-01,871136096.0
2016-09-01,691305250.0
2016-10-01,871070633.0
2016-11-01,2514133871.0
2016-12-01,1144271539.0
2017-01-01,1980520425.0
2017-02-01,1200821642.0
2017-03-01,1201780415.0
2017-04-01,2210125964.0
2017-05-01,1866547903.0
2017-06-01,1323565990.0
2017-07-01,1347996371.0
2017-08-01,2344241634.0
2017-09-01,9480604761.0
2017-10-01,1858673382.0
2017-11-01,1760440015.0
2017-12-01,1502618482.0
2018-01-01,1834845076.0
2018-02-01,1523821101.0
2018-03-01,2069423843.0
2018-04-01,2409674148.0
2018-05-01,2827137633.0
2018-06-01,2027962896.0
2018-07-01,2696899689.0
2018-08-01,1609171819.0
2018-09-01,1998268269.0
2018-10-01,2245765222.0
2018-11-01,3404507497.0
2018-12-01,2248688969.0
2019-01-01,2544996021.0
2019-02-01,2401608823.0
2019-03-01,2333834040.0
2019-04-01,2055559202.0
2019-05-01,2308388991.0
2019-06-01,1637628449.0
2019-07-01,3803697614.0
2019-08-01,1733409677.0
2019-09-01,3482749395.0
2019-10-01,4035471054.0
2019-11-01,3030227393.0
2019-12-01,8345700751.0
2020-01-01,3708631622.0
2020-02-01,3032084093.0
2020-03-01,3468271427.0
2020-04-01,1471601445.0
2020-05-01,1534277285.0
2020-06-01,5355494607.0
2020-07-01,4371204999.0
2020-08-01,8044610305.0
2020-09-01,5293261817.0
2020-10-01,4146209971.0
2020-11-01,4032264182.0
2020-12-01,5058126574.0
2021-01-01,5873062200.0
2021-02-01,4820304827.0
2021-03-01,18277240070.0
2021-04-01,5023340449.0
2021-05-01,3448487925.0
2021-06-01,5380517289.0
2021-07-01,5320226085.0
2021-08-01,4654418196.0
2021-09-01,5868157262.0
2021-10-01,6676858528.0
2021-11-01,6606498361.0
2021-12-01,8452103451.0
2022-01-01,7110518531.0
2022-02-01,6651003780.0
2022-03-01,7884959623.0
2022-04-01,7753877178.0
2022-05-01,8480277371.0
2022-06-01,12047355867.0
2022-07-01,8306038814.0
2022-08-01,16532035343.0
2022-09-01,11943901545.0
2022-10-01,13220492048.0
2022-11-01,15818741209.0
2022-12-01,21510657961.0
2023-01-01,17309845632.0
2023-02-01,11771506486.0
2023-03-01,15319127629.0
2023-04-01,13740907228.0
2023-05-01,14179778034.0
2023-06-01,13345702585.0
2023-07-01,17101666500.0
2023-08-01,17550143775.0
2023-09-01,22176508350.0
2023-10-01,21092512712.0
2023-11-01,24585313609.0
2023-12-01,192434038230.0
2024-01-01,20957716778.0
2024-02-01,23320793254.0
2024-03-01,18169950401.0
2024-04-01,15120463544.0
2024-05-01,24690273930.0
2024-06-01,21680172371.0
2024-07-01,29335140226.0
2024-08-01,27022046778.0
2024-09-01,47022137679.0
2024-10-01,34484020429.0
2024-11-01,40926046093.0
2024-12-01,44336915596.0
2025-01-01,33396774667.0
2025-02-01,53154681462.0
2025-03-01,31086200037.0
2025-04-01,32648747590.0
2025-05-01,44971767051.0
2025-06-01,24269867079.0
2025-07-01,39924783008.0
2025-08-01,28821636178.0
