Tarih,TP_AC2_LTD_S
2023-10-01,14745948300.0
2023-11-01,13439355950.0
2023-12-01,18440985600.0
2024-01-01,16107919000.0
2024-02-01,17669276700.0
2024-03-01,14179126600.0
2024-04-01,12320761775.0
2024-05-01,19012303750.0
2024-06-01,13860561000.0
2024-07-01,17404629425.0
2024-08-01,17506713800.0
2024-09-01,22137029704.0
2024-10-01,23267481000.0
2024-11-01,22357714275.0
2024-12-01,31331340125.0
2025-01-01,27073035101.0
2025-02-01,22115667000.0
2025-03-01,19064470000.0
2025-04-01,18392146100.0
2025-05-01,24653073900.0
2025-06-01,18203437600.0
2025-07-01,24463065000.0
2025-08-01,22813937000.0
