Tarih,TP_AB_N25,TP_AB_N25
2000-01-07,2000-1,
2000-01-14,2000-2,
2000-01-21,2000-3,
2000-01-28,2000-4,
2000-02-04,2000-5,
2000-02-11,2000-6,
2000-02-18,2000-7,
2000-02-25,2000-8,
2000-03-03,2000-9,
2000-03-10,2000-10,
2000-03-17,2000-11,
2000-03-24,2000-12,
2000-03-31,2000-13,
2000-04-07,2000-14,
2000-04-14,2000-15,
2000-04-21,2000-16,
2000-04-28,2000-17,
2000-05-05,2000-18,
2000-05-12,2000-19,
2000-05-19,2000-20,
2000-05-26,2000-21,
2000-06-02,2000-22,
2000-06-09,2000-23,
2000-06-16,2000-24,
2000-06-23,2000-25,
2000-06-30,2000-26,
2000-07-07,2000-27,
2000-07-14,2000-28,
2000-07-21,2000-29,
2000-07-28,2000-30,
2000-08-04,2000-31,
2000-08-11,2000-32,
2000-08-18,2000-33,
2000-08-25,2000-34,
2000-09-01,2000-35,
2000-09-08,2000-36,
2000-09-15,2000-37,
2000-09-22,2000-38,
2000-09-29,2000-39,
2000-10-06,2000-40,
2000-10-13,2000-41,
2000-10-20,2000-42,
2000-10-27,2000-43,
2000-11-03,2000-44,
2000-11-10,2000-45,
2000-11-17,2000-46,
2000-11-24,2000-47,
2000-12-01,2000-48,
2000-12-08,2000-49,
2000-12-15,2000-50,
2000-12-22,2000-51,
2000-12-29,2000-52,
2001-01-05,2001-1,
2001-01-12,2001-2,
2001-01-19,2001-3,
2001-01-26,2001-4,
2001-02-02,2001-5,
2001-02-09,2001-6,
2001-02-16,2001-7,
2001-02-23,2001-8,
2001-03-02,2001-9,
2001-03-09,2001-10,
2001-03-16,2001-11,
2001-03-23,2001-12,
2001-03-30,2001-13,
2001-04-06,2001-14,
2001-04-13,2001-15,
2001-04-20,2001-16,
2001-04-27,2001-17,
2001-05-04,2001-18,
2001-05-11,2001-19,
2001-05-18,2001-20,
2001-05-25,2001-21,
2001-06-01,2001-22,
2001-06-08,2001-23,
2001-06-15,2001-24,
2001-06-22,2001-25,
2001-06-29,2001-26,
2001-07-06,2001-27,
2001-07-13,2001-28,
2001-07-20,2001-29,
2001-07-27,2001-30,
2001-08-03,2001-31,
2001-08-10,2001-32,
2001-08-17,2001-33,
2001-08-24,2001-34,
2001-08-31,2001-35,
2001-09-07,2001-36,
2001-09-14,2001-37,
2001-09-21,2001-38,
2001-09-28,2001-39,
2001-10-05,2001-40,
2001-10-12,2001-41,
2001-10-19,2001-42,
2001-10-26,2001-43,
2001-11-02,2001-44,
2001-11-09,2001-45,
2001-11-16,2001-46,
2001-11-23,2001-47,
2001-11-30,2001-48,
2001-12-07,2001-49,
2001-12-14,2001-50,
2001-12-21,2001-51,
2001-12-28,2001-52,
2002-01-04,2002-1,766455.0
2002-01-11,2002-2,762048.0
2002-01-18,2002-3,761267.0
2002-01-25,2002-4,761238.0
2002-02-01,2002-5,761613.0
2002-02-08,2002-6,761632.0
2002-02-15,2002-7,759965.0
2002-02-22,2002-8,760810.0
2002-03-01,2002-9,760999.0
2002-03-08,2002-10,761777.0
2002-03-15,2002-11,759222.0
2002-03-22,2002-12,761489.0
2002-03-29,2002-13,761236.0
2002-04-05,2002-14,761229.0
2002-04-12,2002-15,762680.0
2002-04-19,2002-16,762822.0
2002-04-26,2002-17,763415.0
2002-05-03,2002-18,763831.0
2002-05-10,2002-19,762754.0
2002-05-17,2002-20,764002.0
2002-05-24,2002-21,764369.0
2002-05-31,2002-22,763307.0
2002-06-07,2002-23,763592.0
2002-06-14,2002-24,763874.0
2002-06-21,2002-25,763842.0
2002-06-28,2002-26,763637.0
2002-07-05,2002-27,757055.0
2002-07-12,2002-28,757179.0
2002-07-19,2002-29,762663.0
2002-07-26,2002-30,762415.0
2002-08-02,2002-31,763701.0
2002-08-09,2002-32,761670.0
2002-08-16,2002-33,762221.0
2002-08-23,2002-34,763783.0
2002-08-30,2002-35,765182.0
2002-09-06,2002-36,764284.0
2002-09-13,2002-37,760676.0
2002-09-20,2002-38,760770.0
2002-09-27,2002-39,765590.0
2002-10-04,2002-40,765669.0
2002-10-11,2002-41,764857.0
2002-10-18,2002-42,765595.0
2002-10-25,2002-43,765659.0
2002-11-01,2002-44,765807.0
2002-11-08,2002-45,760631.0
2002-11-15,2002-46,758859.0
2002-11-22,2002-47,761275.0
2002-11-29,2002-48,761625.0
2002-12-06,2002-49,543396.0
2002-12-13,2002-50,543687.0
2002-12-20,2002-51,545258.0
2002-12-27,2002-52,262810.0
2003-01-03,2003-1,263006.0
2003-01-10,2003-2,259828.0
2003-01-17,2003-3,261069.0
2003-01-24,2003-4,266156.0
2003-01-31,2003-5,266011.0
2003-02-07,2003-6,265925.0
2003-02-14,2003-7,265054.0
2003-02-21,2003-8,206668.0
2003-02-28,2003-9,206544.0
2003-03-07,2003-10,207342.0
2003-03-14,2003-11,207536.0
2003-03-21,2003-12,208098.0
2003-03-28,2003-13,205827.0
2003-04-04,2003-14,103537.0
2003-04-11,2003-15,105244.0
2003-04-18,2003-16,103538.0
2003-04-25,2003-17,7585.0
2003-05-02,2003-18,11672.0
2003-05-09,2003-19,9919.0
2003-05-16,2003-20,8400.0
2003-05-23,2003-21,10831.0
2003-05-30,2003-22,10621.0
2003-06-06,2003-23,12040.0
2003-06-13,2003-24,12337.0
2003-06-20,2003-25,13136.0
2003-06-27,2003-26,9380.0
2003-07-04,2003-27,8401.0
2003-07-11,2003-28,8492.0
2003-07-18,2003-29,13277.0
2003-07-25,2003-30,15293.0
2003-08-01,2003-31,14478.0
2003-08-08,2003-32,12926.0
2003-08-15,2003-33,12035.0
2003-08-22,2003-34,13469.0
2003-08-29,2003-35,14445.0
2003-09-05,2003-36,9924.0
2003-09-12,2003-37,7799.0
2003-09-19,2003-38,7732.0
2003-09-26,2003-39,10937.0
2003-10-03,2003-40,11185.0
2003-10-10,2003-41,13984.0
2003-10-17,2003-42,14490.0
2003-10-24,2003-43,14776.0
2003-10-31,2003-44,15000.0
2003-11-07,2003-45,9685.0
2003-11-14,2003-46,8199.0
2003-11-21,2003-47,8315.0
2003-11-28,2003-48,8249.0
2003-12-05,2003-49,8083.0
2003-12-12,2003-50,6484.0
2003-12-19,2003-51,6814.0
2003-12-26,2003-52,6760.0
2004-01-02,2004-1,6548.0
2004-01-09,2004-2,6361.0
2004-01-16,2004-3,6341.0
2004-01-23,2004-4,8243.0
2004-01-30,2004-5,6292.0
2004-02-06,2004-6,5726.0
2004-02-13,2004-7,5731.0
2004-02-20,2004-8,263191.0
2004-02-27,2004-9,265503.0
2004-03-05,2004-10,265856.0
2004-03-12,2004-11,265876.0
2004-03-19,2004-12,311069.0
2004-03-26,2004-13,313157.0
2004-04-02,2004-14,313147.0
2004-04-09,2004-15,312815.0
2004-04-16,2004-16,312145.0
2004-04-23,2004-17,313092.0
2004-04-30,2004-18,313345.0
2004-05-07,2004-19,312854.0
2004-05-14,2004-20,311182.0
2004-05-21,2004-21,312573.0
2004-05-28,2004-22,311489.0
2004-06-04,2004-23,311528.0
2004-06-11,2004-24,314773.0
2004-06-18,2004-25,312053.0
2004-06-25,2004-26,314032.0
2004-07-02,2004-27,317193.0
2004-07-09,2004-28,315520.0
2004-07-16,2004-29,315480.0
2004-07-23,2004-30,316729.0
2004-07-30,2004-31,318317.0
2004-08-06,2004-32,318199.0
2004-08-13,2004-33,318149.0
2004-08-20,2004-34,317899.0
2004-08-27,2004-35,318208.0
2004-09-03,2004-36,319604.0
2004-09-10,2004-37,318173.0
2004-09-17,2004-38,318552.0
2004-09-24,2004-39,318613.0
2004-10-01,2004-40,316685.0
2004-10-08,2004-41,316176.0
2004-10-15,2004-42,314342.0
2004-10-22,2004-43,314067.0
2004-10-29,2004-44,311647.0
2004-11-05,2004-45,311610.0
2004-11-12,2004-46,310614.0
2004-11-19,2004-47,309088.0
2004-11-26,2004-48,310469.0
2004-12-03,2004-49,310232.0
2004-12-10,2004-50,311574.0
2004-12-17,2004-51,311983.0
2004-12-24,2004-52,310812.0
2004-12-31,2004-53,309978.0
2005-01-07,2005-1,310520.0
2005-01-14,2005-2,301338.0
2005-01-21,2005-3,301325.0
2005-01-28,2005-4,300019.0
2005-02-04,2005-5,299607.0
2005-02-11,2005-6,299508.0
2005-02-18,2005-7,303771.0
2005-02-25,2005-8,303732.0
2005-03-04,2005-9,304238.0
2005-03-11,2005-10,304601.0
2005-03-18,2005-11,304151.0
2005-03-25,2005-12,303968.0
2005-04-01,2005-13,302383.0
2005-04-08,2005-14,301998.0
2005-04-15,2005-15,301986.0
2005-04-22,2005-16,302194.0
2005-04-29,2005-17,305901.0
2005-05-06,2005-18,305585.0
2005-05-13,2005-19,12468.0
2005-05-20,2005-20,13051.0
2005-05-27,2005-21,13747.0
2005-06-03,2005-22,13244.0
2005-06-10,2005-23,9893.0
2005-06-17,2005-24,8972.0
2005-06-24,2005-25,7919.0
2005-07-01,2005-26,7911.0
2005-07-08,2005-27,7873.0
2005-07-15,2005-28,7704.0
2005-07-22,2005-29,7728.0
2005-07-29,2005-30,7722.0
2005-08-05,2005-31,7733.0
2005-08-12,2005-32,7358.0
2005-08-19,2005-33,7209.0
2005-08-26,2005-34,9511.0
2005-09-02,2005-35,7786.0
2005-09-09,2005-36,7643.0
2005-09-16,2005-37,5775.0
2005-09-23,2005-38,5776.0
2005-09-30,2005-39,5490.0
2005-10-07,2005-40,6141.0
2005-10-14,2005-41,6114.0
2005-10-21,2005-42,6329.0
2005-10-28,2005-43,6054.0
2005-11-04,2005-44,4902.0
2005-11-11,2005-45,4420.0
2005-11-18,2005-46,4073.0
2005-11-25,2005-47,4007.0
2005-12-02,2005-48,3714.0
2005-12-09,2005-49,3538.0
2005-12-16,2005-50,1556.0
2005-12-23,2005-51,1574.0
2005-12-30,2005-52,1374.0
2006-01-06,2006-1,1570.0
2006-01-13,2006-2,1533.0
2006-01-20,2006-3,1618.0
2006-01-27,2006-4,1851.0
2006-02-03,2006-5,1928.0
2006-02-10,2006-6,1882.0
2006-02-17,2006-7,1954.0
2006-02-24,2006-8,1933.0
2006-03-03,2006-9,1859.0
2006-03-10,2006-10,1691.0
2006-03-17,2006-11,1804.0
2006-03-24,2006-12,1763.0
2006-03-31,2006-13,2120.0
2006-04-07,2006-14,2047.0
2006-04-14,2006-15,1988.0
2006-04-21,2006-16,1975.0
2006-04-28,2006-17,2135.0
2006-05-05,2006-18,2026.0
