Tarih,TP_AB_N14,TP_AB_N14
2003-11-07,2003-45,-17094065.0
2003-11-14,2003-46,-17269058.0
2003-11-21,2003-47,-18532335.0
2003-11-28,2003-48,-17621671.0
2003-12-05,2003-49,-17651848.0
2003-12-12,2003-50,-18000488.0
2003-12-19,2003-51,-18023866.0
2003-12-26,2003-52,-17959481.0
2004-01-02,2004-1,-18123283.0
2004-01-09,2004-2,-17887301.0
2004-01-16,2004-3,-17624561.0
2004-01-23,2004-4,-17508464.0
2004-01-30,2004-5,-17540377.0
2004-02-06,2004-6,-17322278.0
2004-02-13,2004-7,-18173220.0
2004-02-20,2004-8,-17473065.0
2004-02-27,2004-9,-17329712.0
2004-03-05,2004-10,-16710808.0
2004-03-12,2004-11,-16933286.0
2004-03-19,2004-12,-16934529.0
2004-03-26,2004-13,-16709397.0
2004-04-02,2004-14,-16712628.0
2004-04-09,2004-15,-17028287.0
2004-04-16,2004-16,-17036235.0
2004-04-23,2004-17,-17048659.0
2004-04-30,2004-18,-17940732.0
2004-05-07,2004-19,-18391429.0
2004-05-14,2004-20,-19232128.0
2004-05-21,2004-21,-19160664.0
2004-05-28,2004-22,-19180680.0
2004-06-04,2004-23,-19352842.0
2004-06-11,2004-24,-18933294.0
2004-06-18,2004-25,-18672048.0
2004-06-25,2004-26,-18667392.0
2004-07-02,2004-27,-18532687.0
2004-07-09,2004-28,-19215425.0
2004-07-16,2004-29,-18407222.0
2004-07-23,2004-30,-18448682.0
2004-07-30,2004-31,-18322166.0
2004-08-06,2004-32,-18248815.0
2004-08-13,2004-33,-18593113.0
2004-08-20,2004-34,-18675015.0
2004-08-27,2004-35,-18907958.0
2004-09-03,2004-36,-18714031.0
2004-09-10,2004-37,-18570129.0
2004-09-17,2004-38,-18681905.0
2004-09-24,2004-39,-18855528.0
2004-10-01,2004-40,-18971227.0
2004-10-08,2004-41,-18814342.0
2004-10-15,2004-42,-18627884.0
2004-10-22,2004-43,-19014635.0
2004-10-29,2004-44,-19384181.0
2004-11-05,2004-45,-19546002.0
2004-11-12,2004-46,-19284182.0
2004-11-19,2004-47,-19331328.0
2004-11-26,2004-48,-19706617.0
2004-12-03,2004-49,-19747191.0
2004-12-10,2004-50,-19701871.0
2004-12-17,2004-51,-19738142.0
2004-12-24,2004-52,-19309925.0
2004-12-31,2004-53,-19083197.0
2005-01-07,2005-1,-19200561.0
2005-01-14,2005-2,-18993637.0
2005-01-21,2005-3,-18411065.0
2005-01-28,2005-4,-18262014.0
2005-02-04,2005-5,-18089391.0
2005-02-11,2005-6,-18068310.0
2005-02-18,2005-7,-18656496.0
2005-02-25,2005-8,-18115120.0
2005-03-04,2005-9,-17481777.0
2005-03-11,2005-10,-18150831.0
2005-03-18,2005-11,-18432526.0
2005-03-25,2005-12,-18226624.0
2005-04-01,2005-13,-18116135.0
2005-04-08,2005-14,-17995053.0
2005-04-15,2005-15,-18086195.0
2005-04-22,2005-16,-18297387.0
2005-04-29,2005-17,-18477079.0
2005-05-06,2005-18,-17900045.0
2005-05-13,2005-19,-17768821.0
2005-05-20,2005-20,-17807660.0
2005-05-27,2005-21,-17782784.0
2005-06-03,2005-22,-16970416.0
2005-06-10,2005-23,-16993819.0
2005-06-17,2005-24,-16974229.0
2005-06-24,2005-25,-16710636.0
2005-07-01,2005-26,-16578382.0
2005-07-08,2005-27,-16603262.0
2005-07-15,2005-28,-16459754.0
2005-07-22,2005-29,-16516559.0
2005-07-29,2005-30,-16412209.0
2005-08-05,2005-31,-16497935.0
2005-08-12,2005-32,-16814036.0
2005-08-19,2005-33,-16938954.0
2005-08-26,2005-34,-17010470.0
2005-09-02,2005-35,-16725466.0
2005-09-09,2005-36,-16740732.0
2005-09-16,2005-37,-16612570.0
2005-09-23,2005-38,-16417373.0
2005-09-30,2005-39,-16262589.0
2005-10-07,2005-40,-16456549.0
2005-10-14,2005-41,-16881825.0
2005-10-21,2005-42,-16456859.0
2005-10-28,2005-43,-17093040.0
2005-11-04,2005-44,-16781901.0
2005-11-11,2005-45,-16672526.0
2005-11-18,2005-46,-16361648.0
2005-11-25,2005-47,-16656447.0
2005-12-02,2005-48,-16484499.0
2005-12-09,2005-49,-16557206.0
2005-12-16,2005-50,-16633277.0
2005-12-23,2005-51,-16504010.0
2005-12-30,2005-52,-16872571.0
2006-01-06,2006-1,-17499646.0
2006-01-13,2006-2,-17511135.0
2006-01-20,2006-3,-17148620.0
2006-01-27,2006-4,-17018682.0
2006-02-03,2006-5,-16873013.0
2006-02-10,2006-6,-16905638.0
2006-02-17,2006-7,-16546889.0
2006-02-24,2006-8,-16560841.0
2006-03-03,2006-9,-16270350.0
2006-03-10,2006-10,-16803989.0
2006-03-17,2006-11,-16913256.0
2006-03-24,2006-12,-16864854.0
2006-03-31,2006-13,-17020064.0
2006-04-07,2006-14,-17214052.0
2006-04-14,2006-15,-17495611.0
2006-04-21,2006-16,-17051747.0
2006-04-28,2006-17,-17222725.0
2006-05-05,2006-18,-17264172.0
2006-05-12,2006-19,-17879766.0
2006-05-19,2006-20,-18947237.0
2006-05-26,2006-21,-20449832.0
2006-06-02,2006-22,-20650531.0
2006-06-09,2006-23,-20317576.0
2006-06-16,2006-24,-20628135.0
2006-06-23,2006-25,-21543194.0
2006-06-30,2006-26,-20651068.0
2006-07-07,2006-27,-20708927.0
2006-07-14,2006-28,-20840458.0
2006-07-21,2006-29,-20225878.0
2006-07-28,2006-30,-19576304.0
2006-08-04,2006-31,-19547450.0
2006-08-11,2006-32,-19151517.0
2006-08-18,2006-33,-18867240.0
2006-08-25,2006-34,-19187181.0
2006-09-01,2006-35,-18892374.0
2006-09-08,2006-36,-19124771.0
2006-09-15,2006-37,-19105530.0
2006-09-22,2006-38,-18874019.0
2006-09-29,2006-39,-19125575.0
2006-10-06,2006-40,-19120532.0
2006-10-13,2006-41,-19192412.0
2006-10-20,2006-42,-18369941.0
2006-10-27,2006-43,-18341592.0
2006-11-03,2006-44,-18593293.0
2006-11-10,2006-45,-18439796.0
2006-11-17,2006-46,-18299974.0
2006-11-24,2006-47,-20195980.0
2006-12-01,2006-48,-19002603.0
2006-12-08,2006-49,-18800981.0
2006-12-15,2006-50,-18673757.0
2006-12-22,2006-51,-18549121.0
2006-12-29,2006-52,-18354865.0
2007-01-05,2007-1,-18252720.0
2007-01-12,2007-2,-18789029.0
2007-01-19,2007-3,-18290050.0
2007-01-26,2007-4,-18056085.0
2007-02-02,2007-5,-18127515.0
2007-02-09,2007-6,-18046883.0
2007-02-16,2007-7,-17854053.0
2007-02-23,2007-8,-17758692.0
2007-03-02,2007-9,-18317016.0
2007-03-09,2007-10,-18366494.0
2007-03-16,2007-11,-18422007.0
2007-03-23,2007-12,-18090543.0
2007-03-30,2007-13,-18182136.0
2007-04-06,2007-14,-17943327.0
2007-04-13,2007-15,-18532771.0
2007-04-20,2007-16,-17892996.0
2007-04-27,2007-17,-17719503.0
2007-05-04,2007-18,-19426714.0
2007-05-11,2007-19,-17520717.0
2007-05-18,2007-20,-17286676.0
2007-05-25,2007-21,-17224087.0
2007-06-01,2007-22,-17248168.0
2007-06-08,2007-23,-17101021.0
2007-06-15,2007-24,-17083973.0
2007-06-22,2007-25,-16932516.0
2007-06-29,2007-26,-17144413.0
2007-07-06,2007-27,-16938273.0
2007-07-13,2007-28,-17385227.0
2007-07-20,2007-29,-16895270.0
2007-07-27,2007-30,-16682960.0
2007-08-03,2007-31,-16877184.0
2007-08-10,2007-32,-16736539.0
2007-08-17,2007-33,-17731289.0
2007-08-24,2007-34,-16908026.0
2007-08-31,2007-35,-17054178.0
2007-09-07,2007-36,-16695519.0
2007-09-14,2007-37,-17572772.0
2007-09-21,2007-38,-16247196.0
2007-09-28,2007-39,-16074115.0
2007-10-05,2007-40,-15842148.0
2007-10-12,2007-41,-15928919.0
2007-10-19,2007-42,-15905455.0
2007-10-26,2007-43,-15907319.0
2007-11-02,2007-44,-15630054.0
2007-11-09,2007-45,-15978960.0
2007-11-16,2007-46,-15938138.0
2007-11-23,2007-47,-16345219.0
2007-11-30,2007-48,-16170442.0
2007-12-07,2007-49,-15845683.0
2007-12-14,2007-50,-16221478.0
2007-12-21,2007-51,-15818561.0
2007-12-28,2007-52,-15832359.0
2008-01-04,2008-1,-15759190.0
2008-01-11,2008-2,-16878629.0
2008-01-18,2008-3,-15771093.0
2008-01-25,2008-4,-15926284.0
2008-02-01,2008-5,-15953839.0
2008-02-08,2008-6,-15870342.0
