Tarih,TP_AB_N07,TP_AB_N07
2000-01-07,2000-1,
2000-01-14,2000-2,
2000-01-21,2000-3,
2000-01-28,2000-4,
2000-02-04,2000-5,
2000-02-11,2000-6,
2000-02-18,2000-7,
2000-02-25,2000-8,
2000-03-03,2000-9,
2000-03-10,2000-10,
2000-03-17,2000-11,
2000-03-24,2000-12,
2000-03-31,2000-13,
2000-04-07,2000-14,
2000-04-14,2000-15,
2000-04-21,2000-16,
2000-04-28,2000-17,
2000-05-05,2000-18,
2000-05-12,2000-19,
2000-05-19,2000-20,
2000-05-26,2000-21,
2000-06-02,2000-22,
2000-06-09,2000-23,
2000-06-16,2000-24,
2000-06-23,2000-25,
2000-06-30,2000-26,
2000-07-07,2000-27,
2000-07-14,2000-28,
2000-07-21,2000-29,
2000-07-28,2000-30,
2000-08-04,2000-31,
2000-08-11,2000-32,
2000-08-18,2000-33,
2000-08-25,2000-34,
2000-09-01,2000-35,
2000-09-08,2000-36,
2000-09-15,2000-37,
2000-09-22,2000-38,
2000-09-29,2000-39,
2000-10-06,2000-40,
2000-10-13,2000-41,
2000-10-20,2000-42,
2000-10-27,2000-43,
2000-11-03,2000-44,
2000-11-10,2000-45,
2000-11-17,2000-46,
2000-11-24,2000-47,
2000-12-01,2000-48,
2000-12-08,2000-49,
2000-12-15,2000-50,
2000-12-22,2000-51,
2000-12-29,2000-52,
2001-01-05,2001-1,
2001-01-12,2001-2,
2001-01-19,2001-3,
2001-01-26,2001-4,
2001-02-02,2001-5,
2001-02-09,2001-6,
2001-02-16,2001-7,
2001-02-23,2001-8,
2001-03-02,2001-9,
2001-03-09,2001-10,
2001-03-16,2001-11,
2001-03-23,2001-12,
2001-03-30,2001-13,
2001-04-06,2001-14,
2001-04-13,2001-15,
2001-04-20,2001-16,
2001-04-27,2001-17,
2001-05-04,2001-18,
2001-05-11,2001-19,
2001-05-18,2001-20,
2001-05-25,2001-21,
2001-06-01,2001-22,
2001-06-08,2001-23,
2001-06-15,2001-24,
2001-06-22,2001-25,
2001-06-29,2001-26,
2001-07-06,2001-27,
2001-07-13,2001-28,
2001-07-20,2001-29,
2001-07-27,2001-30,
2001-08-03,2001-31,
2001-08-10,2001-32,
2001-08-17,2001-33,
2001-08-24,2001-34,
2001-08-31,2001-35,
2001-09-07,2001-36,
2001-09-14,2001-37,
2001-09-21,2001-38,
2001-09-28,2001-39,
2001-10-05,2001-40,
2001-10-12,2001-41,
2001-10-19,2001-42,
2001-10-26,2001-43,
2001-11-02,2001-44,
2001-11-09,2001-45,
2001-11-16,2001-46,
2001-11-23,2001-47,
2001-11-30,2001-48,
2001-12-07,2001-49,
2001-12-14,2001-50,
2001-12-21,2001-51,
2001-12-28,2001-52,
2002-01-04,2002-1,27853319.6
2002-01-11,2002-2,26903676.0
2002-01-18,2002-3,26269289.4
2002-01-25,2002-4,26612063.0
2002-02-01,2002-5,25529064.2
2002-02-08,2002-6,29394082.8
2002-02-15,2002-7,28561838.4
2002-02-22,2002-8,29610426.4
2002-03-01,2002-9,29055616.6
2002-03-08,2002-10,28560087.5
2002-03-15,2002-11,27876232.1
2002-03-22,2002-12,28428780.6
2002-03-29,2002-13,27928022.5
2002-04-05,2002-14,27774469.9
2002-04-12,2002-15,27344598.4
2002-04-19,2002-16,29513221.3
2002-04-26,2002-17,30848049.2
2002-05-03,2002-18,31368126.7
2002-05-10,2002-19,32289367.4
2002-05-17,2002-20,32463553.2
2002-05-24,2002-21,32488162.7
2002-05-31,2002-22,31971826.7
2002-06-07,2002-23,33637605.3
2002-06-14,2002-24,35348795.8
2002-06-21,2002-25,34926156.8
2002-06-28,2002-26,36673754.0
2002-07-05,2002-27,38368064.8
2002-07-12,2002-28,39463815.5
2002-07-19,2002-29,39683789.0
2002-07-26,2002-30,40646993.9
2002-08-02,2002-31,40288092.0
2002-08-09,2002-32,38518608.4
2002-08-16,2002-33,41791611.0
2002-08-23,2002-34,41462277.5
2002-08-30,2002-35,41794986.9
2002-09-06,2002-36,41582827.9
2002-09-13,2002-37,42886358.1
2002-09-20,2002-38,42798013.2
2002-09-27,2002-39,42415156.7
2002-10-04,2002-40,42075581.6
2002-10-11,2002-41,42188626.2
2002-10-18,2002-42,43104159.6
2002-10-25,2002-43,43463197.7
2002-11-01,2002-44,43571310.6
2002-11-08,2002-45,42603519.7
2002-11-15,2002-46,42912695.8
2002-11-22,2002-47,42028639.2
2002-11-29,2002-48,41134617.3
2002-12-06,2002-49,40740484.6
2002-12-13,2002-50,42554962.8
2002-12-20,2002-51,43084035.5
2002-12-27,2002-52,44698350.9
2003-01-03,2003-1,45982247.9
2003-01-10,2003-2,46968743.0
2003-01-17,2003-3,47640009.4
2003-01-24,2003-4,48679901.9
2003-01-31,2003-5,49424644.1
2003-02-07,2003-6,47914635.4
2003-02-14,2003-7,47801376.6
2003-02-21,2003-8,46519591.2
2003-02-28,2003-9,45818232.2
2003-03-07,2003-10,45977801.6
2003-03-14,2003-11,46003620.9
2003-03-21,2003-12,46954935.7
2003-03-28,2003-13,46991669.6
2003-04-04,2003-14,45534120.8
2003-04-11,2003-15,45062385.1
2003-04-18,2003-16,43459935.2
2003-04-25,2003-17,44391150.9
2003-05-02,2003-18,43317708.0
2003-05-09,2003-19,41675614.2
2003-05-16,2003-20,42191866.8
2003-05-23,2003-21,43038913.6
2003-05-30,2003-22,42221042.9
2003-06-06,2003-23,40979910.9
2003-06-13,2003-24,40114483.0
2003-06-20,2003-25,41189741.0
2003-06-27,2003-26,42421450.0
2003-07-04,2003-27,41076098.0
2003-07-11,2003-28,40571510.0
2003-07-18,2003-29,40557958.0
2003-07-25,2003-30,42417866.0
2003-08-01,2003-31,42356019.0
2003-08-08,2003-32,42820589.0
2003-08-15,2003-33,42330930.0
2003-08-22,2003-34,42569252.0
2003-08-29,2003-35,42942032.0
2003-09-05,2003-36,42374231.0
2003-09-12,2003-37,44518105.0
2003-09-19,2003-38,44256281.0
2003-09-26,2003-39,47482239.0
2003-10-03,2003-40,49034930.0
2003-10-10,2003-41,48998763.0
2003-10-17,2003-42,49704715.0
2003-10-24,2003-43,49891067.0
2003-10-31,2003-44,50434420.0
2003-11-07,2003-45,49025237.0
2003-11-14,2003-46,49008912.0
2003-11-21,2003-47,48861590.0
2003-11-28,2003-48,47184669.0
2003-12-05,2003-49,46644819.0
2003-12-12,2003-50,47147981.0
2003-12-19,2003-51,47060220.0
2003-12-26,2003-52,48771941.0
2004-01-02,2004-1,48622738.0
2004-01-09,2004-2,47099746.0
2004-01-16,2004-3,47082464.0
2004-01-23,2004-4,46388351.0
2004-01-30,2004-5,46623061.0
2004-02-06,2004-6,45913258.0
2004-02-13,2004-7,46404183.0
2004-02-20,2004-8,47309735.0
2004-02-27,2004-9,45824222.0
2004-03-05,2004-10,45021639.0
2004-03-12,2004-11,43601141.0
2004-03-19,2004-12,43918606.0
2004-03-26,2004-13,44565317.0
2004-04-02,2004-14,44953763.0
2004-04-09,2004-15,46372384.0
2004-04-16,2004-16,46724369.0
2004-04-23,2004-17,48507004.0
2004-04-30,2004-18,50364194.0
2004-05-07,2004-19,50334485.0
2004-05-14,2004-20,52863023.0
2004-05-21,2004-21,52738881.0
2004-05-28,2004-22,51805534.0
2004-06-04,2004-23,51551020.0
2004-06-11,2004-24,50391964.0
2004-06-18,2004-25,50013472.0
2004-06-25,2004-26,49925226.0
2004-07-02,2004-27,50293687.0
2004-07-09,2004-28,50104654.0
2004-07-16,2004-29,48567547.0
2004-07-23,2004-30,49157610.0
2004-07-30,2004-31,49229053.0
2004-08-06,2004-32,49164432.0
2004-08-13,2004-33,49244421.0
2004-08-20,2004-34,51317117.0
2004-08-27,2004-35,52322914.0
2004-09-03,2004-36,51786597.0
2004-09-10,2004-37,51637747.0
2004-09-17,2004-38,51411364.0
2004-09-24,2004-39,52911467.0
2004-10-01,2004-40,53084105.0
2004-10-08,2004-41,53686319.0
2004-10-15,2004-42,54186206.0
2004-10-22,2004-43,54516134.0
2004-10-29,2004-44,54683697.0
2004-11-05,2004-45,52425631.0
2004-11-12,2004-46,51862876.0
2004-11-19,2004-47,51137340.0
2004-11-26,2004-48,52465925.0
2004-12-03,2004-49,51562574.0
2004-12-10,2004-50,51354666.0
2004-12-17,2004-51,50527267.0
2004-12-24,2004-52,49754268.0
2004-12-31,2004-53,50133932.0
2005-01-07,2005-1,49841814.0
2005-01-14,2005-2,48028581.0
2005-01-21,2005-3,47026625.0
2005-01-28,2005-4,51384836.0
2005-02-04,2005-5,48533720.0
2005-02-11,2005-6,48491597.0
2005-02-18,2005-7,49782556.0
2005-02-25,2005-8,49285762.0
2005-03-04,2005-9,48001460.0
2005-03-11,2005-10,51987783.0
2005-03-18,2005-11,53159521.0
2005-03-25,2005-12,53053910.0
2005-04-01,2005-13,52828534.0
2005-04-08,2005-14,52282860.0
2005-04-15,2005-15,51034049.0
2005-04-22,2005-16,51735626.0
2005-04-29,2005-17,53037277.0
2005-05-06,2005-18,48709622.0
2005-05-13,2005-19,50237793.0
2005-05-20,2005-20,50143657.0
2005-05-27,2005-21,51090882.0
2005-06-03,2005-22,51627661.0
2005-06-10,2005-23,54784660.0
2005-06-17,2005-24,55178402.0
2005-06-24,2005-25,54728335.0
2005-07-01,2005-26,54538284.0
2005-07-08,2005-27,56121778.0
2005-07-15,2005-28,54868653.0
2005-07-22,2005-29,55681521.0
2005-07-29,2005-30,58870609.0
2005-08-05,2005-31,56466942.0
2005-08-12,2005-32,57451948.0
2005-08-19,2005-33,58859789.0
2005-08-26,2005-34,58179287.0
2005-09-02,2005-35,56245616.0
2005-09-09,2005-36,56580080.0
2005-09-16,2005-37,56098622.0
2005-09-23,2005-38,55831382.0
2005-09-30,2005-39,57985720.0
2005-10-07,2005-40,61424509.0
2005-10-14,2005-41,62232706.0
2005-10-21,2005-42,62151537.0
2005-10-28,2005-43,62422861.0
2005-11-04,2005-44,59811077.0
2005-11-11,2005-45,58843302.0
2005-11-18,2005-46,63074823.0
2005-11-25,2005-47,65520224.0
2005-12-02,2005-48,66394847.0
2005-12-09,2005-49,66231526.0
2005-12-16,2005-50,68922826.0
2005-12-23,2005-51,68423893.0
2005-12-30,2005-52,70044437.0
2006-01-06,2006-1,66432827.0
2006-01-13,2006-2,66702788.0
2006-01-20,2006-3,69725016.0
2006-01-27,2006-4,72275069.0
2006-02-03,2006-5,72021870.0
