Tarih,TP_AB_N20,TP_AB_N20
2000-01-07,2000-1,
2000-01-14,2000-2,
2000-01-21,2000-3,
2000-01-28,2000-4,
2000-02-04,2000-5,
2000-02-11,2000-6,
2000-02-18,2000-7,
2000-02-25,2000-8,
2000-03-03,2000-9,
2000-03-10,2000-10,
2000-03-17,2000-11,
2000-03-24,2000-12,
2000-03-31,2000-13,
2000-04-07,2000-14,
2000-04-14,2000-15,
2000-04-21,2000-16,
2000-04-28,2000-17,
2000-05-05,2000-18,
2000-05-12,2000-19,
2000-05-19,2000-20,
2000-05-26,2000-21,
2000-06-02,2000-22,
2000-06-09,2000-23,
2000-06-16,2000-24,
2000-06-23,2000-25,
2000-06-30,2000-26,
2000-07-07,2000-27,
2000-07-14,2000-28,
2000-07-21,2000-29,
2000-07-28,2000-30,
2000-08-04,2000-31,
2000-08-11,2000-32,
2000-08-18,2000-33,
2000-08-25,2000-34,
2000-09-01,2000-35,
2000-09-08,2000-36,
2000-09-15,2000-37,
2000-09-22,2000-38,
2000-09-29,2000-39,
2000-10-06,2000-40,
2000-10-13,2000-41,
2000-10-20,2000-42,
2000-10-27,2000-43,
2000-11-03,2000-44,
2000-11-10,2000-45,
2000-11-17,2000-46,
2000-11-24,2000-47,
2000-12-01,2000-48,
2000-12-08,2000-49,
2000-12-15,2000-50,
2000-12-22,2000-51,
2000-12-29,2000-52,
2001-01-05,2001-1,
2001-01-12,2001-2,
2001-01-19,2001-3,
2001-01-26,2001-4,
2001-02-02,2001-5,
2001-02-09,2001-6,
2001-02-16,2001-7,
2001-02-23,2001-8,
2001-03-02,2001-9,
2001-03-09,2001-10,
2001-03-16,2001-11,
2001-03-23,2001-12,
2001-03-30,2001-13,
2001-04-06,2001-14,
2001-04-13,2001-15,
2001-04-20,2001-16,
2001-04-27,2001-17,
2001-05-04,2001-18,
2001-05-11,2001-19,
2001-05-18,2001-20,
2001-05-25,2001-21,
2001-06-01,2001-22,
2001-06-08,2001-23,
2001-06-15,2001-24,
2001-06-22,2001-25,
2001-06-29,2001-26,
2001-07-06,2001-27,
2001-07-13,2001-28,
2001-07-20,2001-29,
2001-07-27,2001-30,
2001-08-03,2001-31,
2001-08-10,2001-32,
2001-08-17,2001-33,
2001-08-24,2001-34,
2001-08-31,2001-35,
2001-09-07,2001-36,
2001-09-14,2001-37,
2001-09-21,2001-38,
2001-09-28,2001-39,
2001-10-05,2001-40,
2001-10-12,2001-41,
2001-10-19,2001-42,
2001-10-26,2001-43,
2001-11-02,2001-44,
2001-11-09,2001-45,
2001-11-16,2001-46,
2001-11-23,2001-47,
2001-11-30,2001-48,
2001-12-07,2001-49,
2001-12-14,2001-50,
2001-12-21,2001-51,
2001-12-28,2001-52,
2002-01-04,2002-1,-57220.0
2002-01-11,2002-2,-59723.0
2002-01-18,2002-3,-21081.0
2002-01-25,2002-4,-29699.0
2002-02-01,2002-5,-44582.0
2002-02-08,2002-6,-53257.0
2002-02-15,2002-7,-57460.0
2002-02-22,2002-8,-34854.0
2002-03-01,2002-9,-52038.0
2002-03-08,2002-10,-64332.0
2002-03-15,2002-11,-64080.0
2002-03-22,2002-12,-36660.0
2002-03-29,2002-13,-46433.0
2002-04-05,2002-14,-55123.0
2002-04-12,2002-15,-61438.0
2002-04-19,2002-16,-30771.0
2002-04-26,2002-17,-42029.0
2002-05-03,2002-18,-266014.0
2002-05-10,2002-19,-272260.0
2002-05-17,2002-20,-272199.0
2002-05-24,2002-21,-247682.0
2002-05-31,2002-22,-261751.0
2002-06-07,2002-23,-271405.0
2002-06-14,2002-24,-269075.0
2002-06-21,2002-25,-245986.0
2002-06-28,2002-26,-260661.0
2002-07-05,2002-27,-273128.0
2002-07-12,2002-28,-279660.0
2002-07-19,2002-29,-256585.0
2002-07-26,2002-30,-268799.0
2002-08-02,2002-31,-183360.0
2002-08-09,2002-32,-194743.0
2002-08-16,2002-33,-176079.0
2002-08-23,2002-34,-158250.0
2002-08-30,2002-35,-171222.0
2002-09-06,2002-36,-190634.0
2002-09-13,2002-37,-196434.0
2002-09-20,2002-38,-156844.0
2002-09-27,2002-39,-167289.0
2002-10-04,2002-40,-183788.0
2002-10-11,2002-41,-191072.0
2002-10-18,2002-42,-138880.0
2002-10-25,2002-43,-148570.0
2002-11-01,2002-44,-60985.0
2002-11-08,2002-45,-71181.0
2002-11-15,2002-46,-74995.0
2002-11-22,2002-47,-46534.0
2002-11-29,2002-48,-59334.0
2002-12-06,2002-49,-68274.0
2002-12-13,2002-50,-74768.0
2002-12-20,2002-51,-39125.0
2002-12-27,2002-52,-49411.0
2003-01-03,2003-1,-65827.0
2003-01-10,2003-2,-87741.0
2003-01-17,2003-3,-65581.0
2003-01-24,2003-4,-57777.0
2003-01-31,2003-5,-73632.0
2003-02-07,2003-6,-84251.0
2003-02-14,2003-7,-87824.0
2003-02-21,2003-8,-49513.0
2003-02-28,2003-9,-66548.0
2003-03-07,2003-10,-80128.0
2003-03-14,2003-11,-82137.0
2003-03-21,2003-12,-44445.0
2003-03-28,2003-13,-54913.0
2003-04-04,2003-14,-75106.0
2003-04-11,2003-15,-85308.0
2003-04-18,2003-16,-38283.0
2003-04-25,2003-17,-46752.0
2003-05-02,2003-18,-66651.0
2003-05-09,2003-19,-70047.0
2003-05-16,2003-20,-67166.0
2003-05-23,2003-21,-33470.0
2003-05-30,2003-22,-42167.0
2003-06-06,2003-23,-50847.0
2003-06-13,2003-24,-51276.0
2003-06-20,2003-25,-26691.0
2003-06-27,2003-26,-32315.0
2003-07-04,2003-27,-51796.0
2003-07-11,2003-28,-58269.0
2003-07-18,2003-29,-34656.0
2003-07-25,2003-30,-42181.0
2003-08-01,2003-31,-65706.0
2003-08-08,2003-32,-79448.0
2003-08-15,2003-33,-87864.0
2003-08-22,2003-34,-56425.0
2003-08-29,2003-35,-75186.0
2003-09-05,2003-36,-91077.0
2003-09-12,2003-37,-96945.0
2003-09-19,2003-38,-46385.0
2003-09-26,2003-39,-57081.0
2003-10-03,2003-40,-78435.0
2003-10-10,2003-41,-90740.0
2003-10-17,2003-42,-93774.0
2003-10-24,2003-43,-50675.0
2003-10-31,2003-44,-70472.0
2003-11-07,2003-45,-84690.0
2003-11-14,2003-46,-82514.0
2003-11-21,2003-47,-36497.0
2003-11-28,2003-48,-52907.0
2003-12-05,2003-49,-69934.0
2003-12-12,2003-50,-65557.0
2003-12-19,2003-51,-37095.0
2003-12-26,2003-52,-43329.0
2004-01-02,2004-1,-57540.0
2004-01-09,2004-2,-64443.0
2004-01-16,2004-3,-69225.0
2004-01-23,2004-4,-30837.0
2004-01-30,2004-5,-48926.0
2004-02-06,2004-6,-55160.0
2004-02-13,2004-7,-54655.0
2004-02-20,2004-8,-33687.0
2004-02-27,2004-9,-50480.0
2004-03-05,2004-10,-66668.0
2004-03-12,2004-11,-63473.0
2004-03-19,2004-12,-54295.0
2004-03-26,2004-13,-37308.0
2004-04-02,2004-14,-50075.0
2004-04-09,2004-15,-55059.0
2004-04-16,2004-16,-56601.0
2004-04-23,2004-17,-31102.0
2004-04-30,2004-18,-46411.0
2004-05-07,2004-19,-54675.0
2004-05-14,2004-20,-55492.0
2004-05-21,2004-21,-33981.0
2004-05-28,2004-22,-40828.0
2004-06-04,2004-23,-59913.0
2004-06-11,2004-24,-65568.0
2004-06-18,2004-25,-27286.0
2004-06-25,2004-26,-32920.0
2004-07-02,2004-27,-47688.0
2004-07-09,2004-28,-60659.0
2004-07-16,2004-29,-59335.0
2004-07-23,2004-30,-41568.0
2004-07-30,2004-31,-56151.0
2004-08-06,2004-32,-72110.0
2004-08-13,2004-33,-80547.0
2004-08-20,2004-34,-58574.0
2004-08-27,2004-35,-68720.0
2004-09-03,2004-36,-99658.0
2004-09-10,2004-37,-106150.0
2004-09-17,2004-38,-96448.0
2004-09-24,2004-39,-46194.0
2004-10-01,2004-40,-64481.0
2004-10-08,2004-41,-68377.0
2004-10-15,2004-42,-67627.0
2004-10-22,2004-43,-33875.0
2004-10-29,2004-44,-45595.0
2004-11-05,2004-45,-56453.0
2004-11-12,2004-46,-55060.0
2004-11-19,2004-47,-33617.0
2004-11-26,2004-48,-39580.0
2004-12-03,2004-49,-63033.0
2004-12-10,2004-50,-66865.0
2004-12-17,2004-51,-40566.0
2004-12-24,2004-52,-34594.0
2004-12-31,2004-53,-53031.0
2005-01-07,2005-1,-256520.0
2005-01-14,2005-2,-55986.0
2005-01-21,2005-3,-32614.0
2005-01-28,2005-4,-43218.0
2005-02-04,2005-5,-53433.0
2005-02-11,2005-6,-59052.0
2005-02-18,2005-7,-27175.0
2005-02-25,2005-8,-30584.0
2005-03-04,2005-9,-52910.0
2005-03-11,2005-10,-57448.0
2005-03-18,2005-11,-26183.0
2005-03-25,2005-12,-35308.0
2005-04-01,2005-13,-46583.0
2005-04-08,2005-14,-51846.0
2005-04-15,2005-15,-54347.0
2005-04-22,2005-16,-32071.0
2005-04-29,2005-17,-43333.0
2005-05-06,2005-18,-49787.0
2005-05-13,2005-19,-47282.0
2005-05-20,2005-20,-26237.0
2005-05-27,2005-21,-29335.0
2005-06-03,2005-22,-46826.0
2005-06-10,2005-23,-49772.0
2005-06-17,2005-24,-37979.0
2005-06-24,2005-25,-25088.0
2005-07-01,2005-26,-43697.0
2005-07-08,2005-27,-53775.0
2005-07-15,2005-28,-46891.0
2005-07-22,2005-29,-34468.0
2005-07-29,2005-30,-49814.0
2005-08-05,2005-31,-64451.0
2005-08-12,2005-32,-78336.0
2005-08-19,2005-33,-46869.0
2005-08-26,2005-34,-60157.0
2005-09-02,2005-35,-77153.0
2005-09-09,2005-36,-82865.0
2005-09-16,2005-37,-79055.0
2005-09-23,2005-38,-33486.0
2005-09-30,2005-39,-48225.0
2005-10-07,2005-40,-62527.0
2005-10-14,2005-41,-59168.0
2005-10-21,2005-42,-35370.0
2005-10-28,2005-43,-36837.0
2005-11-04,2005-44,-51236.0
2005-11-11,2005-45,-54969.0
2005-11-18,2005-46,-25901.0
2005-11-25,2005-47,-29141.0
2005-12-02,2005-48,-42626.0
2005-12-09,2005-49,-48377.0
2005-12-16,2005-50,-43971.0
2005-12-23,2005-51,-29719.0
2005-12-30,2005-52,-40884.0
2006-01-06,2006-1,-44848.0
2006-01-13,2006-2,-49489.0
2006-01-20,2006-3,-49029.0
2006-01-27,2006-4,-31944.0
2006-02-03,2006-5,-41905.0
