Tarih,TP_TRY_MT02,TP_TRY_MT02
2000-01-07,2000-1,
2000-01-14,2000-2,
2000-01-21,2000-3,
2000-01-28,2000-4,
2000-02-04,2000-5,
2000-02-11,2000-6,
2000-02-18,2000-7,
2000-02-25,2000-8,
2000-03-03,2000-9,
2000-03-10,2000-10,
2000-03-17,2000-11,
2000-03-24,2000-12,
2000-03-31,2000-13,
2000-04-07,2000-14,
2000-04-14,2000-15,
2000-04-21,2000-16,
2000-04-28,2000-17,
2000-05-05,2000-18,
2000-05-12,2000-19,
2000-05-19,2000-20,
2000-05-26,2000-21,
2000-06-02,2000-22,
2000-06-09,2000-23,
2000-06-16,2000-24,
2000-06-23,2000-25,
2000-06-30,2000-26,
2000-07-07,2000-27,
2000-07-14,2000-28,
2000-07-21,2000-29,
2000-07-28,2000-30,
2000-08-04,2000-31,
2000-08-11,2000-32,
2000-08-18,2000-33,
2000-08-25,2000-34,
2000-09-01,2000-35,
2000-09-08,2000-36,
2000-09-15,2000-37,
2000-09-22,2000-38,
2000-09-29,2000-39,
2000-10-06,2000-40,
2000-10-13,2000-41,
2000-10-20,2000-42,
2000-10-27,2000-43,
2000-11-03,2000-44,
2000-11-10,2000-45,
2000-11-17,2000-46,
2000-11-24,2000-47,
2000-12-01,2000-48,
2000-12-08,2000-49,
2000-12-15,2000-50,
2000-12-22,2000-51,
2000-12-29,2000-52,
2001-01-05,2001-1,
2001-01-12,2001-2,
2001-01-19,2001-3,
2001-01-26,2001-4,
2001-02-02,2001-5,
2001-02-09,2001-6,
2001-02-16,2001-7,
2001-02-23,2001-8,
2001-03-02,2001-9,
2001-03-09,2001-10,
2001-03-16,2001-11,
2001-03-23,2001-12,
2001-03-30,2001-13,
2001-04-06,2001-14,
2001-04-13,2001-15,
2001-04-20,2001-16,
2001-04-27,2001-17,
2001-05-04,2001-18,
2001-05-11,2001-19,
2001-05-18,2001-20,
2001-05-25,2001-21,
2001-06-01,2001-22,
2001-06-08,2001-23,
2001-06-15,2001-24,
2001-06-22,2001-25,
2001-06-29,2001-26,
2001-07-06,2001-27,
2001-07-13,2001-28,
2001-07-20,2001-29,
2001-07-27,2001-30,
2001-08-03,2001-31,
2001-08-10,2001-32,
2001-08-17,2001-33,
2001-08-24,2001-34,
2001-08-31,2001-35,
2001-09-07,2001-36,
2001-09-14,2001-37,
2001-09-21,2001-38,
2001-09-28,2001-39,
2001-10-05,2001-40,
2001-10-12,2001-41,
2001-10-19,2001-42,
2001-10-26,2001-43,
2001-11-02,2001-44,
2001-11-09,2001-45,
2001-11-16,2001-46,
2001-11-23,2001-47,
2001-11-30,2001-48,
2001-12-07,2001-49,
2001-12-14,2001-50,
2001-12-21,2001-51,
2001-12-28,2001-52,
2002-01-04,2002-1,65.06
2002-01-11,2002-2,60.15
2002-01-18,2002-3,60.94
2002-01-25,2002-4,59.74
2002-02-01,2002-5,59.35
2002-02-08,2002-6,60.12
2002-02-15,2002-7,59.38
2002-02-22,2002-8,58.71
2002-03-01,2002-9,59.26
2002-03-08,2002-10,55.87
2002-03-15,2002-11,57.08
2002-03-22,2002-12,55.68
2002-03-29,2002-13,55.73
2002-04-05,2002-14,53.77
2002-04-12,2002-15,52.41
2002-04-19,2002-16,51.37
2002-04-26,2002-17,51.26
2002-05-03,2002-18,49.89
2002-05-10,2002-19,49.73
2002-05-17,2002-20,48.25
2002-05-24,2002-21,49.13
2002-05-31,2002-22,50.14
2002-06-07,2002-23,49.35
2002-06-14,2002-24,49.77
2002-06-21,2002-25,50.95
2002-06-28,2002-26,50.07
2002-07-05,2002-27,50.23
2002-07-12,2002-28,51.56
2002-07-19,2002-29,51.04
2002-07-26,2002-30,51.42
2002-08-02,2002-31,51.39
2002-08-09,2002-32,51.57
2002-08-16,2002-33,52.85
2002-08-23,2002-34,48.96
2002-08-30,2002-35,50.54
2002-09-06,2002-36,50.44
2002-09-13,2002-37,49.75
2002-09-20,2002-38,50.33
2002-09-27,2002-39,50.69
2002-10-04,2002-40,53.66
2002-10-11,2002-41,50.37
2002-10-18,2002-42,49.84
2002-10-25,2002-43,49.22
2002-11-01,2002-44,49.6
2002-11-08,2002-45,49.51
2002-11-15,2002-46,46.89
2002-11-22,2002-47,46.53
2002-11-29,2002-48,46.82
2002-12-06,2002-49,45.95
2002-12-13,2002-50,46.72
2002-12-20,2002-51,45.68
2002-12-27,2002-52,46.81
2003-01-03,2003-1,47.82
2003-01-10,2003-2,46.75
2003-01-17,2003-3,46.5
2003-01-24,2003-4,47.7
2003-01-31,2003-5,47.29
2003-02-07,2003-6,48.45
2003-02-14,2003-7,49.06
2003-02-21,2003-8,48.45
2003-02-28,2003-9,47.26
2003-03-07,2003-10,47.26
2003-03-14,2003-11,44.78
2003-03-21,2003-12,45.05
2003-03-28,2003-13,45.26
2003-04-04,2003-14,45.6
2003-04-11,2003-15,46.33
2003-04-18,2003-16,46.5
2003-04-25,2003-17,46.13
2003-05-02,2003-18,43.3
2003-05-09,2003-19,43.2
2003-05-16,2003-20,42.74
2003-05-23,2003-21,43.0
2003-05-30,2003-22,42.55
2003-06-06,2003-23,42.83
2003-06-13,2003-24,40.26
2003-06-20,2003-25,39.83
2003-06-27,2003-26,40.23
2003-07-04,2003-27,40.91
2003-07-11,2003-28,40.62
2003-07-18,2003-29,40.28
2003-07-25,2003-30,37.93
2003-08-01,2003-31,37.84
2003-08-08,2003-32,36.66
2003-08-15,2003-33,35.41
2003-08-22,2003-34,34.81
2003-08-29,2003-35,35.01
2003-09-05,2003-36,34.2
2003-09-12,2003-37,33.67
2003-09-19,2003-38,33.37
2003-09-26,2003-39,31.82
2003-10-03,2003-40,31.83
2003-10-10,2003-41,30.63
2003-10-17,2003-42,28.93
2003-10-24,2003-43,27.77
2003-10-31,2003-44,27.53
2003-11-07,2003-45,28.89
2003-11-14,2003-46,28.48
2003-11-21,2003-47,29.07
2003-11-28,2003-48,27.0
2003-12-05,2003-49,27.38
2003-12-12,2003-50,29.0
2003-12-19,2003-51,27.16
2003-12-26,2003-52,26.86
2004-01-02,2004-1,27.37
2004-01-09,2004-2,25.68
2004-01-16,2004-3,26.36
2004-01-23,2004-4,25.2
2004-01-30,2004-5,25.56
2004-02-06,2004-6,25.97
2004-02-13,2004-7,24.53
2004-02-20,2004-8,23.9
2004-02-27,2004-9,23.36
2004-03-05,2004-10,23.54
2004-03-12,2004-11,23.64
2004-03-19,2004-12,22.89
2004-03-26,2004-13,22.57
2004-04-02,2004-14,22.55
2004-04-09,2004-15,21.79
2004-04-16,2004-16,21.74
2004-04-23,2004-17,21.32
2004-04-30,2004-18,21.64
2004-05-07,2004-19,21.87
2004-05-14,2004-20,21.48
2004-05-21,2004-21,22.26
2004-05-28,2004-22,21.8
2004-06-04,2004-23,21.58
2004-06-11,2004-24,21.8
2004-06-18,2004-25,21.87
2004-06-25,2004-26,22.04
2004-07-02,2004-27,22.03
2004-07-09,2004-28,22.65
2004-07-16,2004-29,22.32
2004-07-23,2004-30,22.45
2004-07-30,2004-31,21.68
2004-08-06,2004-32,21.72
2004-08-13,2004-33,21.71
2004-08-20,2004-34,22.24
2004-08-27,2004-35,21.79
2004-09-03,2004-36,21.87
2004-09-10,2004-37,21.87
2004-09-17,2004-38,21.34
2004-09-24,2004-39,21.46
2004-10-01,2004-40,21.14
2004-10-08,2004-41,21.8
2004-10-15,2004-42,21.81
2004-10-22,2004-43,21.57
2004-10-29,2004-44,21.24
2004-11-05,2004-45,21.4
2004-11-12,2004-46,21.64
2004-11-19,2004-47,21.7
2004-11-26,2004-48,21.89
2004-12-03,2004-49,21.4
2004-12-10,2004-50,21.08
2004-12-17,2004-51,20.94
2004-12-24,2004-52,20.31
2004-12-31,2004-53,20.27
2005-01-07,2005-1,19.45
2005-01-14,2005-2,19.02
2005-01-21,2005-3,19.38
2005-01-28,2005-4,18.49
2005-02-04,2005-5,18.67
2005-02-11,2005-6,18.55
2005-02-18,2005-7,18.43
2005-02-25,2005-8,17.78
2005-03-04,2005-9,17.66
2005-03-11,2005-10,17.24
2005-03-18,2005-11,16.91
2005-03-25,2005-12,17.03
2005-04-01,2005-13,17.21
2005-04-08,2005-14,17.02
2005-04-15,2005-15,16.75
2005-04-22,2005-16,16.78
2005-04-29,2005-17,16.85
2005-05-06,2005-18,16.92
2005-05-13,2005-19,17.02
2005-05-20,2005-20,16.79
2005-05-27,2005-21,17.05
2005-06-03,2005-22,17.19
2005-06-10,2005-23,16.85
2005-06-17,2005-24,16.81
2005-06-24,2005-25,16.86
2005-07-01,2005-26,16.92
2005-07-08,2005-27,16.8
2005-07-15,2005-28,16.57
2005-07-22,2005-29,16.52
2005-07-29,2005-30,16.73
2005-08-05,2005-31,17.0
2005-08-12,2005-32,16.65
2005-08-19,2005-33,16.85
2005-08-26,2005-34,16.66
2005-09-02,2005-35,16.99
2005-09-09,2005-36,16.77
2005-09-16,2005-37,16.78
2005-09-23,2005-38,17.04
2005-09-30,2005-39,16.45
2005-10-07,2005-40,16.94
2005-10-14,2005-41,16.67
2005-10-21,2005-42,16.29
2005-10-28,2005-43,16.62
2005-11-04,2005-44,16.58
2005-11-11,2005-45,16.45
2005-11-18,2005-46,16.14
2005-11-25,2005-47,16.24
2005-12-02,2005-48,16.37
2005-12-09,2005-49,16.05
2005-12-16,2005-50,16.29
2005-12-23,2005-51,16.21
2005-12-30,2005-52,16.47
2006-01-06,2006-1,16.45
2006-01-13,2006-2,
2006-01-20,2006-3,15.59
2006-01-27,2006-4,15.7
2006-02-03,2006-5,15.68
2006-02-10,2006-6,15.74
2006-02-17,2006-7,15.92
2006-02-24,2006-8,15.7
2006-03-03,2006-9,15.67
2006-03-10,2006-10,15.49
2006-03-17,2006-11,15.42
2006-03-24,2006-12,14.84
2006-03-31,2006-13,15.23
2006-04-07,2006-14,15.34
2006-04-14,2006-15,15.16
2006-04-21,2006-16,15.33
2006-04-28,2006-17,14.87
2006-05-05,2006-18,14.94
2006-05-12,2006-19,15.06
2006-05-19,2006-20,14.86
2006-05-26,2006-21,14.84
2006-06-02,2006-22,14.54
2006-06-09,2006-23,15.17
2006-06-16,2006-24,15.58
2006-06-23,2006-25,15.57
2006-06-30,2006-26,17.06
2006-07-07,2006-27,17.64
2006-07-14,2006-28,17.3
2006-07-21,2006-29,18.33
2006-07-28,2006-30,18.58
2006-08-04,2006-31,18.3
2006-08-11,2006-32,18.37
