Tarih,TP_IYABGS4S_S12_C
2024-06-01,13.23141
2024-07-01,12.90829
2024-08-01,14.54457
2024-09-01,13.12389
2024-10-01,11.77639
2024-11-01,15.85589
2024-12-01,13.52003
2025-01-01,8.95139
2025-02-01,5.10046
2025-03-01,8.39613
2025-04-01,7.73476
2025-05-01,12.99582
2025-06-01,10.02284
2025-07-01,13.67277
2025-08-01,10.43238
2025-09-01,11.53829
