Tarih,TP_IYABGS4S_S12_A
2024-06-01,31.46413
2024-07-01,31.61973
2024-08-01,20.89534
2024-09-01,27.53079
2024-10-01,27.89958
2024-11-01,26.14455
2024-12-01,26.98214
2025-01-01,31.94663
2025-02-01,35.58481
2025-03-01,27.97631
2025-04-01,31.7814
2025-05-01,26.37132
2025-06-01,24.81223
2025-07-01,28.18032
2025-08-01,22.80545
2025-09-01,25.18176
