Tarih,TP_IYABGS4S_S09_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,78.75359
2007-02-01,
2007-03-01,
2007-04-01,76.67497
2007-05-01,
2007-06-01,
2007-07-01,78.64466
2007-08-01,
2007-09-01,
2007-10-01,86.38253
2007-11-01,
2007-12-01,
2008-01-01,77.90218
2008-02-01,
2008-03-01,
2008-04-01,79.88672
2008-05-01,
2008-06-01,
2008-07-01,81.55909
2008-08-01,
2008-09-01,
2008-10-01,57.75048
2008-11-01,
2008-12-01,
2009-01-01,50.05041
2009-02-01,
2009-03-01,
2009-04-01,42.88594
2009-05-01,
2009-06-01,
2009-07-01,47.90714
2009-08-01,
2009-09-01,
2009-10-01,67.96463
2009-11-01,
2009-12-01,
2010-01-01,70.07907
2010-02-01,
2010-03-01,
2010-04-01,72.4764
2010-05-01,
2010-06-01,
2010-07-01,77.6987
2010-08-01,
2010-09-01,
2010-10-01,73.31226
2010-11-01,
2010-12-01,
2011-01-01,84.27773
2011-02-01,
2011-03-01,
2011-04-01,84.05154
2011-05-01,
2011-06-01,
2011-07-01,75.24437
2011-08-01,
2011-09-01,
2011-10-01,79.73883
2011-11-01,
2011-12-01,
2012-01-01,87.0536
2012-02-01,
2012-03-01,
2012-04-01,84.19129
2012-05-01,
2012-06-01,
2012-07-01,83.63982
2012-08-01,
2012-09-01,
2012-10-01,80.19695
2012-11-01,
2012-12-01,
2013-01-01,85.51325
2013-02-01,
2013-03-01,
2013-04-01,77.01725
2013-05-01,
2013-06-01,
2013-07-01,86.6767
2013-08-01,
2013-09-01,
2013-10-01,86.23909
2013-11-01,
2013-12-01,
2014-01-01,84.84519
2014-02-01,
2014-03-01,
2014-04-01,90.43036
2014-05-01,
2014-06-01,
2014-07-01,83.51429
2014-08-01,
2014-09-01,
2014-10-01,83.61039
2014-11-01,
2014-12-01,
2015-01-01,87.9719
2015-02-01,
2015-03-01,
2015-04-01,87.97338
2015-05-01,
2015-06-01,
2015-07-01,86.94843
2015-08-01,
2015-09-01,
2015-10-01,86.19342
2015-11-01,
2015-12-01,
2016-01-01,86.59714
2016-02-01,
2016-03-01,
2016-04-01,85.78088
2016-05-01,
2016-06-01,
2016-07-01,90.23869
2016-08-01,
2016-09-01,
2016-10-01,87.24594
2016-11-01,
2016-12-01,
2017-01-01,80.78689
2017-02-01,
2017-03-01,
2017-04-01,87.20096
2017-05-01,
2017-06-01,
2017-07-01,88.79461
2017-08-01,
2017-09-01,
2017-10-01,93.62963
2017-11-01,
2017-12-01,
2018-01-01,90.90928
2018-02-01,
2018-03-01,
2018-04-01,91.18732
2018-05-01,
2018-06-01,
2018-07-01,88.71996
2018-08-01,
2018-09-01,
2018-10-01,78.45536
2018-11-01,
2018-12-01,
2019-01-01,76.00994
2019-02-01,
2019-03-01,
2019-04-01,82.91725
2019-05-01,
2019-06-01,
2019-07-01,82.22463
2019-08-01,
2019-09-01,
2019-10-01,82.89712
2019-11-01,
2019-12-01,
2020-01-01,87.90131
2020-02-01,
2020-03-01,
2020-04-01,61.5989
2020-05-01,
2020-06-01,
2020-07-01,77.86361
2020-08-01,
2020-09-01,
2020-10-01,82.91453
2020-11-01,
2020-12-01,
2021-01-01,73.66599
2021-02-01,
2021-03-01,
2021-04-01,72.4
2021-05-01,
2021-06-01,
2021-07-01,85.99659
2021-08-01,
2021-09-01,
2021-10-01,84.97219
2021-11-01,
2021-12-01,
2022-01-01,88.47276
2022-02-01,
2022-03-01,
2022-04-01,85.70048
2022-05-01,
2022-06-01,
2022-07-01,86.6627
2022-08-01,
2022-09-01,
2022-10-01,86.74601
2022-11-01,
2022-12-01,
2023-01-01,79.40092
2023-02-01,
2023-03-01,
2023-04-01,87.41143
2023-05-01,
2023-06-01,
2023-07-01,89.74933
2023-08-01,
2023-09-01,
2023-10-01,84.61619
2023-11-01,
2023-12-01,
2024-01-01,83.19716
2024-02-01,
2024-03-01,
2024-04-01,88.27322
2024-05-01,
2024-06-01,
2024-07-01,85.04841
2024-08-01,
2024-09-01,
2024-10-01,85.61063
2024-11-01,
2024-12-01,
2025-01-01,88.34083
2025-02-01,
2025-03-01,
2025-04-01,85.89284
2025-05-01,
2025-06-01,
2025-07-01,86.50669
