Tarih,TP_IN_RH2_HALK_TOP_B
2015-09-01,136523.0
2015-10-01,125747.0
2015-11-01,134488.5
2015-12-01,230731.0
2016-01-01,168045.6
2016-02-01,81150.3
2016-03-01,160414.8
2016-04-01,253214.0
2016-05-01,137476.0
2016-06-01,282794.3
2016-07-01,88366.0
2016-08-01,112810.0
2016-09-01,74018.0
2016-10-01,104759.0
2016-11-01,110853.2
2016-12-01,242398.1
2017-01-01,96794.8
2017-02-01,134561.0
2017-03-01,117812.0
2017-04-01,60309.0
2017-05-01,177064.0
2017-06-01,135561.0
2017-07-01,77621.0
2017-08-01,116721.9
2017-09-01,152435.0
2017-10-01,117641.1
2017-11-01,80083.6
2017-12-01,81029.0
2018-01-01,53436.0
2018-02-01,93288.0
2018-03-01,104372.5
2018-04-01,118860.0
2018-05-01,90512.0
2018-06-01,36516.0
2018-07-01,50136.0
2018-08-01,30869.0
2018-09-01,118328.0
2018-10-01,76767.6
2018-11-01,105036.0
2018-12-01,106716.4
2019-01-01,64653.0
2019-02-01,238966.0
2019-03-01,137396.0
2019-04-01,108304.9
2019-05-01,69356.0
2019-06-01,53228.0
2019-07-01,164783.0
2019-08-01,221199.0
2019-09-01,29595.0
2019-10-01,58563.0
2019-11-01,59050.0
2019-12-01,31627.0
2020-01-01,75370.0
2020-02-01,115944.4
2020-03-01,99466.5
2020-04-01,12885.0
2020-05-01,46154.0
2020-06-01,134493.0
2020-07-01,27084.0
2020-08-01,32056.0
2020-09-01,36505.0
2020-10-01,158657.0
2020-11-01,89328.1
2020-12-01,16591.0
2021-01-01,90652.0
2021-02-01,71120.9
2021-03-01,41023.0
2021-04-01,95600.0
2021-05-01,100767.0
2021-06-01,89402.8
2021-07-01,117521.0
2021-08-01,79482.0
2021-09-01,103949.1
2021-10-01,57861.0
2021-11-01,83826.0
2021-12-01,157486.8
2022-01-01,47099.6
2022-02-01,22889.6
2022-03-01,159649.7
2022-04-01,178936.1
2022-05-01,29314.3
2022-06-01,87730.0
2022-07-01,25746.1
2022-08-01,163015.4
2022-09-01,87437.9
2022-10-01,103472.7
2022-11-01,34180.2
2022-12-01,148245.8
2023-01-01,66769.1
2023-02-01,53754.2
2023-03-01,22954.0
2023-04-01,71554.2
2023-05-01,169267.1
2023-06-01,78851.7
2023-07-01,67654.4
2023-08-01,68656.2
2023-09-01,34335.1
2023-10-01,68157.9
2023-11-01,60073.9
2023-12-01,74568.7
2024-01-01,37891.6
2024-02-01,69644.7
2024-03-01,72883.1
2024-04-01,116395.8
2024-05-01,65372.4
2024-06-01,17876.9
2024-07-01,13061.7
2024-08-01,83609.8
2024-09-01,36889.1
2024-10-01,34126.9
2024-11-01,86143.3
2024-12-01,83074.1
2025-01-01,87197.4
2025-02-01,47090.9
2025-03-01,68760.2
2025-04-01,36126.3
2025-05-01,95481.8
2025-06-01,78454.1
