Tarih,TP_IN_RH2_SANAYI_OZE_B
2015-06-01,1591698.6
2015-07-01,1252629.0
2015-08-01,1217544.6
2015-09-01,1057939.7
2015-10-01,827417.3
2015-11-01,1334570.9
2015-12-01,1486889.8
2016-01-01,955229.0
2016-02-01,975301.4
2016-03-01,1399747.2
2016-04-01,1279810.3
2016-05-01,1291856.8
2016-06-01,1601664.5
2016-07-01,1024393.2
2016-08-01,998491.2
2016-09-01,890516.9
2016-10-01,948016.7
2016-11-01,1135462.3
2016-12-01,1296278.0
2017-01-01,891182.7
2017-02-01,730390.0
2017-03-01,861871.5
2017-04-01,1085907.8
2017-05-01,957085.5
2017-06-01,1330106.8
2017-07-01,1014168.9
2017-08-01,1453908.9
2017-09-01,1903523.8
2017-10-01,1430172.5
2017-11-01,1504244.4
2017-12-01,1547528.4
2018-01-01,1122945.0
2018-02-01,1012313.1
2018-03-01,1014474.1
2018-04-01,1294191.5
2018-05-01,1349964.2
2018-06-01,1437902.6
2018-07-01,1610388.9
2018-08-01,1376112.9
2018-09-01,917913.2
2018-10-01,1045151.7
2018-11-01,1175924.0
2018-12-01,2483732.5
2019-01-01,716373.4
2019-02-01,650997.1
2019-03-01,664484.0
2019-04-01,567427.9
2019-05-01,727873.3
2019-06-01,336680.8
2019-07-01,829189.1
2019-08-01,858634.1
2019-09-01,836284.4
2019-10-01,1201135.0
2019-11-01,1156805.4
2019-12-01,1350178.7
2020-01-01,801182.6
2020-02-01,1268873.1
2020-03-01,1004583.0
2020-04-01,1026063.4
2020-05-01,815360.0
2020-06-01,1465969.6
2020-07-01,1249488.5
2020-08-01,1236276.8
2020-09-01,1450506.3
2020-10-01,1570188.7
2020-11-01,1632881.6
2020-12-01,2285807.7
2021-01-01,1296345.8
2021-02-01,1503014.4
2021-03-01,1900369.5
2021-04-01,1855571.3
2021-05-01,1488466.3
2021-06-01,2713549.6
2021-07-01,1820471.5
2021-08-01,1866418.1
2021-09-01,2282495.2
2021-10-01,2198947.2
2021-11-01,2388160.6
2021-12-01,2898817.3
2022-01-01,1188021.5
2022-02-01,1675712.0
2022-03-01,2453132.6
2022-04-01,2257403.9
2022-05-01,1810117.6
2022-06-01,2394824.9
2022-07-01,1641709.9
2022-08-01,2493836.5
2022-09-01,2561776.1
2022-10-01,2038683.3
2022-11-01,2365330.6
2022-12-01,3745285.1
2023-01-01,1686100.1
2023-02-01,1454640.9
2023-03-01,1703781.9
2023-04-01,1790234.0
2023-05-01,2840052.3
2023-06-01,2299721.6
2023-07-01,2472522.2
2023-08-01,2728995.1
2023-09-01,2411375.7
2023-10-01,2131969.4
2023-11-01,2217143.4
2023-12-01,4074142.3
2024-01-01,1224815.7
2024-02-01,1599034.5
2024-03-01,1837460.8
2024-04-01,1733767.9
2024-05-01,1893844.8
2024-06-01,1719916.3
2024-07-01,1982726.7
2024-08-01,1681171.2
2024-09-01,2049013.5
2024-10-01,2116958.5
2024-11-01,1841238.2
2024-12-01,3413156.7
2025-01-01,1464556.3
2025-02-01,1040649.3
2025-03-01,2181005.2
2025-04-01,1382878.6
2025-05-01,1752913.6
2025-06-01,1593778.3
