Tarih,TP_IN_RH2_DIGER_DEV_B
2015-09-01,82439.6
2015-10-01,492837.7
2015-11-01,275656.0
2015-12-01,131584.7
2016-01-01,183125.8
2016-02-01,174905.6
2016-03-01,412918.2
2016-04-01,170593.4
2016-05-01,241773.8
2016-06-01,441576.2
2016-07-01,105048.9
2016-08-01,332377.5
2016-09-01,130580.4
2016-10-01,192400.9
2016-11-01,285858.8
2016-12-01,263008.0
2017-01-01,224949.1
2017-02-01,529220.8
2017-03-01,297976.7
2017-04-01,813117.5
2017-05-01,380144.9
2017-06-01,158759.4
2017-07-01,452051.5
2017-08-01,332328.7
2017-09-01,473930.0
2017-10-01,787641.8
2017-11-01,424923.5
2017-12-01,1014010.5
2018-01-01,271195.0
2018-02-01,480758.9
2018-03-01,279609.0
2018-04-01,236074.3
2018-05-01,266741.0
2018-06-01,521079.2
2018-07-01,207993.3
2018-08-01,212458.5
2018-09-01,159973.2
2018-10-01,120303.9
2018-11-01,93717.5
2018-12-01,318101.2
2019-01-01,39474.5
2019-02-01,98077.0
2019-03-01,142646.7
2019-04-01,116048.9
2019-05-01,96745.7
2019-06-01,76482.0
2019-07-01,71079.1
2019-08-01,110040.1
2019-09-01,114211.5
2019-10-01,34934.7
2019-11-01,214144.3
2019-12-01,220666.8
2020-01-01,127903.6
2020-02-01,135979.4
2020-03-01,75826.4
2020-04-01,40770.8
2020-05-01,33533.8
2020-06-01,103009.7
2020-07-01,115836.9
2020-08-01,136079.0
2020-09-01,55146.8
2020-10-01,218117.8
2020-11-01,903954.1
2020-12-01,265511.5
2021-01-01,149098.8
2021-02-01,74686.1
2021-03-01,285469.3
2021-04-01,125239.0
2021-05-01,81153.7
2021-06-01,183275.4
2021-07-01,41925.6
2021-08-01,369317.2
2021-09-01,406257.9
2021-10-01,118206.5
2021-11-01,77807.0
2021-12-01,109320.1
2022-01-01,31199.9
2022-02-01,79375.6
2022-03-01,153917.7
2022-04-01,103604.6
2022-05-01,91843.2
2022-06-01,143941.9
2022-07-01,44579.9
2022-08-01,166196.3
2022-09-01,146138.8
2022-10-01,129462.3
2022-11-01,67221.6
2022-12-01,86519.4
2023-01-01,71586.3
2023-02-01,65111.8
2023-03-01,111765.7
2023-04-01,66644.9
2023-05-01,73259.2
2023-06-01,47481.2
2023-07-01,30042.6
2023-08-01,83710.3
2023-09-01,83142.7
2023-10-01,67771.0
2023-11-01,137308.1
2023-12-01,238719.6
2024-01-01,41768.1
2024-02-01,86879.9
2024-03-01,103910.3
2024-04-01,80149.6
2024-05-01,66900.3
2024-06-01,90219.4
2024-07-01,173889.8
2024-08-01,126827.2
2024-09-01,193709.2
2024-10-01,58661.9
2024-11-01,93982.4
2024-12-01,132181.6
2025-01-01,110099.2
2025-02-01,102132.0
2025-03-01,88375.4
2025-04-01,70373.6
2025-05-01,130682.3
2025-06-01,87340.9
