Tarih,TP_IN_RH2_DIGER_TOP_B
2015-09-01,703125.2
2015-10-01,1115350.4
2015-11-01,1366782.8
2015-12-01,804950.1
2016-01-01,717515.2
2016-02-01,1249509.2
2016-03-01,2677828.6
2016-04-01,1112883.6
2016-05-01,907498.9
2016-06-01,868343.5
2016-07-01,317651.2
2016-08-01,728804.1
2016-09-01,488500.2
2016-10-01,624372.2
2016-11-01,581249.1
2016-12-01,638030.4
2017-01-01,499132.1
2017-02-01,774358.3
2017-03-01,581586.2
2017-04-01,1160935.9
2017-05-01,800357.5
2017-06-01,722622.5
2017-07-01,748724.3
2017-08-01,728818.5
2017-09-01,954002.2
2017-10-01,1421933.2
2017-11-01,901226.5
2017-12-01,1484100.9
2018-01-01,605914.8
2018-02-01,887184.3
2018-03-01,697786.5
2018-04-01,680223.2
2018-05-01,731589.1
2018-06-01,1183391.6
2018-07-01,764161.4
2018-08-01,625653.2
2018-09-01,553264.7
2018-10-01,543503.2
2018-11-01,533271.5
2018-12-01,762495.9
2019-01-01,283663.1
2019-02-01,305529.3
2019-03-01,558162.2
2019-04-01,352755.1
2019-05-01,334140.9
2019-06-01,171515.9
2019-07-01,417498.0
2019-08-01,383760.9
2019-09-01,326004.2
2019-10-01,323010.2
2019-11-01,405888.9
2019-12-01,319091.4
2020-01-01,240211.1
2020-02-01,287435.8
2020-03-01,269669.4
2020-04-01,209892.7
2020-05-01,200394.6
2020-06-01,370541.7
2020-07-01,357290.9
2020-08-01,418067.8
2020-09-01,469135.1
2020-10-01,638981.9
2020-11-01,1267579.7
2020-12-01,727091.9
2021-01-01,404680.5
2021-02-01,315265.4
2021-03-01,729226.6
2021-04-01,478706.5
2021-05-01,401593.6
2021-06-01,736198.4
2021-07-01,489632.4
2021-08-01,780945.4
2021-09-01,911148.0
2021-10-01,464833.2
2021-11-01,433407.6
2021-12-01,612313.5
2022-01-01,234916.8
2022-02-01,211779.6
2022-03-01,534919.0
2022-04-01,347536.6
2022-05-01,266762.8
2022-06-01,591721.0
2022-07-01,217719.4
2022-08-01,395784.0
2022-09-01,326784.9
2022-10-01,384477.1
2022-11-01,287209.5
2022-12-01,407427.8
2023-01-01,292863.9
2023-02-01,223160.7
2023-03-01,273892.2
2023-04-01,244393.3
2023-05-01,273296.6
2023-06-01,316920.2
2023-07-01,209036.4
2023-08-01,256139.5
2023-09-01,241383.0
2023-10-01,225862.5
2023-11-01,271903.0
2023-12-01,785832.0
2024-01-01,137373.9
2024-02-01,433012.6
2024-03-01,368783.2
2024-04-01,203414.5
2024-05-01,366899.9
2024-06-01,290060.3
2024-07-01,487622.8
2024-08-01,511137.0
2024-09-01,541843.4
2024-10-01,479375.8
2024-11-01,1011054.9
2024-12-01,985885.2
2025-01-01,236494.6
2025-02-01,217101.5
2025-03-01,260279.7
2025-04-01,236336.6
2025-05-01,436203.0
2025-06-01,471568.7
