Tarih,TP_IN_RH2_TOPLAM_DEV_B
2015-04-01,3661462.2
2015-05-01,3170225.6
2015-06-01,3425250.8
2015-07-01,2343850.1
2015-08-01,2306386.9
2015-09-01,2579317.8
2015-10-01,1549031.4
2015-11-01,1249191.8
2015-12-01,2963486.9
2016-01-01,3787904.4
2016-02-01,2972934.9
2016-03-01,3036253.4
2016-04-01,1832657.1
2016-05-01,2831232.4
2016-06-01,2104979.4
2016-07-01,1291287.9
2016-08-01,2085253.4
2016-09-01,1727752.6
2016-10-01,2977241.0
2016-11-01,2800383.6
2016-12-01,4185872.4
2017-01-01,2443808.0
2017-02-01,2191228.8
2017-03-01,2779926.2
2017-04-01,3646195.6
2017-05-01,3775199.4
2017-06-01,5170470.1
2017-07-01,2987425.0
2017-08-01,2355472.4
2017-09-01,6788548.0
2017-10-01,3100033.5
2017-11-01,2916453.9
2017-12-01,3819375.7
2018-01-01,3191541.6
2018-02-01,2912401.5
2018-03-01,2446637.2
2018-04-01,2361052.8
2018-05-01,2296296.7
2018-06-01,2748418.8
2018-07-01,2639834.0
2018-08-01,1798302.6
2018-09-01,2292549.2
2018-10-01,2872661.5
2018-11-01,2356034.1
2018-12-01,2709942.4
2019-01-01,1334958.5
2019-02-01,1962327.9
2019-03-01,1842039.1
2019-04-01,947349.9
2019-05-01,1290835.9
2019-06-01,554514.6
2019-07-01,1174170.1
2019-08-01,1140146.6
2019-09-01,1414400.4
2019-10-01,693256.3
2019-11-01,1461784.2
2019-12-01,1338847.1
2020-01-01,1125165.9
2020-02-01,1098019.7
2020-03-01,1727660.6
2020-04-01,639106.5
2020-05-01,768891.1
2020-06-01,1961429.6
2020-07-01,1411242.2
2020-08-01,1076443.7
2020-09-01,1524122.6
2020-10-01,1056025.9
2020-11-01,2458090.9
2020-12-01,2349611.6
2021-01-01,1461783.1
2021-02-01,1682511.1
2021-03-01,1950743.1
2021-04-01,1388802.5
2021-05-01,1621724.4
2021-06-01,1686797.1
2021-07-01,1673932.2
2021-08-01,2538474.4
2021-09-01,2223003.8
2021-10-01,2294262.6
2021-11-01,2778805.5
2021-12-01,4109576.0
2022-01-01,1878112.7
2022-02-01,2036726.1
2022-03-01,2304318.6
2022-04-01,2253413.9
2022-05-01,1886020.4
2022-06-01,1864706.5
2022-07-01,1284345.6
2022-08-01,2031988.9
2022-09-01,2704742.3
2022-10-01,1832344.9
2022-11-01,2157891.7
2022-12-01,2826760.0
2023-01-01,1638983.4
2023-02-01,1151865.3
2023-03-01,1755961.3
2023-04-01,3456088.8
2023-05-01,1963363.6
2023-06-01,2860755.1
2023-07-01,2395233.8
2023-08-01,2982633.7
2023-09-01,3976340.3
2023-10-01,2827288.9
2023-11-01,3317774.0
2023-12-01,3904329.6
2024-01-01,2560382.3
2024-02-01,3769580.5
2024-03-01,5008086.4
2024-04-01,2454759.0
2024-05-01,1911308.4
2024-06-01,1415444.6
2024-07-01,2284282.6
2024-08-01,2287722.7
2024-09-01,3006143.7
2024-10-01,2680443.2
2024-11-01,3069355.9
2024-12-01,4306488.8
2025-01-01,2789299.4
2025-02-01,2063617.1
2025-03-01,2986318.0
2025-04-01,3253910.3
2025-05-01,6578468.5
2025-06-01,3783310.1
