Tarih,TP_IN_RH2_HALK_OZE_B
2015-09-01,57588.0
2015-10-01,43487.0
2015-11-01,87365.5
2015-12-01,191450.0
2016-01-01,17821.0
2016-02-01,52457.0
2016-03-01,101373.8
2016-04-01,200343.0
2016-05-01,42836.0
2016-06-01,129898.0
2016-07-01,62953.0
2016-08-01,55667.0
2016-09-01,9165.0
2016-10-01,16781.0
2016-11-01,68115.0
2016-12-01,137146.1
2017-01-01,74956.8
2017-02-01,60934.0
2017-03-01,62955.0
2017-04-01,20433.0
2017-05-01,61644.0
2017-06-01,67368.0
2017-07-01,46297.0
2017-08-01,45814.0
2017-09-01,95442.0
2017-10-01,64444.0
2017-11-01,25158.6
2017-12-01,26021.0
2018-01-01,4303.0
2018-02-01,49636.0
2018-03-01,22497.0
2018-04-01,66093.0
2018-05-01,48608.0
2018-06-01,8375.0
2018-07-01,24218.0
2018-08-01,3637.0
2018-09-01,16899.0
2018-10-01,48298.6
2018-11-01,13354.0
2018-12-01,68710.0
2019-01-01,4589.0
2019-02-01,63989.0
2019-03-01,20101.0
2019-04-01,14811.0
2019-05-01,6180.0
2019-06-01,11661.0
2019-07-01,21330.0
2019-08-01,7294.0
2019-09-01,16297.0
2019-10-01,47669.0
2019-11-01,19914.0
2019-12-01,6778.0
2020-01-01,8608.0
2020-02-01,20604.0
2020-03-01,10299.0
2020-04-01,7781.0
2020-05-01,
2020-06-01,54685.0
2020-07-01,17051.0
2020-08-01,16182.0
2020-09-01,25617.0
2020-10-01,11481.0
2020-11-01,15979.8
2020-12-01,9245.0
2021-01-01,13031.0
2021-02-01,18793.2
2021-03-01,27482.0
2021-04-01,8323.0
2021-05-01,23.0
2021-06-01,30006.8
2021-07-01,8747.0
2021-08-01,17582.0
2021-09-01,19849.0
2021-10-01,16560.0
2021-11-01,15070.0
2021-12-01,37230.8
2022-01-01,28639.8
2022-02-01,11857.0
2022-03-01,15565.1
2022-04-01,13369.2
2022-05-01,20057.8
2022-06-01,9059.7
2022-07-01,7062.5
2022-08-01,9301.8
2022-09-01,38157.7
2022-10-01,23400.0
2022-11-01,9112.3
2022-12-01,60029.2
2023-01-01,31098.1
2023-02-01,15842.4
2023-03-01,11762.2
2023-04-01,10701.8
2023-05-01,10784.0
2023-06-01,38610.0
2023-07-01,4719.6
2023-08-01,6645.6
2023-09-01,15661.0
2023-10-01,15013.3
2023-11-01,31888.2
2023-12-01,24600.9
2024-01-01,7249.9
2024-02-01,28036.5
2024-03-01,16919.7
2024-04-01,33470.8
2024-05-01,2762.6
2024-06-01,12871.2
2024-07-01,5049.0
2024-08-01,10532.0
2024-09-01,1760.0
2024-10-01,17130.2
2024-11-01,7045.0
2024-12-01,29298.5
2025-01-01,9032.8
2025-02-01,
2025-03-01,10827.3
2025-04-01,3475.3
2025-05-01,11406.1
2025-06-01,53474.1
