Tarih,TP_IN_RH2_EV_DEV_B
2015-10-01,2712.0
2015-11-01,5504.5
2015-12-01,4357.0
2016-01-01,2354.1
2016-02-01,4780.0
2016-03-01,2326.0
2016-04-01,573.0
2016-05-01,1789.0
2016-06-01,3066.0
2016-07-01,7498.0
2016-08-01,2354.1
2016-09-01,8413.9
2016-10-01,2016.1
2016-11-01,20284.0
2016-12-01,30389.0
2017-01-01,97.0
2017-02-01,2036.0
2017-03-01,5402.0
2017-04-01,18963.0
2017-05-01,2242.4
2017-06-01,1574.0
2017-07-01,237.0
2017-08-01,2669.0
2017-09-01,13663.0
2017-10-01,1069.5
2017-11-01,15204.6
2017-12-01,2230.0
2018-01-01,2584.0
2018-02-01,19234.1
2018-03-01,2685.9
2018-04-01,12704.3
2018-05-01,16971.0
2018-06-01,24845.0
2018-07-01,7706.2
2018-08-01,5967.0
2018-09-01,30986.5
2018-10-01,33327.7
2018-11-01,17549.0
2018-12-01,1897.0
2019-01-01,26217.9
2019-02-01,8298.9
2019-03-01,2244.0
2019-04-01,30074.8
2019-05-01,51458.0
2019-06-01,31472.8
2019-07-01,55139.4
2019-08-01,18096.7
2019-09-01,52952.5
2019-10-01,20170.0
2019-11-01,49760.0
2019-12-01,3581.0
2020-01-01,3439.0
2020-02-01,8477.0
2020-03-01,33107.0
2020-04-01,2437.0
2020-05-01,1668.0
2020-06-01,26452.0
2020-07-01,10323.0
2020-08-01,10218.9
2020-09-01,17905.8
2020-10-01,44400.5
2020-11-01,3286.1
2020-12-01,11063.5
2021-01-01,1837.0
2021-02-01,486.9
2021-03-01,11805.9
2021-04-01,1892.0
2021-05-01,8216.7
2021-06-01,13343.0
2021-07-01,38556.5
2021-08-01,40072.3
2021-09-01,31116.0
2021-10-01,38524.3
2021-11-01,35076.8
2021-12-01,36799.6
2022-01-01,4131.0
2022-02-01,31293.6
2022-03-01,26474.4
2022-04-01,62739.4
2022-05-01,38537.0
2022-06-01,34177.5
2022-07-01,20294.2
2022-08-01,69553.2
2022-09-01,88628.1
2022-10-01,15281.4
2022-11-01,26995.3
2022-12-01,17216.6
2023-01-01,142694.4
2023-02-01,4981.1
2023-03-01,16685.8
2023-04-01,23578.3
2023-05-01,25254.3
2023-06-01,16703.1
2023-07-01,5570.7
2023-08-01,61071.1
2023-09-01,43987.5
2023-10-01,20884.8
2023-11-01,27606.2
2023-12-01,95551.4
2024-01-01,40756.8
2024-02-01,51703.3
2024-03-01,105681.4
2024-04-01,37839.6
2024-05-01,23347.6
2024-06-01,18066.8
2024-07-01,78117.9
2024-08-01,72194.2
2024-09-01,90629.7
2024-10-01,105242.4
2024-11-01,116213.0
2024-12-01,158881.9
2025-01-01,204387.2
2025-02-01,176934.2
2025-03-01,134755.7
2025-04-01,151390.3
2025-05-01,117594.2
2025-06-01,127545.3
