Tarih,TP_IN_RH2_EV_OZE_B
2015-09-01,381940.2
2015-10-01,327179.5
2015-11-01,421943.9
2015-12-01,631272.4
2016-01-01,370914.1
2016-02-01,390197.7
2016-03-01,375612.6
2016-04-01,487888.0
2016-05-01,413836.3
2016-06-01,451615.8
2016-07-01,303583.1
2016-08-01,371114.9
2016-09-01,309199.0
2016-10-01,452522.4
2016-11-01,453022.9
2016-12-01,484704.1
2017-01-01,300462.5
2017-02-01,253584.4
2017-03-01,422562.2
2017-04-01,448217.9
2017-05-01,453686.8
2017-06-01,873876.6
2017-07-01,424672.4
2017-08-01,423778.1
2017-09-01,910225.4
2017-10-01,474289.0
2017-11-01,378583.7
2017-12-01,439681.3
2018-01-01,292836.8
2018-02-01,343269.2
2018-03-01,424628.9
2018-04-01,386615.4
2018-05-01,499537.4
2018-06-01,393776.6
2018-07-01,373199.2
2018-08-01,316837.3
2018-09-01,354814.5
2018-10-01,348224.2
2018-11-01,344058.3
2018-12-01,530900.8
2019-01-01,219160.1
2019-02-01,187050.7
2019-03-01,329809.3
2019-04-01,219908.3
2019-05-01,226088.0
2019-06-01,136772.9
2019-07-01,197361.8
2019-08-01,193480.4
2019-09-01,245709.1
2019-10-01,281452.7
2019-11-01,366616.4
2019-12-01,489277.3
2020-01-01,214687.3
2020-02-01,225575.7
2020-03-01,289159.8
2020-04-01,245599.4
2020-05-01,272940.3
2020-06-01,529503.8
2020-07-01,535948.7
2020-08-01,505796.3
2020-09-01,733978.8
2020-10-01,806065.7
2020-11-01,905779.5
2020-12-01,1274415.9
2021-01-01,660594.7
2021-02-01,713312.0
2021-03-01,1070021.9
2021-04-01,915626.1
2021-05-01,572403.2
2021-06-01,1076175.2
2021-07-01,800856.5
2021-08-01,921589.0
2021-09-01,1150982.5
2021-10-01,1199314.1
2021-11-01,1147537.1
2021-12-01,1903011.6
2022-01-01,675900.0
2022-02-01,700745.0
2022-03-01,1010322.9
2022-04-01,933198.1
2022-05-01,722656.5
2022-06-01,1072545.5
2022-07-01,656772.0
2022-08-01,950353.7
2022-09-01,955306.5
2022-10-01,1070563.3
2022-11-01,1007241.4
2022-12-01,1978900.4
2023-01-01,1092616.9
2023-02-01,544077.6
2023-03-01,746432.9
2023-04-01,785597.4
2023-05-01,1030111.3
2023-06-01,965666.7
2023-07-01,1124049.3
2023-08-01,1213654.6
2023-09-01,1186190.0
2023-10-01,1167240.8
2023-11-01,1121951.7
2023-12-01,2152036.4
2024-01-01,491560.9
2024-02-01,741614.0
2024-03-01,1176758.3
2024-04-01,577531.9
2024-05-01,916325.2
2024-06-01,669198.0
2024-07-01,919530.8
2024-08-01,726912.5
2024-09-01,765161.0
2024-10-01,809324.9
2024-11-01,880718.9
2024-12-01,1682911.8
2025-01-01,545251.8
2025-02-01,453357.8
2025-03-01,562678.6
2025-04-01,493730.9
2025-05-01,722584.0
2025-06-01,862277.1
