Tarih,TP_IN_RH2_TOPLAM_TOP_D
2015-09-01,64734.0
2015-10-01,63305.0
2015-11-01,73992.0
2015-12-01,118265.0
2016-01-01,85120.0
2016-02-01,86149.0
2016-03-01,94865.0
2016-04-01,86224.0
2016-05-01,85131.0
2016-06-01,82982.0
2016-07-01,54327.0
2016-08-01,77466.0
2016-09-01,67284.0
2016-10-01,80139.0
2016-11-01,89076.0
2016-12-01,129319.0
2017-01-01,71378.0
2017-02-01,71184.0
2017-03-01,101572.0
2017-04-01,100105.0
2017-05-01,101096.0
2017-06-01,231721.0
2017-07-01,106521.0
2017-08-01,100412.0
2017-09-01,335268.0
2017-10-01,67040.0
2017-11-01,50676.0
2017-12-01,82677.0
2018-01-01,47803.0
2018-02-01,43652.0
2018-03-01,53422.0
2018-04-01,59234.0
2018-05-01,87230.0
2018-06-01,77596.0
2018-07-01,62457.0
2018-08-01,37509.0
2018-09-01,43718.0
2018-10-01,43849.0
2018-11-01,42112.0
2018-12-01,88682.0
2019-01-01,22517.0
2019-02-01,21021.0
2019-03-01,34951.0
2019-04-01,17327.0
2019-05-01,18367.0
2019-06-01,9765.0
2019-07-01,16904.0
2019-08-01,19611.0
2019-09-01,19854.0
2019-10-01,21559.0
2019-11-01,45265.0
2019-12-01,77774.0
2020-01-01,22888.0
2020-02-01,25189.0
2020-03-01,33534.0
2020-04-01,29658.0
2020-05-01,29451.0
2020-06-01,79407.0
2020-07-01,58360.0
2020-08-01,37472.0
2020-09-01,47497.0
2020-10-01,48035.0
2020-11-01,51565.0
2020-12-01,100677.0
2021-01-01,44416.0
2021-02-01,46285.0
2021-03-01,88480.0
2021-04-01,62635.0
2021-05-01,38818.0
2021-06-01,59689.0
2021-07-01,49219.0
2021-08-01,50149.0
2021-09-01,54072.0
2021-10-01,56210.0
2021-11-01,59879.0
2021-12-01,132512.0
2022-01-01,34898.0
2022-02-01,40081.0
2022-03-01,64007.0
2022-04-01,45592.0
2022-05-01,40769.0
2022-06-01,63499.0
2022-07-01,37936.0
2022-08-01,53700.0
2022-09-01,59697.0
2022-10-01,56839.0
2022-11-01,66766.0
2022-12-01,157813.0
2023-01-01,49071.0
2023-02-01,36202.0
2023-03-01,48800.0
2023-04-01,57123.0
2023-05-01,68465.0
2023-06-01,78800.0
2023-07-01,66217.0
2023-08-01,79753.0
2023-09-01,79021.0
2023-10-01,74565.0
2023-11-01,76695.0
2023-12-01,210273.0
2024-01-01,40207.0
2024-02-01,61767.0
2024-03-01,105240.0
2024-04-01,48421.0
2024-05-01,60409.0
2024-06-01,44808.0
2024-07-01,63148.0
2024-08-01,59476.0
2024-09-01,61086.0
2024-10-01,72015.0
2024-11-01,67912.0
2024-12-01,169501.0
2025-01-01,56367.0
2025-02-01,44903.0
2025-03-01,68208.0
2025-04-01,64586.0
2025-05-01,108669.0
2025-06-01,119178.0
