Tarih,TP_IN_RH2_APT_OZE_D
2015-09-01,54976.0
2015-10-01,58466.0
2015-11-01,68951.0
2015-12-01,108732.0
2016-01-01,72116.0
2016-02-01,74564.0
2016-03-01,84210.0
2016-04-01,79701.0
2016-05-01,74269.0
2016-06-01,76646.0
2016-07-01,50563.0
2016-08-01,69779.0
2016-09-01,60723.0
2016-10-01,72757.0
2016-11-01,79810.0
2016-12-01,112601.0
2017-01-01,62265.0
2017-02-01,65619.0
2017-03-01,90041.0
2017-04-01,91056.0
2017-05-01,91215.0
2017-06-01,206706.0
2017-07-01,95144.0
2017-08-01,90948.0
2017-09-01,308328.0
2017-10-01,56972.0
2017-11-01,40269.0
2017-12-01,69466.0
2018-01-01,35511.0
2018-02-01,37736.0
2018-03-01,46801.0
2018-04-01,51318.0
2018-05-01,78900.0
2018-06-01,69954.0
2018-07-01,53156.0
2018-08-01,32937.0
2018-09-01,35189.0
2018-10-01,35777.0
2018-11-01,33341.0
2018-12-01,78659.0
2019-01-01,16746.0
2019-02-01,15388.0
2019-03-01,31176.0
2019-04-01,14687.0
2019-05-01,14334.0
2019-06-01,8769.0
2019-07-01,12903.0
2019-08-01,15930.0
2019-09-01,14882.0
2019-10-01,17969.0
2019-11-01,38618.0
2019-12-01,71973.0
2020-01-01,18824.0
2020-02-01,20211.0
2020-03-01,26917.0
2020-04-01,26751.0
2020-05-01,26059.0
2020-06-01,70355.0
2020-07-01,50801.0
2020-08-01,32286.0
2020-09-01,37722.0
2020-10-01,41526.0
2020-11-01,42330.0
2020-12-01,84045.0
2021-01-01,35337.0
2021-02-01,36553.0
2021-03-01,76715.0
2021-04-01,53629.0
2021-05-01,29221.0
2021-06-01,48383.0
2021-07-01,37975.0
2021-08-01,39019.0
2021-09-01,45091.0
2021-10-01,44949.0
2021-11-01,46563.0
2021-12-01,107515.0
2022-01-01,23446.0
2022-02-01,27582.0
2022-03-01,51558.0
2022-04-01,34941.0
2022-05-01,32360.0
2022-06-01,52884.0
2022-07-01,32220.0
2022-08-01,42874.0
2022-09-01,46664.0
2022-10-01,45460.0
2022-11-01,54314.0
2022-12-01,138538.0
2023-01-01,39961.0
2023-02-01,31053.0
2023-03-01,37922.0
2023-04-01,42300.0
2023-05-01,57361.0
2023-06-01,60309.0
2023-07-01,50870.0
2023-08-01,59497.0
2023-09-01,55284.0
2023-10-01,59281.0
2023-11-01,53273.0
2023-12-01,176401.0
2024-01-01,25292.0
2024-02-01,37304.0
2024-03-01,77577.0
2024-04-01,33759.0
2024-05-01,48777.0
2024-06-01,35401.0
2024-07-01,48522.0
2024-08-01,46861.0
2024-09-01,44012.0
2024-10-01,53749.0
2024-11-01,49535.0
2024-12-01,137761.0
2025-01-01,39297.0
2025-02-01,33272.0
2025-03-01,50220.0
2025-04-01,45618.0
2025-05-01,65295.0
2025-06-01,94589.0
