Tarih,TP_IN_RH2_OFIS_DEV_B
2015-09-01,115597.8
2015-10-01,91349.0
2015-11-01,67514.1
2015-12-01,95261.1
2016-01-01,181120.3
2016-02-01,204416.5
2016-03-01,268884.2
2016-04-01,177415.5
2016-05-01,250569.0
2016-06-01,61260.9
2016-07-01,139633.0
2016-08-01,120892.5
2016-09-01,43365.8
2016-10-01,560812.3
2016-11-01,368773.3
2016-12-01,586643.2
2017-01-01,86758.2
2017-02-01,233523.2
2017-03-01,88682.0
2017-04-01,142255.7
2017-05-01,169711.0
2017-06-01,549304.0
2017-07-01,227184.0
2017-08-01,51982.5
2017-09-01,565834.8
2017-10-01,89471.4
2017-11-01,103076.0
2017-12-01,109325.0
2018-01-01,59328.2
2018-02-01,551072.6
2018-03-01,111932.0
2018-04-01,94891.6
2018-05-01,64068.8
2018-06-01,56187.5
2018-07-01,157140.4
2018-08-01,50674.0
2018-09-01,77075.0
2018-10-01,136153.7
2018-11-01,133659.8
2018-12-01,221390.7
2019-01-01,105971.8
2019-02-01,44940.0
2019-03-01,149791.2
2019-04-01,19410.9
2019-05-01,49045.5
2019-06-01,14437.0
2019-07-01,60588.7
2019-08-01,84789.0
2019-09-01,43569.9
2019-10-01,97276.4
2019-11-01,95201.8
2019-12-01,42118.4
2020-01-01,59958.9
2020-02-01,51478.0
2020-03-01,92989.0
2020-04-01,32014.9
2020-05-01,55203.4
2020-06-01,133129.7
2020-07-01,55724.9
2020-08-01,92750.4
2020-09-01,70856.9
2020-10-01,47915.7
2020-11-01,37604.3
2020-12-01,48332.5
2021-01-01,23839.2
2021-02-01,207746.1
2021-03-01,157654.8
2021-04-01,83829.2
2021-05-01,69381.3
2021-06-01,81564.2
2021-07-01,63553.7
2021-08-01,307282.3
2021-09-01,210773.0
2021-10-01,225076.3
2021-11-01,150435.0
2021-12-01,150480.8
2022-01-01,49579.7
2022-02-01,31181.5
2022-03-01,132424.0
2022-04-01,32366.9
2022-05-01,59982.9
2022-06-01,136832.5
2022-07-01,53957.1
2022-08-01,137825.2
2022-09-01,227526.7
2022-10-01,65048.4
2022-11-01,119415.0
2022-12-01,372684.8
2023-01-01,60608.0
2023-02-01,103318.7
2023-03-01,180916.2
2023-04-01,264278.5
2023-05-01,159927.9
2023-06-01,55799.8
2023-07-01,111704.5
2023-08-01,95702.3
2023-09-01,108830.4
2023-10-01,114971.6
2023-11-01,92979.3
2023-12-01,181123.5
2024-01-01,40403.5
2024-02-01,56055.0
2024-03-01,1082575.9
2024-04-01,47769.1
2024-05-01,103114.0
2024-06-01,77128.2
2024-07-01,231984.4
2024-08-01,260504.2
2024-09-01,176004.7
2024-10-01,151124.7
2024-11-01,135362.6
2024-12-01,262033.1
2025-01-01,119135.2
2025-02-01,45532.8
2025-03-01,152665.5
2025-04-01,168909.1
2025-05-01,179556.7
2025-06-01,125218.9
