Tarih,TP_IN_RH2_TOPTAN_DEV_B
2015-09-01,68729.0
2015-10-01,23012.0
2015-11-01,26165.0
2015-12-01,62383.0
2016-01-01,183891.0
2016-02-01,165826.0
2016-03-01,41419.0
2016-04-01,56478.1
2016-05-01,24609.1
2016-06-01,108132.0
2016-07-01,21959.0
2016-08-01,114059.3
2016-09-01,28008.9
2016-10-01,17841.0
2016-11-01,16653.0
2016-12-01,179867.0
2017-01-01,119584.5
2017-02-01,28348.0
2017-03-01,152641.5
2017-04-01,16240.3
2017-05-01,140653.8
2017-06-01,233784.0
2017-07-01,59912.6
2017-08-01,67375.0
2017-09-01,208480.2
2017-10-01,45631.2
2017-11-01,50549.0
2017-12-01,27446.0
2018-01-01,463003.0
2018-02-01,48829.0
2018-03-01,53031.9
2018-04-01,149576.0
2018-05-01,66085.0
2018-06-01,73721.5
2018-07-01,109999.6
2018-08-01,251024.0
2018-09-01,51140.4
2018-10-01,186391.6
2018-11-01,257050.0
2018-12-01,137987.0
2019-01-01,13939.0
2019-02-01,24833.0
2019-03-01,149415.2
2019-04-01,17200.0
2019-05-01,147321.9
2019-06-01,47271.0
2019-07-01,29131.0
2019-08-01,32197.0
2019-09-01,85984.0
2019-10-01,5690.9
2019-11-01,20739.0
2019-12-01,122842.0
2020-01-01,64707.7
2020-02-01,30531.0
2020-03-01,351723.7
2020-04-01,31886.0
2020-05-01,10607.0
2020-06-01,44409.0
2020-07-01,185829.5
2020-08-01,12221.5
2020-09-01,72666.1
2020-10-01,11636.0
2020-11-01,27906.0
2020-12-01,28019.0
2021-01-01,22804.0
2021-02-01,90698.5
2021-03-01,25929.7
2021-04-01,36168.3
2021-05-01,39352.0
2021-06-01,11703.4
2021-07-01,45413.0
2021-08-01,20369.0
2021-09-01,28340.8
2021-10-01,79732.3
2021-11-01,94472.0
2021-12-01,38101.5
2022-01-01,526.0
2022-02-01,22562.9
2022-03-01,29153.7
2022-04-01,117936.8
2022-05-01,17134.2
2022-06-01,34500.0
2022-07-01,9764.9
2022-08-01,22531.6
2022-09-01,52601.4
2022-10-01,32494.3
2022-11-01,29167.9
2022-12-01,66606.2
2023-01-01,73648.8
2023-02-01,37317.6
2023-03-01,110975.2
2023-04-01,55898.1
2023-05-01,103829.0
2023-06-01,39148.3
2023-07-01,66680.8
2023-08-01,33572.9
2023-09-01,29775.3
2023-10-01,132952.9
2023-11-01,43411.5
2023-12-01,55385.8
2024-01-01,28553.8
2024-02-01,8249.3
2024-03-01,168329.0
2024-04-01,5094.5
2024-05-01,8397.5
2024-06-01,13813.3
2024-07-01,18163.6
2024-08-01,14331.7
2024-09-01,31646.1
2024-10-01,854.0
2024-11-01,32828.6
2024-12-01,13242.6
2025-01-01,7186.5
2025-02-01,12297.5
2025-03-01,22363.0
2025-04-01,3388.1
2025-05-01,14146.3
2025-06-01,60065.3
