Tarih,TP_IN_RH2_OTEL_DEV_B
2015-09-01,17375.1
2015-10-01,14739.0
2015-11-01,10545.0
2015-12-01,29430.5
2016-01-01,279122.7
2016-02-01,27023.1
2016-03-01,41040.1
2016-04-01,113154.0
2016-05-01,60304.0
2016-06-01,65564.2
2016-07-01,48496.0
2016-08-01,20760.0
2016-09-01,49416.1
2016-10-01,66419.0
2016-11-01,47575.0
2016-12-01,7414.0
2017-01-01,14707.0
2017-02-01,12808.0
2017-03-01,59846.0
2017-04-01,33543.1
2017-05-01,26560.0
2017-06-01,147253.0
2017-07-01,61223.0
2017-08-01,29029.0
2017-09-01,63231.0
2017-10-01,135458.6
2017-11-01,30917.0
2017-12-01,63162.0
2018-01-01,10128.0
2018-02-01,45845.0
2018-03-01,44186.0
2018-04-01,32708.5
2018-05-01,63800.0
2018-06-01,30943.0
2018-07-01,27149.6
2018-08-01,19976.0
2018-09-01,32111.8
2018-10-01,28378.3
2018-11-01,8246.0
2018-12-01,21780.5
2019-01-01,9306.0
2019-02-01,9431.0
2019-03-01,29349.0
2019-04-01,17520.5
2019-05-01,4132.0
2019-06-01,17952.8
2019-07-01,69153.6
2019-08-01,2741.0
2019-09-01,37609.0
2019-10-01,15336.0
2019-11-01,10957.0
2019-12-01,43084.0
2020-01-01,15746.0
2020-02-01,30150.0
2020-03-01,6168.0
2020-04-01,3162.0
2020-05-01,1664.5
2020-06-01,2668.0
2020-07-01,4271.8
2020-08-01,16025.0
2020-09-01,5244.0
2020-10-01,5843.7
2020-11-01,30842.0
2020-12-01,41338.3
2021-01-01,12753.0
2021-02-01,22011.0
2021-03-01,28838.0
2021-04-01,232.0
2021-05-01,10656.0
2021-06-01,26702.9
2021-07-01,14150.4
2021-08-01,10420.0
2021-09-01,13998.3
2021-10-01,4675.0
2021-11-01,36482.0
2021-12-01,30865.5
2022-01-01,5889.0
2022-02-01,9428.4
2022-03-01,19373.9
2022-04-01,15213.8
2022-05-01,8375.2
2022-06-01,2217.7
2022-07-01,1208.8
2022-08-01,13193.1
2022-09-01,7600.0
2022-10-01,11867.4
2022-11-01,20179.7
2022-12-01,22051.5
2023-01-01,6076.3
2023-02-01,2199.3
2023-03-01,8419.7
2023-04-01,9588.4
2023-05-01,16023.7
2023-06-01,12556.9
2023-07-01,6229.8
2023-08-01,17576.7
2023-09-01,9272.0
2023-10-01,5160.5
2023-11-01,8642.7
2023-12-01,68658.4
2024-01-01,7899.0
2024-02-01,35236.6
2024-03-01,23910.0
2024-04-01,1111.8
2024-05-01,1371.0
2024-06-01,63831.8
2024-07-01,2957.4
2024-08-01,3683.9
2024-09-01,5575.5
2024-10-01,3152.5
2024-11-01,4623.7
2024-12-01,22938.1
2025-01-01,21445.7
2025-02-01,6079.3
2025-03-01,6542.5
2025-04-01,2138.8
2025-05-01,17612.3
2025-06-01,981.9
