Tarih,TP_IN_RH2_EV_TOP_B
2015-09-01,389625.7
2015-10-01,330860.5
2015-11-01,433554.2
2015-12-01,664583.4
2016-01-01,373268.2
2016-02-01,410624.7
2016-03-01,381450.6
2016-04-01,563229.0
2016-05-01,416582.3
2016-06-01,458134.8
2016-07-01,316127.1
2016-08-01,419614.0
2016-09-01,327860.0
2016-10-01,458185.5
2016-11-01,476756.9
2016-12-01,533373.6
2017-01-01,301524.3
2017-02-01,258880.4
2017-03-01,427964.2
2017-04-01,467316.9
2017-05-01,457867.2
2017-06-01,895395.6
2017-07-01,433099.4
2017-08-01,433414.1
2017-09-01,989939.4
2017-10-01,486302.5
2017-11-01,398588.4
2017-12-01,452735.3
2018-01-01,313851.8
2018-02-01,363136.3
2018-03-01,431785.8
2018-04-01,411537.7
2018-05-01,525226.4
2018-06-01,421275.6
2018-07-01,380905.4
2018-08-01,322804.3
2018-09-01,389531.0
2018-10-01,394310.9
2018-11-01,378803.3
2018-12-01,539708.8
2019-01-01,253935.0
2019-02-01,200074.7
2019-03-01,334935.4
2019-04-01,249983.1
2019-05-01,278578.0
2019-06-01,171701.8
2019-07-01,252501.2
2019-08-01,215833.2
2019-09-01,299127.6
2019-10-01,307298.7
2019-11-01,417213.4
2019-12-01,505820.3
2020-01-01,225478.3
2020-02-01,244870.8
2020-03-01,325170.8
2020-04-01,257787.4
2020-05-01,274608.3
2020-06-01,556720.9
2020-07-01,556312.7
2020-08-01,527473.2
2020-09-01,762544.6
2020-10-01,856566.6
2020-11-01,922113.6
2020-12-01,1287691.5
2021-01-01,671340.7
2021-02-01,720522.9
2021-03-01,1087549.8
2021-04-01,935850.2
2021-05-01,587785.9
2021-06-01,1098937.3
2021-07-01,854289.0
2021-08-01,966722.3
2021-09-01,1196606.5
2021-10-01,1242492.5
2021-11-01,1184629.9
2021-12-01,1947494.2
2022-01-01,691231.9
2022-02-01,737021.6
2022-03-01,1056399.8
2022-04-01,1004416.4
2022-05-01,779017.4
2022-06-01,1112881.4
2022-07-01,677874.4
2022-08-01,1020176.9
2022-09-01,1065461.3
2022-10-01,1089400.6
2022-11-01,1065914.1
2022-12-01,2078405.8
2023-01-01,1235491.3
2023-02-01,551208.3
2023-03-01,764871.2
2023-04-01,811271.5
2023-05-01,1082394.2
2023-06-01,1020393.0
2023-07-01,1140345.1
2023-08-01,1292959.7
2023-09-01,1242278.1
2023-10-01,1193551.3
2023-11-01,1160120.6
2023-12-01,2256869.9
2024-01-01,543676.9
2024-02-01,796057.5
2024-03-01,1291037.6
2024-04-01,622451.4
2024-05-01,948032.8
2024-06-01,688180.1
2024-07-01,1010570.5
2024-08-01,812347.6
2024-09-01,883708.5
2024-10-01,932572.4
2024-11-01,1014158.7
2024-12-01,1857765.5
2025-01-01,762386.0
2025-02-01,641177.5
2025-03-01,723121.1
2025-04-01,646062.1
2025-05-01,847774.1
2025-06-01,992894.2
