Tarih,TP_IN_RH2_TOPLAM_KOP_B
2015-09-01,203708.5
2015-10-01,290444.0
2015-11-01,337690.8
2015-12-01,713118.0
2016-01-01,609324.0
2016-02-01,244325.6
2016-03-01,541193.0
2016-04-01,382594.0
2016-05-01,336798.9
2016-06-01,143201.0
2016-07-01,114186.0
2016-08-01,237640.0
2016-09-01,194725.0
2016-10-01,203682.0
2016-11-01,197715.0
2016-12-01,361112.5
2017-01-01,90559.7
2017-02-01,187083.0
2017-03-01,353511.0
2017-04-01,315074.0
2017-05-01,225344.0
2017-06-01,888513.0
2017-07-01,143787.0
2017-08-01,377788.7
2017-09-01,2475428.0
2017-10-01,230814.1
2017-11-01,50959.0
2017-12-01,552390.0
2018-01-01,101407.0
2018-02-01,47263.0
2018-03-01,293886.0
2018-04-01,208159.9
2018-05-01,191825.0
2018-06-01,95386.0
2018-07-01,213865.0
2018-08-01,239147.0
2018-09-01,303642.0
2018-10-01,123515.0
2018-11-01,664126.0
2018-12-01,1139692.7
2019-01-01,264604.7
2019-02-01,75880.0
2019-03-01,196915.0
2019-04-01,78286.0
2019-05-01,46425.0
2019-06-01,64057.8
2019-07-01,65812.2
2019-08-01,266986.0
2019-09-01,77702.0
2019-10-01,179347.0
2019-11-01,185511.6
2019-12-01,292651.0
2020-01-01,222151.0
2020-02-01,116810.0
2020-03-01,88039.0
2020-04-01,85791.0
2020-05-01,79586.0
2020-06-01,746163.0
2020-07-01,229885.5
2020-08-01,90258.0
2020-09-01,154372.0
2020-10-01,157676.0
2020-11-01,88019.1
2020-12-01,665902.2
2021-01-01,193653.0
2021-02-01,105013.0
2021-03-01,226178.0
2021-04-01,291593.4
2021-05-01,114427.0
2021-06-01,119863.0
2021-07-01,86340.0
2021-08-01,242142.1
2021-09-01,178742.0
2021-10-01,244805.0
2021-11-01,159173.0
2021-12-01,337618.1
2022-01-01,105687.2
2022-02-01,185665.9
2022-03-01,111496.7
2022-04-01,166520.8
2022-05-01,106401.3
2022-06-01,159691.5
2022-07-01,60142.4
2022-08-01,286981.1
2022-09-01,335691.7
2022-10-01,181412.7
2022-11-01,320642.4
2022-12-01,904417.0
2023-01-01,436906.9
2023-02-01,132126.6
2023-03-01,387206.9
2023-04-01,282304.4
2023-05-01,281555.4
2023-06-01,473082.0
2023-07-01,299420.7
2023-08-01,464392.6
2023-09-01,165118.9
2023-10-01,275251.4
2023-11-01,436499.4
2023-12-01,1716536.6
2024-01-01,211567.9
2024-02-01,361669.9
2024-03-01,1268961.5
2024-04-01,405761.9
2024-05-01,173571.2
2024-06-01,158579.0
2024-07-01,246339.7
2024-08-01,126583.9
2024-09-01,345723.0
2024-10-01,343091.0
2024-11-01,207368.2
2024-12-01,1601216.5
2025-01-01,298027.6
2025-02-01,120406.2
2025-03-01,720518.3
2025-04-01,206746.0
2025-05-01,351815.9
2025-06-01,305670.1
