Tarih,TP_IN_RH2_OTEL_TOP_B
2015-09-01,152279.1
2015-10-01,182767.0
2015-11-01,334534.6
2015-12-01,805521.5
2016-01-01,405030.7
2016-02-01,276616.1
2016-03-01,166784.0
2016-04-01,357243.5
2016-05-01,325442.5
2016-06-01,343793.2
2016-07-01,159004.0
2016-08-01,251929.4
2016-09-01,217413.1
2016-10-01,180960.0
2016-11-01,204941.0
2016-12-01,273661.9
2017-01-01,142257.0
2017-02-01,173229.0
2017-03-01,183087.2
2017-04-01,148898.1
2017-05-01,412919.8
2017-06-01,914643.7
2017-07-01,362803.4
2017-08-01,241616.7
2017-09-01,813328.9
2017-10-01,202119.1
2017-11-01,84272.7
2017-12-01,233316.7
2018-01-01,158721.4
2018-02-01,122684.9
2018-03-01,298047.2
2018-04-01,185977.6
2018-05-01,396152.3
2018-06-01,240791.5
2018-07-01,103658.7
2018-08-01,102848.3
2018-09-01,104467.2
2018-10-01,80738.8
2018-11-01,187853.5
2018-12-01,518759.1
2019-01-01,57094.8
2019-02-01,105541.0
2019-03-01,310691.8
2019-04-01,39852.1
2019-05-01,28166.8
2019-06-01,71840.4
2019-07-01,107592.6
2019-08-01,82039.3
2019-09-01,76786.0
2019-10-01,111470.5
2019-11-01,221106.1
2019-12-01,164770.0
2020-01-01,231720.6
2020-02-01,193366.5
2020-03-01,140288.0
2020-04-01,36272.0
2020-05-01,87178.5
2020-06-01,216496.7
2020-07-01,82599.8
2020-08-01,56845.7
2020-09-01,180222.7
2020-10-01,121931.4
2020-11-01,120313.0
2020-12-01,276512.2
2021-01-01,186956.9
2021-02-01,137861.1
2021-03-01,138021.6
2021-04-01,90450.3
2021-05-01,49142.0
2021-06-01,82532.7
2021-07-01,100671.8
2021-08-01,60415.6
2021-09-01,138484.7
2021-10-01,77052.0
2021-11-01,103444.9
2021-12-01,282272.8
2022-01-01,121555.6
2022-02-01,89001.7
2022-03-01,388211.4
2022-04-01,180645.9
2022-05-01,120285.8
2022-06-01,113643.9
2022-07-01,102840.7
2022-08-01,62141.7
2022-09-01,85235.8
2022-10-01,344559.1
2022-11-01,220635.0
2022-12-01,381075.0
2023-01-01,103797.3
2023-02-01,219635.3
2023-03-01,141015.6
2023-04-01,193752.8
2023-05-01,152567.4
2023-06-01,200196.2
2023-07-01,71787.2
2023-08-01,159522.2
2023-09-01,419758.6
2023-10-01,106886.8
2023-11-01,163912.1
2023-12-01,439126.0
2024-01-01,38408.3
2024-02-01,172379.3
2024-03-01,545107.4
2024-04-01,72938.2
2024-05-01,158332.6
2024-06-01,160075.5
2024-07-01,22997.4
2024-08-01,123906.2
2024-09-01,219854.2
2024-10-01,84138.0
2024-11-01,127108.6
2024-12-01,403771.4
2025-01-01,258276.2
2025-02-01,124236.1
2025-03-01,122406.9
2025-04-01,180898.1
2025-05-01,83379.2
2025-06-01,95813.5
