Tarih,TP_IN_RH2_SANAYI_TOP_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,626865.8
2010-02-01,577132.3
2010-03-01,682974.3
2010-04-01,694978.7
2010-05-01,685029.5
2010-06-01,912947.7
2010-07-01,836690.6
2010-08-01,643179.2
2010-09-01,684195.0
2010-10-01,992973.7
2010-11-01,643353.1
2010-12-01,6591141.3
2011-01-01,604653.2
2011-02-01,491620.2
2011-03-01,611762.0
2011-04-01,766696.7
2011-05-01,844826.5
2011-06-01,1114835.3
2011-07-01,923251.4
2011-08-01,1148627.4
2011-09-01,682225.6
2011-10-01,872492.3
2011-11-01,773325.9
2011-12-01,1804444.1
2012-01-01,700730.9
2012-02-01,797695.5
2012-03-01,870401.5
2012-04-01,1148398.1
2012-05-01,1259198.2
2012-06-01,1126963.5
2012-07-01,1236420.3
2012-08-01,1058012.1
2012-09-01,1029671.9
2012-10-01,850321.2
2012-11-01,1448289.5
2012-12-01,1312947.2
2013-01-01,1197506.5
2013-02-01,953435.1
2013-03-01,1064562.9
2013-04-01,1541999.9
2013-05-01,1587515.4
2013-06-01,1169944.4
2013-07-01,1611783.9
2013-08-01,955105.4
2013-09-01,1695560.3
2013-10-01,1040968.5
2013-11-01,1411212.9
2013-12-01,1399602.6
2014-01-01,1422890.4
2014-02-01,1411531.3
2014-03-01,2611454.5
2014-04-01,1281980.8
2014-05-01,1563014.2
2014-06-01,1342595.3
2014-07-01,1408960.8
2014-08-01,1506132.6
2014-09-01,1649390.4
2014-10-01,1348609.3
2014-11-01,1351933.1
2014-12-01,1562668.4
2015-01-01,1027654.7
2015-02-01,1526227.9
2015-03-01,1355037.8
2015-04-01,1327371.5
2015-05-01,1403999.9
