Tarih,TP_IN_RH2_SANAYI_TOP_B
2015-06-01,1664110.8
2015-07-01,1269714.0
2015-08-01,1273441.3
2015-09-01,1161572.3
2015-10-01,885175.9
2015-11-01,1407428.4
2015-12-01,1598163.8
2016-01-01,1073745.0
2016-02-01,1047120.1
2016-03-01,1695181.1
2016-04-01,1306723.3
2016-05-01,1339940.9
2016-06-01,1698212.5
2016-07-01,1029150.2
2016-08-01,1036137.2
2016-09-01,934699.9
2016-10-01,1075657.7
2016-11-01,1189969.3
2016-12-01,1337901.3
2017-01-01,915833.7
2017-02-01,759075.6
2017-03-01,922020.5
2017-04-01,1183163.8
2017-05-01,1015350.2
2017-06-01,1528363.8
2017-07-01,1083740.9
2017-08-01,1577575.7
2017-09-01,2002058.1
2017-10-01,1605523.3
2017-11-01,1558666.5
2017-12-01,1660095.4
2018-01-01,1161779.7
2018-02-01,1131560.3
2018-03-01,1165738.1
2018-04-01,1501626.0
2018-05-01,1432464.0
2018-06-01,1498415.6
2018-07-01,1656128.1
2018-08-01,1469891.9
2018-09-01,1176314.2
2018-10-01,1101072.7
2018-11-01,1267422.0
2018-12-01,3007655.5
2019-01-01,856941.5
2019-02-01,688572.1
2019-03-01,828669.0
2019-04-01,644768.9
2019-05-01,781096.4
2019-06-01,378407.7
2019-07-01,867995.9
2019-08-01,1051794.1
2019-09-01,872142.0
2019-10-01,1261577.1
2019-11-01,1221299.4
2019-12-01,1469300.0
2020-01-01,882680.2
2020-02-01,1288828.1
2020-03-01,1081317.9
2020-04-01,1053964.4
2020-05-01,890789.7
2020-06-01,2225889.6
2020-07-01,1387775.0
2020-08-01,1517165.4
2020-09-01,1499918.3
2020-10-01,1623485.5
2020-11-01,1669445.6
2020-12-01,2501417.3
2021-01-01,1428164.6
2021-02-01,1559862.2
2021-03-01,1996027.7
2021-04-01,1991135.7
2021-05-01,1571491.5
2021-06-01,2864804.5
2021-07-01,1858707.5
2021-08-01,2031005.4
2021-09-01,2363603.9
2021-10-01,2256134.2
2021-11-01,2486899.2
2021-12-01,3025484.3
2022-01-01,1229937.9
2022-02-01,1768925.5
2022-03-01,2550344.0
2022-04-01,2648569.6
2022-05-01,1829848.7
2022-06-01,2590335.9
2022-07-01,1683993.5
2022-08-01,2590476.2
2022-09-01,2848462.1
2022-10-01,2086397.1
2022-11-01,2478502.4
2022-12-01,3909908.8
2023-01-01,1994399.0
2023-02-01,1475674.6
2023-03-01,1929724.3
2023-04-01,2388076.2
2023-05-01,2928692.1
2023-06-01,2331235.2
2023-07-01,2568277.0
2023-08-01,2918651.7
2023-09-01,2619645.4
2023-10-01,2230905.8
2023-11-01,2410648.4
2023-12-01,4370690.9
2024-01-01,1571325.4
2024-02-01,1684738.2
2024-03-01,2661824.1
2024-04-01,1883343.2
2024-05-01,2093270.2
2024-06-01,1763287.6
2024-07-01,2056844.9
2024-08-01,1732661.5
2024-09-01,2281957.7
2024-10-01,2205287.9
2024-11-01,2094488.3
2024-12-01,4141513.5
2025-01-01,1652927.2
2025-02-01,1078992.1
2025-03-01,2478998.3
2025-04-01,1422361.6
2025-05-01,1902514.1
2025-06-01,1720000.9
