Tarih,TP_IN_RH2_TOPLAM_TOP_A
2015-09-01,9493.0
2015-10-01,9948.0
2015-11-01,11774.0
2015-12-01,16430.0
2016-01-01,10169.0
2016-02-01,11870.0
2016-03-01,14696.0
2016-04-01,13224.0
2016-05-01,12262.0
2016-06-01,12200.0
2016-07-01,7786.0
2016-08-01,11069.0
2016-09-01,9091.0
2016-10-01,11341.0
2016-11-01,12404.0
2016-12-01,16020.0
2017-01-01,9079.0
2017-02-01,9207.0
2017-03-01,12769.0
2017-04-01,12713.0
2017-05-01,13445.0
2017-06-01,23508.0
2017-07-01,13128.0
2017-08-01,12637.0
2017-09-01,31278.0
2017-10-01,10829.0
2017-11-01,8340.0
2017-12-01,11611.0
2018-01-01,7723.0
2018-02-01,7699.0
2018-03-01,10222.0
2018-04-01,9929.0
2018-05-01,13491.0
2018-06-01,11692.0
2018-07-01,9356.0
2018-08-01,6643.0
2018-09-01,7985.0
2018-10-01,7934.0
2018-11-01,7479.0
2018-12-01,12286.0
2019-01-01,4436.0
2019-02-01,3914.0
2019-03-01,6159.0
2019-04-01,3418.0
2019-05-01,4210.0
2019-06-01,2412.0
2019-07-01,4302.0
2019-08-01,3807.0
2019-09-01,4357.0
2019-10-01,4725.0
2019-11-01,7220.0
2019-12-01,11620.0
2020-01-01,4799.0
2020-02-01,4736.0
2020-03-01,5977.0
2020-04-01,5101.0
2020-05-01,5196.0
2020-06-01,10738.0
2020-07-01,9424.0
2020-08-01,7917.0
2020-09-01,10288.0
2020-10-01,11380.0
2020-11-01,11362.0
2020-12-01,17729.0
2021-01-01,9265.0
2021-02-01,9985.0
2021-03-01,16572.0
2021-04-01,12240.0
2021-05-01,7650.0
2021-06-01,13179.0
2021-07-01,10256.0
2021-08-01,10612.0
2021-09-01,12385.0
2021-10-01,12344.0
2021-11-01,12777.0
2021-12-01,21887.0
2022-01-01,7735.0
2022-02-01,8296.0
2022-03-01,12591.0
2022-04-01,10789.0
2022-05-01,8627.0
2022-06-01,12627.0
2022-07-01,7970.0
2022-08-01,11483.0
2022-09-01,12082.0
2022-10-01,11880.0
2022-11-01,12325.0
2022-12-01,23375.0
2023-01-01,9779.0
2023-02-01,6815.0
2023-03-01,9267.0
2023-04-01,9680.0
2023-05-01,12258.0
2023-06-01,12241.0
2023-07-01,12085.0
2023-08-01,13955.0
2023-09-01,13459.0
2023-10-01,13403.0
2023-11-01,13116.0
2023-12-01,27293.0
2024-01-01,7119.0
2024-02-01,10388.0
2024-03-01,15379.0
2024-04-01,7991.0
2024-05-01,11192.0
2024-06-01,8462.0
2024-07-01,11517.0
2024-08-01,11005.0
2024-09-01,11805.0
2024-10-01,12143.0
2024-11-01,12275.0
2024-12-01,24024.0
2025-01-01,9775.0
2025-02-01,8517.0
2025-03-01,10637.0
2025-04-01,9522.0
2025-05-01,14313.0
2025-06-01,16925.0
