Tarih,TP_IN_RH2_APT_TOP_D
2015-09-01,62717.0
2015-10-01,61517.0
2015-11-01,71745.0
2015-12-01,114904.0
2016-01-01,83242.0
2016-02-01,83964.0
2016-03-01,92606.0
2016-04-01,83550.0
2016-05-01,82614.0
2016-06-01,80549.0
2016-07-01,52618.0
2016-08-01,75191.0
2016-09-01,65585.0
2016-10-01,77805.0
2016-11-01,86517.0
2016-12-01,126211.0
2017-01-01,69691.0
2017-02-01,69716.0
2017-03-01,98954.0
2017-04-01,97685.0
2017-05-01,98583.0
2017-06-01,226812.0
2017-07-01,103616.0
2017-08-01,97407.0
2017-09-01,329460.0
2017-10-01,64245.0
2017-11-01,48454.0
2017-12-01,79812.0
2018-01-01,46053.0
2018-02-01,41690.0
2018-03-01,51046.0
2018-04-01,56908.0
2018-05-01,84358.0
2018-06-01,75168.0
2018-07-01,60496.0
2018-08-01,35809.0
2018-09-01,41712.0
2018-10-01,41507.0
2018-11-01,39665.0
2018-12-01,85758.0
2019-01-01,20952.0
2019-02-01,19966.0
2019-03-01,33034.0
2019-04-01,16032.0
2019-05-01,16865.0
2019-06-01,8913.0
2019-07-01,15425.0
2019-08-01,18358.0
2019-09-01,18292.0
2019-10-01,19916.0
2019-11-01,42935.0
2019-12-01,74989.0
2020-01-01,21596.0
2020-02-01,23738.0
2020-03-01,31631.0
2020-04-01,28176.0
2020-05-01,27877.0
2020-06-01,76402.0
2020-07-01,55273.0
2020-08-01,34465.0
2020-09-01,43357.0
2020-10-01,43306.0
2020-11-01,46761.0
2020-12-01,93698.0
2021-01-01,40844.0
2021-02-01,42467.0
2021-03-01,82682.0
2021-04-01,58016.0
2021-05-01,35872.0
2021-06-01,54176.0
2021-07-01,44919.0
2021-08-01,45605.0
2021-09-01,48659.0
2021-10-01,50676.0
2021-11-01,54335.0
2021-12-01,123915.0
2022-01-01,31517.0
2022-02-01,36546.0
2022-03-01,58895.0
2022-04-01,40611.0
2022-05-01,37028.0
2022-06-01,58288.0
2022-07-01,34625.0
2022-08-01,48460.0
2022-09-01,54926.0
2022-10-01,51524.0
2022-11-01,61737.0
2022-12-01,148455.0
2023-01-01,44727.0
2023-02-01,33480.0
2023-03-01,45154.0
2023-04-01,53304.0
2023-05-01,63367.0
2023-06-01,73781.0
2023-07-01,60930.0
2023-08-01,73359.0
2023-09-01,73350.0
2023-10-01,68851.0
2023-11-01,71261.0
2023-12-01,199307.0
2024-01-01,37337.0
2024-02-01,57840.0
2024-03-01,99174.0
2024-04-01,45501.0
2024-05-01,56000.0
2024-06-01,41350.0
2024-07-01,58363.0
2024-08-01,55157.0
2024-09-01,56360.0
2024-10-01,66991.0
2024-11-01,62813.0
2024-12-01,160505.0
2025-01-01,52133.0
2025-02-01,41251.0
2025-03-01,64375.0
2025-04-01,61133.0
2025-05-01,103952.0
2025-06-01,113428.0
