Tarih,TP_IN_RH2_EV_OZE_A
2015-10-01,1499.0
2015-11-01,1907.0
2015-12-01,2752.0
2016-01-01,1628.0
2016-02-01,1787.0
2016-03-01,1789.0
2016-04-01,2148.0
2016-05-01,1971.0
2016-06-01,2214.0
2016-07-01,1450.0
2016-08-01,1764.0
2016-09-01,1445.0
2016-10-01,2079.0
2016-11-01,2024.0
2016-12-01,2183.0
2017-01-01,1402.0
2017-02-01,1260.0
2017-03-01,1908.0
2017-04-01,1956.0
2017-05-01,2063.0
2017-06-01,3534.0
2017-07-01,2040.0
2017-08-01,2159.0
2017-09-01,3782.0
2017-10-01,2318.0
2017-11-01,1809.0
2017-12-01,2233.0
2018-01-01,1482.0
2018-02-01,1717.0
2018-03-01,2065.0
2018-04-01,1928.0
2018-05-01,2353.0
2018-06-01,1952.0
2018-07-01,1705.0
2018-08-01,1555.0
2018-09-01,1657.0
2018-10-01,1777.0
2018-11-01,1768.0
2018-12-01,2331.0
2019-01-01,1307.0
2019-02-01,908.0
2019-03-01,1695.0
2019-04-01,1087.0
2019-05-01,1171.0
2019-06-01,632.0
2019-07-01,1044.0
2019-08-01,983.0
2019-09-01,1274.0
2019-10-01,1407.0
2019-11-01,1876.0
2019-12-01,2374.0
2020-01-01,1141.0
2020-02-01,1227.0
2020-03-01,1544.0
2020-04-01,1334.0
2020-05-01,1432.0
2020-06-01,2666.0
2020-07-01,2873.0
2020-08-01,2778.0
2020-09-01,3861.0
2020-10-01,4151.0
2020-11-01,4628.0
2020-12-01,6490.0
2021-01-01,3321.0
2021-02-01,3626.0
2021-03-01,5302.0
2021-04-01,4407.0
2021-05-01,2760.0
2021-06-01,5127.0
2021-07-01,3857.0
2021-08-01,4137.0
2021-09-01,5004.0
2021-10-01,5148.0
2021-11-01,5057.0
2021-12-01,7915.0
2022-01-01,3240.0
2022-02-01,3175.0
2022-03-01,4591.0
2022-04-01,4337.0
2022-05-01,3424.0
2022-06-01,4809.0
2022-07-01,3022.0
2022-08-01,4268.0
2022-09-01,4246.0
2022-10-01,4714.0
2022-11-01,4452.0
2022-12-01,8113.0
2023-01-01,3782.0
2023-02-01,2515.0
2023-03-01,3425.0
2023-04-01,3565.0
2023-05-01,4611.0
2023-06-01,4414.0
2023-07-01,4959.0
2023-08-01,5431.0
2023-09-01,5161.0
2023-10-01,5232.0
2023-11-01,4972.0
2023-12-01,8987.0
2024-01-01,2447.0
2024-02-01,3439.0
2024-03-01,5064.0
2024-04-01,2599.0
2024-05-01,4168.0
2024-06-01,3117.0
2024-07-01,4074.0
2024-08-01,3596.0
2024-09-01,3778.0
2024-10-01,3839.0
2024-11-01,4048.0
2024-12-01,7316.0
2025-01-01,2669.0
2025-02-01,2283.0
2025-03-01,2720.0
2025-04-01,2368.0
2025-05-01,3617.0
2025-06-01,4550.0
