Tarih,TP_IN_RH2_OFIS_TOP_B
2015-09-01,629003.7
2015-10-01,394095.0
2015-11-01,694211.4
2015-12-01,1186004.0
2016-01-01,757011.1
2016-02-01,766716.0
2016-03-01,874736.7
2016-04-01,760772.7
2016-05-01,733450.3
2016-06-01,547527.0
2016-07-01,483319.4
2016-08-01,484642.2
2016-09-01,421566.6
2016-10-01,1223974.8
2016-11-01,671588.5
2016-12-01,1494430.0
2017-01-01,722078.2
2017-02-01,761021.3
2017-03-01,725970.9
2017-04-01,1000933.9
2017-05-01,1115888.7
2017-06-01,1791108.0
2017-07-01,1146228.0
2017-08-01,779391.0
2017-09-01,3475150.9
2017-10-01,524483.2
2017-11-01,503972.5
2017-12-01,513242.7
2018-01-01,390547.4
2018-02-01,799533.4
2018-03-01,413519.1
2018-04-01,279351.7
2018-05-01,220825.9
2018-06-01,101766.4
2018-07-01,265153.7
2018-08-01,144976.1
2018-09-01,168756.9
2018-10-01,201622.8
2018-11-01,201775.7
2018-12-01,694807.8
2019-01-01,150388.0
2019-02-01,109703.7
2019-03-01,199889.4
2019-04-01,51468.5
2019-05-01,96764.7
2019-06-01,93791.2
2019-07-01,262203.4
2019-08-01,127412.6
2019-09-01,111737.6
2019-10-01,253997.5
2019-11-01,161174.1
2019-12-01,131446.9
2020-01-01,115336.9
2020-02-01,133130.1
2020-03-01,151723.1
2020-04-01,142400.8
2020-05-01,94891.7
2020-06-01,304964.1
2020-07-01,100100.6
2020-08-01,194073.7
2020-09-01,260015.9
2020-10-01,216615.4
2020-11-01,144814.3
2020-12-01,179282.3
2021-01-01,140397.3
2021-02-01,359285.1
2021-03-01,449993.2
2021-04-01,241820.9
2021-05-01,179027.4
2021-06-01,313791.0
2021-07-01,287957.3
2021-08-01,554634.8
2021-09-01,578274.5
2021-10-01,453815.1
2021-11-01,520828.8
2021-12-01,873515.0
2022-01-01,240199.4
2022-02-01,287917.0
2022-03-01,516923.2
2022-04-01,424735.7
2022-05-01,300136.1
2022-06-01,622957.3
2022-07-01,846092.8
2022-08-01,773689.9
2022-09-01,759809.5
2022-10-01,760428.5
2022-11-01,632306.2
2022-12-01,1863673.4
2023-01-01,384890.1
2023-02-01,331162.0
2023-03-01,514795.6
2023-04-01,621397.6
2023-05-01,827943.3
2023-06-01,734486.3
2023-07-01,599518.4
2023-08-01,837177.7
2023-09-01,1207138.8
2023-10-01,504450.2
2023-11-01,582666.0
2023-12-01,1783507.1
2024-01-01,352436.8
2024-02-01,387353.3
2024-03-01,2010420.1
2024-04-01,509232.4
2024-05-01,688674.2
2024-06-01,507581.0
2024-07-01,772933.7
2024-08-01,800175.7
2024-09-01,895761.9
2024-10-01,1105925.1
2024-11-01,830934.7
2024-12-01,2224755.7
2025-01-01,583534.8
2025-02-01,494202.3
2025-03-01,932518.9
2025-04-01,617524.0
2025-05-01,1101196.7
2025-06-01,763197.6
