Tarih,TP_IN_RH2_APT_KOP_B
2015-09-01,154858.0
2015-10-01,225900.0
2015-11-01,250386.0
2015-12-01,618750.0
2016-01-01,466678.0
2016-02-01,186822.0
2016-03-01,232664.0
2016-04-01,279355.0
2016-05-01,300890.0
2016-06-01,100092.0
2016-07-01,106104.0
2016-08-01,114927.0
2016-09-01,170220.0
2016-10-01,129240.0
2016-11-01,146086.0
2016-12-01,188131.0
2017-01-01,20411.0
2017-02-01,136053.0
2017-03-01,264900.0
2017-04-01,170166.0
2017-05-01,134104.0
2017-06-01,644058.0
2017-07-01,48198.0
2017-08-01,203342.0
2017-09-01,2011721.0
2017-10-01,75675.0
2017-11-01,22452.0
2017-12-01,429826.0
2018-01-01,59269.0
2018-02-01,38041.0
2018-03-01,106279.0
2018-04-01,63681.0
2018-05-01,133737.0
2018-06-01,70129.0
2018-07-01,168439.0
2018-08-01,149495.0
2018-09-01,216184.0
2018-10-01,55668.0
2018-11-01,526105.0
2018-12-01,267712.0
2019-01-01,106780.0
2019-02-01,12279.0
2019-03-01,78408.0
2019-04-01,22675.0
2019-05-01,41739.0
2019-06-01,11851.0
2019-07-01,39233.0
2019-08-01,56426.0
2019-09-01,65560.0
2019-10-01,38353.0
2019-11-01,131326.0
2019-12-01,209163.0
2020-01-01,130947.0
2020-02-01,81448.0
2020-03-01,27830.0
2020-04-01,42590.0
2020-05-01,10659.0
2020-06-01,328294.0
2020-07-01,98214.0
2020-08-01,61686.0
2020-09-01,63717.0
2020-10-01,65433.0
2020-11-01,46788.1
2020-12-01,487393.2
2021-01-01,38478.0
2021-02-01,64666.0
2021-03-01,154030.0
2021-04-01,167164.0
2021-05-01,24732.0
2021-06-01,69842.0
2021-07-01,53348.0
2021-08-01,85376.0
2021-09-01,89883.0
2021-10-01,184390.0
2021-11-01,74509.0
2021-12-01,231104.1
2022-01-01,50544.8
2022-02-01,121593.9
2022-03-01,32478.4
2022-04-01,110533.7
2022-05-01,54510.1
2022-06-01,108441.6
2022-07-01,33408.1
2022-08-01,193474.9
2022-09-01,214404.1
2022-10-01,68569.7
2022-11-01,143724.1
2022-12-01,560833.7
2023-01-01,81775.5
2023-02-01,104527.3
2023-03-01,154868.0
2023-04-01,62957.5
2023-05-01,188229.3
2023-06-01,340465.3
2023-07-01,148771.8
2023-08-01,200776.5
2023-09-01,111360.2
2023-10-01,205536.7
2023-11-01,182327.8
2023-12-01,1215749.1
2024-01-01,130237.0
2024-02-01,311475.1
2024-03-01,419206.4
2024-04-01,282555.7
2024-05-01,115697.0
2024-06-01,114319.3
2024-07-01,173194.2
2024-08-01,79709.0
2024-09-01,170833.8
2024-10-01,205402.6
2024-11-01,141526.5
2024-12-01,622717.7
2025-01-01,91019.3
2025-02-01,76350.3
2025-03-01,357223.8
2025-04-01,158616.5
2025-05-01,167950.8
2025-06-01,211548.4
