Tarih,TP_IN_RH2_SANAYI_DEV_B
2015-09-01,102190.0
2015-10-01,16250.6
2015-11-01,12966.5
2015-12-01,74724.0
2016-01-01,21861.0
2016-02-01,53312.0
2016-03-01,95952.9
2016-04-01,17894.0
2016-05-01,24490.3
2016-06-01,65749.0
2016-07-01,4170.0
2016-08-01,10506.0
2016-09-01,32698.0
2016-10-01,90469.0
2016-11-01,16726.0
2016-12-01,9917.2
2017-01-01,17029.0
2017-02-01,20158.6
2017-03-01,34887.0
2017-04-01,31179.0
2017-05-01,20643.7
2017-06-01,4685.0
2017-07-01,20667.0
2017-08-01,60306.0
2017-09-01,44642.3
2017-10-01,135958.8
2017-11-01,37971.0
2017-12-01,66062.9
2018-01-01,20870.7
2018-02-01,118057.2
2018-03-01,16796.0
2018-04-01,100072.5
2018-05-01,46864.8
2018-06-01,41110.0
2018-07-01,16089.2
2018-08-01,29328.0
2018-09-01,181923.0
2018-10-01,30861.0
2018-11-01,12839.0
2018-12-01,22896.0
2019-01-01,13484.0
2019-02-01,6117.0
2019-03-01,61693.0
2019-04-01,38974.0
2019-05-01,50053.1
2019-06-01,285.0
2019-07-01,13114.0
2019-08-01,17088.0
2019-09-01,27324.6
2019-10-01,29963.0
2019-11-01,32311.0
2019-12-01,77132.3
2020-01-01,32163.6
2020-02-01,1100.0
2020-03-01,34084.9
2020-04-01,6892.0
2020-05-01,63520.7
2020-06-01,386071.0
2020-07-01,22526.0
2020-08-01,269340.5
2020-09-01,19078.0
2020-10-01,26817.7
2020-11-01,12094.0
2020-12-01,59714.6
2021-01-01,14678.8
2021-02-01,31206.8
2021-03-01,43818.1
2021-04-01,63995.3
2021-05-01,8900.1
2021-06-01,125085.8
2021-07-01,24753.0
2021-08-01,29347.5
2021-09-01,17245.7
2021-10-01,44189.0
2021-11-01,38086.6
2021-12-01,48522.0
2022-01-01,10436.4
2022-02-01,46045.1
2022-03-01,45455.9
2022-04-01,374537.6
2022-05-01,16418.1
2022-06-01,159826.1
2022-07-01,33398.5
2022-08-01,55223.7
2022-09-01,241608.2
2022-10-01,40417.3
2022-11-01,80886.8
2022-12-01,83863.6
2023-01-01,47890.3
2023-02-01,3555.4
2023-03-01,36255.4
2023-04-01,413421.6
2023-05-01,27445.8
2023-06-01,21985.9
2023-07-01,67235.1
2023-08-01,22812.4
2023-09-01,177701.6
2023-10-01,56980.9
2023-11-01,32090.0
2023-12-01,25298.6
2024-01-01,285976.8
2024-02-01,65453.5
2024-03-01,27398.9
2024-04-01,122628.8
2024-05-01,162640.3
2024-06-01,22482.5
2024-07-01,23308.8
2024-08-01,43676.1
2024-09-01,111079.4
2024-10-01,23123.0
2024-11-01,224061.1
2024-12-01,31079.5
2025-01-01,10089.2
2025-02-01,23317.7
2025-03-01,35682.1
2025-04-01,24997.6
2025-05-01,7314.0
2025-06-01,61848.2
