Tarih,TP_IN_RH2_TOPLAM_OZE_D
2015-09-01,56911.0
2015-10-01,60231.0
2015-11-01,71149.0
2015-12-01,111966.0
2016-01-01,73966.0
2016-02-01,76682.0
2016-03-01,86428.0
2016-04-01,82152.0
2016-05-01,76754.0
2016-06-01,79048.0
2016-07-01,52203.0
2016-08-01,71852.0
2016-09-01,62358.0
2016-10-01,75065.0
2016-11-01,82217.0
2016-12-01,115441.0
2017-01-01,63918.0
2017-02-01,67032.0
2017-03-01,92572.0
2017-04-01,93342.0
2017-05-01,93688.0
2017-06-01,211413.0
2017-07-01,98015.0
2017-08-01,93860.0
2017-09-01,313879.0
2017-10-01,59664.0
2017-11-01,42409.0
2017-12-01,72236.0
2018-01-01,37168.0
2018-02-01,39651.0
2018-03-01,49113.0
2018-04-01,53475.0
2018-05-01,81576.0
2018-06-01,72184.0
2018-07-01,55061.0
2018-08-01,34563.0
2018-09-01,36963.0
2018-10-01,37868.0
2018-11-01,35365.0
2018-12-01,81447.0
2019-01-01,18141.0
2019-02-01,16373.0
2019-03-01,33051.0
2019-04-01,15831.0
2019-05-01,15598.0
2019-06-01,9435.0
2019-07-01,14033.0
2019-08-01,17089.0
2019-09-01,16215.0
2019-10-01,19473.0
2019-11-01,40691.0
2019-12-01,74654.0
2020-01-01,20060.0
2020-02-01,21557.0
2020-03-01,28549.0
2020-04-01,28188.0
2020-05-01,27628.0
2020-06-01,73278.0
2020-07-01,53839.0
2020-08-01,35201.0
2020-09-01,41666.0
2020-10-01,45824.0
2020-11-01,47055.0
2020-12-01,90935.0
2021-01-01,38860.0
2021-02-01,40345.0
2021-03-01,82374.0
2021-04-01,58153.0
2021-05-01,32051.0
2021-06-01,53777.0
2021-07-01,41957.0
2021-08-01,43269.0
2021-09-01,50241.0
2021-10-01,50229.0
2021-11-01,51759.0
2021-12-01,115871.0
2022-01-01,26769.0
2022-02-01,30883.0
2022-03-01,56328.0
2022-04-01,39438.0
2022-05-01,35861.0
2022-06-01,57765.0
2022-07-01,35309.0
2022-08-01,47559.0
2022-09-01,51045.0
2022-10-01,50635.0
2022-11-01,58991.0
2022-12-01,147514.0
2023-01-01,43851.0
2023-02-01,33717.0
2023-03-01,41443.0
2023-04-01,45987.0
2023-05-01,62168.0
2023-06-01,64980.0
2023-07-01,56047.0
2023-08-01,65408.0
2023-09-01,60588.0
2023-10-01,64787.0
2023-11-01,58420.0
2023-12-01,186582.0
2024-01-01,27820.0
2024-02-01,40847.0
2024-03-01,82826.0
2024-04-01,36405.0
2024-05-01,53015.0
2024-06-01,38678.0
2024-07-01,52724.0
2024-08-01,50631.0
2024-09-01,47880.0
2024-10-01,57917.0
2024-11-01,53749.0
2024-12-01,145543.0
2025-01-01,42106.0
2025-02-01,35631.0
2025-03-01,53083.0
2025-04-01,48060.0
2025-05-01,69090.0
2025-06-01,99415.0
