Tarih,TP_IN_RH2_TOPLAM_OZE_B
2015-04-01,14749455.4
2015-05-01,15277799.1
2015-06-01,16628733.4
2015-07-01,14320037.8
2015-08-01,13999011.8
2015-09-01,11823586.2
2015-10-01,12046813.1
2015-11-01,15052388.0
2015-12-01,22872826.8
2016-01-01,14260094.0
2016-02-01,15485294.0
2016-03-01,18594768.8
2016-04-01,16698381.8
2016-05-01,15714191.5
2016-06-01,16189170.8
2016-07-01,10323674.6
2016-08-01,14165659.2
2016-09-01,12556937.4
2016-10-01,14424299.3
2016-11-01,15002774.4
2016-12-01,22262254.1
2017-01-01,12330895.8
2017-02-01,12484678.6
2017-03-01,16742564.6
2017-04-01,17626457.3
2017-05-01,17963832.7
2017-06-01,39446164.1
2017-07-01,19041917.9
2017-08-01,18167057.7
2017-09-01,59957372.7
2017-10-01,13212401.7
2017-11-01,10106860.4
2017-12-01,14838352.5
2018-01-01,8034417.0
2018-02-01,8207751.6
2018-03-01,10099959.6
2018-04-01,11231490.7
2018-05-01,15779109.1
2018-06-01,14376742.7
2018-07-01,11968739.7
2018-08-01,8011640.3
2018-09-01,7705821.7
2018-10-01,8206662.5
2018-11-01,8092432.5
2018-12-01,19568177.3
2019-01-01,4239374.9
2019-02-01,4102358.8
2019-03-01,7148772.4
2019-04-01,3766723.7
2019-05-01,3745342.3
2019-06-01,2392919.6
2019-07-01,3836298.3
2019-08-01,4295003.7
2019-09-01,4246810.1
2019-10-01,5138943.4
2019-11-01,8455661.6
2019-12-01,13900966.2
2020-01-01,4458631.2
2020-02-01,5157989.0
2020-03-01,6263372.5
2020-04-01,5898226.6
2020-05-01,5552622.0
2020-06-01,14966755.3
2020-07-01,10581950.8
2020-08-01,7561952.3
2020-09-01,9049419.5
2020-10-01,10003727.4
2020-11-01,10153279.3
2020-12-01,18617381.2
2021-01-01,8000016.5
2021-02-01,8490428.0
2021-03-01,16554068.5
2021-04-01,12245982.0
2021-05-01,7392432.9
2021-06-01,12618225.6
2021-07-01,9741449.7
2021-08-01,9955172.9
2021-09-01,12129770.8
2021-10-01,11691154.4
2021-11-01,12315515.9
2021-12-01,24572564.2
2022-01-01,6410570.0
2022-02-01,7193061.4
2022-03-01,12828637.5
2022-04-01,9797335.7
2022-05-01,7925674.6
2022-06-01,12273922.1
2022-07-01,8438916.8
2022-08-01,11084712.5
2022-09-01,11644519.4
2022-10-01,11228883.6
2022-11-01,12793460.5
2022-12-01,29529079.0
2023-01-01,9592517.2
2023-02-01,7217626.8
2023-03-01,8518212.9
2023-04-01,9503135.0
2023-05-01,13173882.5
2023-06-01,13185190.6
2023-07-01,11754303.2
2023-08-01,13621119.9
2023-09-01,13249800.8
2023-10-01,12486480.3
2023-11-01,11993128.0
2023-12-01,35579213.3
2024-01-01,5704813.9
2024-02-01,8547613.4
2024-03-01,16604268.6
2024-04-01,7925278.6
2024-05-01,10834520.7
2024-06-01,8316260.9
2024-07-01,10605990.6
2024-08-01,10132695.2
2024-09-01,10159012.1
2024-10-01,11839312.6
2024-11-01,11382541.9
2024-12-01,28014582.0
2025-01-01,8598169.2
2025-02-01,6784705.4
2025-03-01,10874373.2
2025-04-01,9091095.3
2025-05-01,13114966.9
2025-06-01,17670183.4
