Tarih,TP_IN_RH2_TOPTAN_KOP_B
2015-10-01,15787.0
2015-11-01,11594.0
2015-12-01,9274.0
2016-01-01,
2016-02-01,14741.0
2016-03-01,11443.0
2016-04-01,457.0
2016-05-01,4981.0
2016-06-01,2679.0
2016-07-01,
2016-08-01,42274.0
2016-09-01,
2016-10-01,15931.0
2016-11-01,920.0
2016-12-01,90775.0
2017-01-01,58890.0
2017-02-01,10835.0
2017-03-01,60226.0
2017-04-01,74678.0
2017-05-01,22084.0
2017-06-01,10054.0
2017-07-01,
2017-08-01,27514.0
2017-09-01,107421.0
2017-10-01,97230.0
2017-11-01,5806.0
2017-12-01,35025.0
2018-01-01,3039.0
2018-02-01,1930.0
2018-03-01,29675.0
2018-04-01,21229.0
2018-05-01,8405.0
2018-06-01,2136.0
2018-07-01,14003.0
2018-08-01,23207.0
2018-09-01,2737.0
2018-10-01,6959.0
2018-11-01,41083.0
2018-12-01,208994.0
2019-01-01,16867.0
2019-02-01,22133.0
2019-03-01,7318.0
2019-04-01,17244.0
2019-05-01,
2019-06-01,2854.0
2019-07-01,
2019-08-01,27829.0
2019-09-01,3143.0
2019-10-01,13427.0
2019-11-01,3287.0
2019-12-01,27527.0
2020-01-01,27940.0
2020-02-01,2487.0
2020-03-01,11547.0
2020-04-01,
2020-05-01,57018.0
2020-06-01,40625.0
2020-07-01,3041.0
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,1943.0
2020-12-01,13224.0
2021-01-01,19567.0
2021-02-01,4157.0
2021-03-01,2349.0
2021-04-01,6467.0
2021-05-01,307.0
2021-06-01,13851.0
2021-07-01,
2021-08-01,2482.4
2021-09-01,2271.0
2021-10-01,19937.0
2021-11-01,14677.0
2021-12-01,13108.0
2022-01-01,
2022-02-01,2638.0
2022-03-01,
2022-04-01,12609.2
2022-05-01,9157.2
2022-06-01,2976.0
2022-07-01,
2022-08-01,5198.1
2022-09-01,28144.0
2022-10-01,49685.0
2022-11-01,65385.9
2022-12-01,86016.0
2023-01-01,88822.0
2023-02-01,3476.0
2023-03-01,24701.5
2023-04-01,
2023-05-01,
2023-06-01,10114.0
2023-07-01,99282.8
2023-08-01,52675.3
2023-09-01,5986.3
2023-10-01,20319.0
2023-11-01,48847.8
2023-12-01,189338.5
2024-01-01,190.0
2024-02-01,9024.0
2024-03-01,2870.0
2024-04-01,4657.0
2024-05-01,
2024-06-01,5288.7
2024-07-01,
2024-08-01,
2024-09-01,
2024-10-01,
2024-11-01,5803.8
2024-12-01,10007.7
2025-01-01,1206.0
2025-02-01,
2025-03-01,17508.0
2025-04-01,
2025-05-01,1851.1
