Tarih,TP_IN_RH2_TOPTAN_TOP_B
2015-08-01,502945.7
2015-09-01,410511.2
2015-10-01,480006.6
2015-11-01,379241.2
2015-12-01,486734.7
2016-01-01,912697.9
2016-02-01,710508.0
2016-03-01,481985.0
2016-04-01,405513.7
2016-05-01,619555.3
2016-06-01,787239.2
2016-07-01,290684.0
2016-08-01,766085.9
2016-09-01,396931.9
2016-10-01,321691.2
2016-11-01,304423.0
2016-12-01,986636.0
2017-01-01,413281.5
2017-02-01,295865.1
2017-03-01,515246.1
2017-04-01,391992.3
2017-05-01,464293.0
2017-06-01,1168261.0
2017-07-01,495299.6
2017-08-01,384411.8
2017-09-01,1896076.0
2017-10-01,585876.2
2017-11-01,386438.0
2017-12-01,382057.6
2018-01-01,662319.0
2018-02-01,248728.9
2018-03-01,465074.5
2018-04-01,636927.9
2018-05-01,712094.4
2018-06-01,608926.1
2018-07-01,685351.1
2018-08-01,685026.0
2018-09-01,374936.4
2018-10-01,636478.0
2018-11-01,753846.0
2018-12-01,1724456.2
2019-01-01,270430.0
2019-02-01,251605.4
2019-03-01,492993.9
2019-04-01,152882.0
2019-05-01,324552.9
2019-06-01,139836.5
2019-07-01,153681.0
2019-08-01,270565.0
2019-09-01,382919.1
2019-10-01,219948.2
2019-11-01,368278.0
2019-12-01,1155613.7
2020-01-01,261030.7
2020-02-01,168788.5
2020-03-01,550939.7
2020-04-01,184290.4
2020-05-01,288253.0
2020-06-01,811792.7
2020-07-01,521482.6
2020-08-01,236433.7
2020-09-01,293227.6
2020-10-01,481977.0
2020-11-01,393877.1
2020-12-01,577940.8
2021-01-01,241269.1
2021-02-01,324649.0
2021-03-01,640711.5
2021-04-01,360593.3
2021-05-01,212999.0
2021-06-01,296204.9
2021-07-01,318929.0
2021-08-01,218396.4
2021-09-01,355400.8
2021-10-01,334185.3
2021-11-01,337334.0
2021-12-01,863972.5
2022-01-01,263979.6
2022-02-01,90358.9
2022-03-01,264841.9
2022-04-01,424229.8
2022-05-01,95770.1
2022-06-01,262680.5
2022-07-01,263871.1
2022-08-01,284655.3
2022-09-01,303378.9
2022-10-01,275160.0
2022-11-01,576715.8
2022-12-01,952554.2
2023-01-01,385707.0
2023-02-01,322765.6
2023-03-01,414599.6
2023-04-01,192650.6
2023-05-01,245234.5
2023-06-01,301708.7
2023-07-01,467807.6
2023-08-01,466368.3
2023-09-01,260449.4
2023-10-01,480461.6
2023-11-01,639343.6
2023-12-01,1410996.0
2024-01-01,169975.2
2024-02-01,377624.3
2024-03-01,703420.9
2024-04-01,201807.1
2024-05-01,135839.5
2024-06-01,126587.7
2024-07-01,92795.9
2024-08-01,209569.4
2024-09-01,115431.5
2024-10-01,44679.9
2024-11-01,128103.3
2024-12-01,362657.0
2025-01-01,103951.8
2025-02-01,105003.3
2025-03-01,203259.5
2025-04-01,70473.8
2025-05-01,48586.0
2025-06-01,484081.4
