Tarih,TP_IN_RH2_TRAFIK_DEV_B
2015-09-01,52447.0
2015-10-01,26787.5
2015-11-01,28452.0
2015-12-01,47902.0
2016-01-01,52115.0
2016-02-01,46322.0
2016-03-01,70493.0
2016-04-01,19857.0
2016-05-01,99962.0
2016-06-01,95927.0
2016-07-01,40771.0
2016-08-01,43034.0
2016-09-01,29173.0
2016-10-01,79347.0
2016-11-01,50044.0
2016-12-01,68637.0
2017-01-01,39098.0
2017-02-01,192.0
2017-03-01,75435.0
2017-04-01,66757.0
2017-05-01,93905.0
2017-06-01,77987.9
2017-07-01,38423.0
2017-08-01,31602.0
2017-09-01,69598.0
2017-10-01,20292.0
2017-11-01,100709.0
2017-12-01,133557.3
2018-01-01,61567.0
2018-02-01,224396.6
2018-03-01,145353.0
2018-04-01,33920.0
2018-05-01,87267.0
2018-06-01,67217.0
2018-07-01,56208.0
2018-08-01,22417.0
2018-09-01,27755.0
2018-10-01,37456.8
2018-11-01,14576.0
2018-12-01,106059.0
2019-01-01,77732.0
2019-02-01,21202.0
2019-03-01,35560.0
2019-04-01,
2019-05-01,105503.0
2019-06-01,
2019-07-01,1257.0
2019-08-01,20125.0
2019-09-01,19364.7
2019-10-01,3165.0
2019-11-01,17608.3
2019-12-01,5842.0
2020-01-01,13545.0
2020-02-01,4682.0
2020-03-01,79263.0
2020-04-01,31662.7
2020-05-01,7304.0
2020-06-01,71553.7
2020-07-01,11731.8
2020-08-01,2567.6
2020-09-01,20827.0
2020-10-01,7320.4
2020-11-01,38523.0
2020-12-01,11917.0
2021-01-01,32255.0
2021-02-01,19513.3
2021-03-01,28541.0
2021-04-01,51731.0
2021-05-01,1570.0
2021-06-01,16094.0
2021-07-01,8827.0
2021-08-01,39729.0
2021-09-01,15822.0
2021-10-01,14153.0
2021-11-01,36259.0
2021-12-01,48977.0
2022-01-01,5705.0
2022-02-01,17327.6
2022-03-01,8817.2
2022-04-01,14792.0
2022-05-01,15044.5
2022-06-01,15930.3
2022-07-01,4023.6
2022-08-01,14804.4
2022-09-01,54705.1
2022-10-01,86160.6
2022-11-01,118813.1
2022-12-01,25876.4
2023-01-01,13093.7
2023-02-01,27013.3
2023-03-01,2672.0
2023-04-01,74907.6
2023-05-01,6812.0
2023-06-01,2213.7
2023-07-01,36393.3
2023-08-01,9198.0
2023-09-01,15121.3
2023-10-01,19252.5
2023-11-01,53794.0
2023-12-01,29037.4
2024-01-01,15205.8
2024-02-01,71247.2
2024-03-01,23209.0
2024-04-01,37899.3
2024-05-01,42660.4
2024-06-01,16389.3
2024-07-01,78948.6
2024-08-01,15417.0
2024-09-01,9552.2
2024-10-01,16610.3
2024-11-01,26109.6
2024-12-01,6674.8
2025-01-01,29.9
2025-02-01,
2025-03-01,
2025-04-01,4877.3
2025-05-01,3050.1
2025-06-01,256645.2
