Tarih,TP_IN_RH2_TOPLAM_TOP_B
2015-04-01,18703585.6
2015-05-01,18672706.8
2015-06-01,20277318.4
2015-07-01,16854439.9
2015-08-01,16680715.3
2015-09-01,14606612.6
2015-10-01,13886288.5
2015-11-01,16639270.6
2015-12-01,26549431.7
2016-01-01,18657322.5
2016-02-01,18702554.7
2016-03-01,22172215.2
2016-04-01,18913632.9
2016-05-01,18882223.0
2016-06-01,18437351.3
2016-07-01,11729148.5
2016-08-01,16488552.7
2016-09-01,14479415.1
2016-10-01,17605222.3
2016-11-01,18000873.0
2016-12-01,26809239.1
2017-01-01,14865263.5
2017-02-01,14862990.5
2017-03-01,19876001.9
2017-04-01,21587726.9
2017-05-01,21964376.1
2017-06-01,45505147.2
2017-07-01,22173129.9
2017-08-01,20900318.9
2017-09-01,69221348.7
2017-10-01,16543249.3
2017-11-01,13074273.3
2017-12-01,19210118.3
2018-01-01,11327365.6
2018-02-01,11167416.1
2018-03-01,12840482.8
2018-04-01,13800703.5
2018-05-01,18267230.9
2018-06-01,17220547.5
2018-07-01,14822438.7
2018-08-01,10049089.9
2018-09-01,10302013.0
2018-10-01,11202839.1
2018-11-01,11112592.6
2018-12-01,23417812.5
2019-01-01,5838938.2
2019-02-01,6140566.7
2019-03-01,9187726.6
2019-04-01,4792359.6
2019-05-01,5082603.3
2019-06-01,3011492.1
2019-07-01,5076280.6
2019-08-01,5702136.3
2019-09-01,5738912.5
2019-10-01,6011546.7
2019-11-01,10102957.4
2019-12-01,15532464.3
2020-01-01,5805948.2
2020-02-01,6372818.7
2020-03-01,8079072.2
2020-04-01,6623124.1
2020-05-01,6401099.2
2020-06-01,17674347.9
2020-07-01,12223078.6
2020-08-01,8728654.1
2020-09-01,10727914.1
2020-10-01,11217429.4
2020-11-01,12699389.3
2020-12-01,21632895.0
2021-01-01,9655452.6
2021-02-01,10277952.1
2021-03-01,18730989.6
2021-04-01,13926378.0
2021-05-01,9128584.3
2021-06-01,14424885.7
2021-07-01,11501722.0
2021-08-01,12735789.5
2021-09-01,14531516.6
2021-10-01,14230222.1
2021-11-01,15253494.4
2021-12-01,29019758.4
2022-01-01,8394370.0
2022-02-01,9415453.5
2022-03-01,15244452.9
2022-04-01,12217270.5
2022-05-01,9918096.4
2022-06-01,14298320.3
2022-07-01,9783404.9
2022-08-01,13403682.6
2022-09-01,14684953.5
2022-10-01,13242641.3
2022-11-01,15271994.7
2022-12-01,33260256.1
2023-01-01,11668407.6
2023-02-01,8501618.8
2023-03-01,10661381.3
2023-04-01,13241528.2
2023-05-01,15418801.6
2023-06-01,16519027.8
2023-07-01,14448957.8
2023-08-01,17068146.2
2023-09-01,17391260.1
2023-10-01,15589020.7
2023-11-01,15747401.4
2023-12-01,41200079.6
2024-01-01,8476764.2
2024-02-01,12678864.0
2024-03-01,22881316.6
2024-04-01,10785799.5
2024-05-01,12919400.4
2024-06-01,9890284.6
2024-07-01,13136613.0
2024-08-01,12547001.9
2024-09-01,13510878.9
2024-10-01,14862847.0
2024-11-01,14659266.1
2024-12-01,33922287.5
2025-01-01,11685496.3
2025-02-01,8968728.8
2025-03-01,14581209.5
2025-04-01,12551751.7
2025-05-01,20045251.3
2025-06-01,21759163.7
