Tarih,TP_IN_RH2_KAMU_DEV_B
2015-09-01,971583.8
2015-10-01,411481.2
2015-11-01,538017.6
2015-12-01,1889543.5
2016-01-01,1008479.0
2016-02-01,856695.6
2016-03-01,785535.8
2016-04-01,856613.9
2016-05-01,852528.1
2016-06-01,603497.4
2016-07-01,610479.0
2016-08-01,651275.9
2016-09-01,598316.5
2016-10-01,1176444.7
2016-11-01,939969.4
2016-12-01,869396.5
2017-01-01,631718.9
2017-02-01,681345.1
2017-03-01,820141.4
2017-04-01,1506329.8
2017-05-01,1811995.4
2017-06-01,905013.7
2017-07-01,1005694.7
2017-08-01,885087.1
2017-09-01,2367018.8
2017-10-01,711315.9
2017-11-01,769464.0
2017-12-01,1205784.6
2018-01-01,669717.6
2018-02-01,767579.1
2018-03-01,1226687.5
2018-04-01,839525.7
2018-05-01,872788.9
2018-06-01,1233221.8
2018-07-01,984010.9
2018-08-01,816313.0
2018-09-01,770229.3
2018-10-01,1320870.3
2018-11-01,917906.1
2018-12-01,845571.5
2019-01-01,436353.5
2019-02-01,831715.7
2019-03-01,867220.5
2019-04-01,446251.7
2019-05-01,387006.6
2019-06-01,309942.0
2019-07-01,379896.1
2019-08-01,351166.6
2019-09-01,493794.3
2019-10-01,194557.5
2019-11-01,306412.5
2019-12-01,422366.0
2020-01-01,434402.4
2020-02-01,211342.9
2020-03-01,288423.1
2020-04-01,304034.9
2020-05-01,266536.6
2020-06-01,420592.6
2020-07-01,319102.0
2020-08-01,235527.7
2020-09-01,369003.9
2020-10-01,363175.3
2020-11-01,684022.0
2020-12-01,698964.7
2021-01-01,248057.0
2021-02-01,325744.1
2021-03-01,522022.4
2021-04-01,420014.9
2021-05-01,342480.4
2021-06-01,286089.0
2021-07-01,320327.9
2021-08-01,655772.9
2021-09-01,971407.0
2021-10-01,934879.5
2021-11-01,938421.2
2021-12-01,948804.9
2022-01-01,358810.2
2022-02-01,419625.2
2022-03-01,529215.2
2022-04-01,536034.6
2022-05-01,955631.7
2022-06-01,505158.5
2022-07-01,734355.2
2022-08-01,682245.2
2022-09-01,708722.7
2022-10-01,532508.5
2022-11-01,587040.1
2022-12-01,949715.6
2023-01-01,504021.4
2023-02-01,596676.1
2023-03-01,329400.4
2023-04-01,646834.7
2023-05-01,675249.5
2023-06-01,588709.4
2023-07-01,693372.5
2023-08-01,690266.5
2023-09-01,725537.2
2023-10-01,1134174.1
2023-11-01,356653.6
2023-12-01,562270.8
2024-01-01,392776.5
2024-02-01,531631.2
2024-03-01,575415.7
2024-04-01,406181.7
2024-05-01,461224.5
2024-06-01,318181.0
2024-07-01,366354.5
2024-08-01,443634.1
2024-09-01,723780.8
2024-10-01,591789.6
2024-11-01,490078.8
2024-12-01,795223.9
2025-01-01,309129.2
2025-02-01,586201.6
2025-03-01,549454.8
2025-04-01,584332.4
2025-05-01,417683.6
2025-06-01,197301.3
