Tarih,TP_IN_RH2_TRAFIK_TOP_B
2015-09-01,85623.0
2015-10-01,44988.8
2015-11-01,73919.0
2015-12-01,146694.0
2016-01-01,77336.0
2016-02-01,74288.0
2016-03-01,161534.6
2016-04-01,51334.8
2016-05-01,165299.0
2016-06-01,126596.2
2016-07-01,67969.0
2016-08-01,91275.0
2016-09-01,42219.0
2016-10-01,110910.0
2016-11-01,114665.0
2016-12-01,116232.0
2017-01-01,66399.0
2017-02-01,120222.0
2017-03-01,122813.0
2017-04-01,99831.0
2017-05-01,241751.0
2017-06-01,313853.9
2017-07-01,162332.0
2017-08-01,70423.0
2017-09-01,382002.0
2017-10-01,80336.0
2017-11-01,212510.0
2017-12-01,170419.3
2018-01-01,73147.0
2018-02-01,245397.6
2018-03-01,179101.0
2018-04-01,63285.0
2018-05-01,108336.0
2018-06-01,172933.3
2018-07-01,70475.0
2018-08-01,37279.0
2018-09-01,38710.4
2018-10-01,51239.8
2018-11-01,36117.3
2018-12-01,284540.0
2019-01-01,104050.8
2019-02-01,25359.0
2019-03-01,52363.9
2019-04-01,6768.0
2019-05-01,144659.7
2019-06-01,53616.0
2019-07-01,4693.0
2019-08-01,29265.0
2019-09-01,128500.8
2019-10-01,100962.0
2019-11-01,25014.3
2019-12-01,24329.0
2020-01-01,16429.1
2020-02-01,21803.2
2020-03-01,357949.0
2020-04-01,37438.7
2020-05-01,10198.8
2020-06-01,84842.9
2020-07-01,28038.8
2020-08-01,42738.2
2020-09-01,43792.5
2020-10-01,27968.0
2020-11-01,69337.0
2020-12-01,99393.1
2021-01-01,37691.0
2021-02-01,26175.3
2021-03-01,65655.0
2021-04-01,71975.8
2021-05-01,8389.0
2021-06-01,51331.3
2021-07-01,24458.0
2021-08-01,65201.0
2021-09-01,44776.0
2021-10-01,50568.2
2021-11-01,131510.5
2021-12-01,218007.1
2022-01-01,24890.1
2022-02-01,25399.9
2022-03-01,56053.6
2022-04-01,56956.0
2022-05-01,45040.3
2022-06-01,76421.2
2022-07-01,32907.7
2022-08-01,50810.2
2022-09-01,80738.9
2022-10-01,124516.0
2022-11-01,175791.1
2022-12-01,85064.7
2023-01-01,110687.0
2023-02-01,58311.9
2023-03-01,5690.0
2023-04-01,123221.8
2023-05-01,55899.9
2023-06-01,48989.2
2023-07-01,54817.1
2023-08-01,34264.8
2023-09-01,46398.6
2023-10-01,44231.4
2023-11-01,83213.7
2023-12-01,227269.7
2024-01-01,47513.4
2024-02-01,104101.2
2024-03-01,193671.7
2024-04-01,83069.3
2024-05-01,71344.2
2024-06-01,69894.3
2024-07-01,140881.2
2024-08-01,54522.7
2024-09-01,37885.2
2024-10-01,64050.9
2024-11-01,73924.5
2024-12-01,87432.7
2025-01-01,180576.5
2025-02-01,36139.1
2025-03-01,33801.2
2025-04-01,55507.1
2025-05-01,98889.8
2025-06-01,291327.1
