Tarih,TP_IN_RH2_DIGER_OZE_B
2015-09-01,620685.6
2015-10-01,622512.7
2015-11-01,1089739.8
2015-12-01,666052.4
2016-01-01,527760.3
2016-02-01,1073217.5
2016-03-01,2264880.3
2016-04-01,942272.1
2016-05-01,664065.9
2016-06-01,425544.3
2016-07-01,212342.3
2016-08-01,395336.6
2016-09-01,357529.8
2016-10-01,429712.3
2016-11-01,287634.3
2016-12-01,360859.4
2017-01-01,273154.9
2017-02-01,244240.4
2017-03-01,283609.4
2017-04-01,346852.3
2017-05-01,419979.6
2017-06-01,563427.1
2017-07-01,288104.8
2017-08-01,364128.7
2017-09-01,478493.2
2017-10-01,633071.3
2017-11-01,476193.0
2017-12-01,469013.4
2018-01-01,333534.8
2018-02-01,406425.3
2018-03-01,418177.5
2018-04-01,442363.9
2018-05-01,464848.1
2018-06-01,661248.4
2018-07-01,556168.1
2018-08-01,413194.7
2018-09-01,393291.5
2018-10-01,423199.3
2018-11-01,439487.0
2018-12-01,444224.7
2019-01-01,244188.6
2019-02-01,206047.3
2019-03-01,415515.4
2019-04-01,236706.2
2019-05-01,237389.2
2019-06-01,94100.9
2019-07-01,346319.5
2019-08-01,273493.8
2019-09-01,211792.7
2019-10-01,288075.5
2019-11-01,191502.0
2019-12-01,97414.5
2020-01-01,112307.4
2020-02-01,151260.3
2020-03-01,193843.0
2020-04-01,169121.9
2020-05-01,166860.7
2020-06-01,266158.9
2020-07-01,240794.9
2020-08-01,278430.7
2020-09-01,413988.2
2020-10-01,420824.1
2020-11-01,363625.6
2020-12-01,461541.4
2021-01-01,255424.6
2021-02-01,236754.3
2021-03-01,441252.3
2021-04-01,353141.5
2021-05-01,319152.8
2021-06-01,552922.9
2021-07-01,447698.7
2021-08-01,411627.2
2021-09-01,503462.0
2021-10-01,346497.7
2021-11-01,355600.5
2021-12-01,502993.3
2022-01-01,203716.9
2022-02-01,132404.0
2022-03-01,380401.2
2022-04-01,242697.9
2022-05-01,173135.8
2022-06-01,447733.0
2022-07-01,173074.4
2022-08-01,229249.7
2022-09-01,180646.1
2022-10-01,255014.8
2022-11-01,219981.8
2022-12-01,320209.5
2023-01-01,221277.6
2023-02-01,158048.9
2023-03-01,160906.4
2023-04-01,177748.4
2023-05-01,199092.4
2023-06-01,269433.0
2023-07-01,178993.7
2023-08-01,172395.2
2023-09-01,157726.3
2023-10-01,158091.4
2023-11-01,134588.9
2023-12-01,546766.4
2024-01-01,94590.8
2024-02-01,346132.6
2024-03-01,261772.9
2024-04-01,123264.9
2024-05-01,299191.5
2024-06-01,199840.8
2024-07-01,313500.1
2024-08-01,384309.7
2024-09-01,347414.3
2024-10-01,420713.8
2024-11-01,913963.0
2024-12-01,853638.6
2025-01-01,125891.8
2025-02-01,114969.4
2025-03-01,171904.2
2025-04-01,165963.0
2025-05-01,305446.4
2025-06-01,384147.7
