Tarih,TP_IN_RH2_OFIS_OZE_B
2015-09-01,473566.0
2015-10-01,296466.0
2015-11-01,618530.3
2015-12-01,1084208.9
2016-01-01,536528.7
2016-02-01,555076.4
2016-03-01,513598.4
2016-04-01,565840.1
2016-05-01,479361.3
2016-06-01,482181.1
2016-07-01,341724.4
2016-08-01,360237.6
2016-09-01,378200.8
2016-10-01,647729.5
2016-11-01,302106.2
2016-12-01,890925.8
2017-01-01,633676.0
2017-02-01,512995.1
2017-03-01,634979.9
2017-04-01,857120.1
2017-05-01,916885.7
2017-06-01,1231031.0
2017-07-01,891768.0
2017-08-01,698384.4
2017-09-01,2676838.1
2017-10-01,432591.7
2017-11-01,400127.4
2017-12-01,374783.7
2018-01-01,329700.1
2018-02-01,242991.8
2018-03-01,284226.1
2018-04-01,184460.0
2018-05-01,151542.1
2018-06-01,45578.9
2018-07-01,108013.3
2018-08-01,94302.1
2018-09-01,87168.9
2018-10-01,60484.1
2018-11-01,67099.9
2018-12-01,324133.3
2019-01-01,42989.5
2019-02-01,60883.7
2019-03-01,46052.2
2019-04-01,32057.5
2019-05-01,47719.2
2019-06-01,78594.2
2019-07-01,201539.5
2019-08-01,42623.6
2019-09-01,68167.6
2019-10-01,65309.1
2019-11-01,48336.3
2019-12-01,89328.4
2020-01-01,48799.9
2020-02-01,78646.0
2020-03-01,55626.1
2020-04-01,97944.9
2020-05-01,39688.2
2020-06-01,170577.4
2020-07-01,44375.7
2020-08-01,101323.3
2020-09-01,140259.9
2020-10-01,167687.6
2020-11-01,105440.0
2020-12-01,125940.8
2021-01-01,114663.0
2021-02-01,151538.9
2021-03-01,287628.3
2021-04-01,132307.2
2021-05-01,102836.0
2021-06-01,231644.7
2021-07-01,221418.6
2021-08-01,246597.5
2021-09-01,363272.4
2021-10-01,223893.8
2021-11-01,363144.8
2021-12-01,716266.2
2022-01-01,185376.3
2022-02-01,249263.7
2022-03-01,382984.4
2022-04-01,390614.8
2022-05-01,233882.8
2022-06-01,482136.6
2022-07-01,775159.4
2022-08-01,590635.6
2022-09-01,510538.2
2022-10-01,649416.8
2022-11-01,470344.2
2022-12-01,1408179.2
2023-01-01,318661.1
2023-02-01,225587.8
2023-03-01,322747.4
2023-04-01,341424.1
2023-05-01,664417.3
2023-06-01,604145.6
2023-07-01,476585.6
2023-08-01,715805.7
2023-09-01,1093718.5
2023-10-01,388911.4
2023-11-01,468888.3
2023-12-01,1582228.8
2024-01-01,312033.3
2024-02-01,313117.7
2024-03-01,902741.7
2024-04-01,376940.3
2024-05-01,580823.8
2024-06-01,416449.4
2024-07-01,531767.7
2024-08-01,513851.6
2024-09-01,696196.0
2024-10-01,907396.8
2024-11-01,686554.5
2024-12-01,1729047.0
2025-01-01,453223.4
2025-02-01,431438.1
2025-03-01,730680.1
2025-04-01,438900.8
2025-05-01,896602.6
2025-06-01,612893.1
