Tarih,TP_IN_RH2_APT_TOP_B
2015-04-01,11792807.9
2015-05-01,12275569.8
2015-06-01,13701642.2
2015-07-01,10936956.2
2015-08-01,11235359.2
2015-09-01,9822813.9
2015-10-01,9585066.1
2015-11-01,11164594.5
2015-12-01,18256619.0
2016-01-01,12941158.9
2016-02-01,13071464.4
2016-03-01,14580916.8
2016-04-01,13085577.1
2016-05-01,13283888.6
2016-06-01,12633622.7
2016-07-01,8256208.3
2016-08-01,11739989.6
2016-09-01,10747848.6
2016-10-01,11940198.0
2016-11-01,13187168.3
2016-12-01,20103785.0
2017-01-01,10954500.3
2017-02-01,10726359.2
2017-03-01,15210044.0
2017-04-01,15374727.1
2017-05-01,15297260.3
2017-06-01,36811810.4
2017-07-01,16385445.5
2017-08-01,15322502.8
2017-09-01,55572111.0
2017-10-01,10615923.5
2017-11-01,8049731.2
2017-12-01,12818655.9
2018-01-01,7156897.7
2018-02-01,6342915.9
2018-03-01,7697523.0
2018-04-01,8885195.0
2018-05-01,12957362.5
2018-06-01,11507274.1
2018-07-01,9571439.9
2018-08-01,5663585.1
2018-09-01,6555132.6
2018-10-01,6556256.8
2018-11-01,6540698.6
2018-12-01,14472490.2
2019-01-01,3226501.9
2019-02-01,3204579.7
2019-03-01,5291214.2
2019-04-01,2650191.9
2019-05-01,2591646.4
2019-06-01,1411412.5
2019-07-01,2431506.0
2019-08-01,2907430.7
2019-09-01,2954669.6
2019-10-01,3122383.6
2019-11-01,6877593.3
2019-12-01,11204770.8
2020-01-01,3279142.6
2020-02-01,3647387.7
2020-03-01,4767547.4
2020-04-01,4359708.6
2020-05-01,4224046.8
2020-06-01,12409752.9
2020-07-01,8796585.7
2020-08-01,5406216.3
2020-09-01,6769289.0
2020-10-01,6686514.4
2020-11-01,7314783.5
2020-12-01,15195757.9
2021-01-01,6134351.3
2021-02-01,6364498.9
2021-03-01,13009093.1
2021-04-01,9216984.1
2021-05-01,5624183.4
2021-06-01,8535944.0
2021-07-01,7094490.5
2021-08-01,7266366.0
2021-09-01,7829381.3
2021-10-01,8242466.5
2021-11-01,8969779.4
2021-12-01,19891925.5
2022-01-01,5174099.7
2022-02-01,5714406.1
2022-03-01,9162832.3
2022-04-01,6383215.5
2022-05-01,5484456.7
2022-06-01,8254749.9
2022-07-01,5141911.4
2022-08-01,7347228.3
2022-09-01,8374564.5
2022-10-01,7486302.9
2022-11-01,9199512.7
2022-12-01,22358165.7
2023-01-01,6530217.1
2023-02-01,4625298.3
2023-03-01,6187272.9
2023-04-01,7920227.0
2023-05-01,8987848.8
2023-06-01,10851933.7
2023-07-01,8530136.5
2023-08-01,10285090.5
2023-09-01,10501229.3
2023-10-01,9457195.3
2023-11-01,9978852.7
2023-12-01,29160609.6
2024-01-01,5146644.6
2024-02-01,8026540.9
2024-03-01,14249302.0
2024-04-01,6641813.9
2024-05-01,7837536.8
2024-06-01,5913375.5
2024-07-01,8111976.3
2024-08-01,7699328.3
2024-09-01,7740414.1
2024-10-01,9258416.2
2024-11-01,8761562.0
2024-12-01,22845648.0
2025-01-01,7477642.3
2025-02-01,5616657.7
2025-03-01,9138259.6
2025-04-01,8650416.6
2025-05-01,14975621.4
2025-06-01,16624656.6
