Tarih,TP_IN_RH2_APT_OZE_B
2015-04-01,10910923.9
2015-05-01,11495010.1
2015-06-01,12238513.2
2015-07-01,10356923.2
2015-08-01,9910119.2
2015-09-01,8579199.9
2015-10-01,8971563.9
2015-11-01,10676960.5
2015-12-01,17048849.0
2016-01-01,10748870.2
2016-02-01,11473681.8
2016-03-01,13089609.8
2016-04-01,12439015.1
2016-05-01,11802431.5
2016-06-01,12026220.5
2016-07-01,7862284.3
2016-08-01,10892211.7
2016-09-01,9834701.6
2016-10-01,11107445.0
2016-11-01,12029320.5
2016-12-01,17850305.6
2017-01-01,9646061.1
2017-02-01,9970705.2
2017-03-01,13755086.6
2017-04-01,14226627.1
2017-05-01,14149233.3
2017-06-01,33143836.4
2017-07-01,15246539.5
2017-08-01,14294975.8
2017-09-01,50635233.2
2017-10-01,9419836.5
2017-11-01,6698564.6
2017-12-01,11246040.8
2018-01-01,5513613.7
2018-02-01,5691898.1
2018-03-01,7106763.8
2018-04-01,8011749.4
2018-05-01,12053819.3
2018-06-01,10765192.5
2018-07-01,8355382.4
2018-08-01,5151177.0
2018-09-01,5479022.9
2018-10-01,5550139.9
2018-11-01,5205785.0
2018-12-01,13208525.2
2019-01-01,2565066.3
2019-02-01,2449564.4
2019-03-01,4925139.9
2019-04-01,2459141.9
2019-05-01,2213513.4
2019-06-01,1384456.5
2019-07-01,2040915.0
2019-08-01,2561006.7
2019-09-01,2362817.9
2019-10-01,2802762.1
2019-11-01,6070753.2
2019-12-01,10619242.3
2020-01-01,2841658.2
2020-02-01,3037001.0
2020-03-01,4062809.8
2020-04-01,4135976.6
2020-05-01,3930688.8
2020-06-01,11387723.1
2020-07-01,8022508.7
2020-08-01,5058691.3
2020-09-01,5823066.2
2020-10-01,6437458.9
2020-11-01,6621484.4
2020-12-01,13530960.3
2021-01-01,5217034.2
2021-02-01,5441742.5
2021-03-01,12021940.3
2021-04-01,8531396.5
2021-05-01,4640181.6
2021-06-01,7582558.8
2021-07-01,6033491.6
2021-08-01,6176726.0
2021-09-01,7295555.5
2021-10-01,7249992.0
2021-11-01,7592260.5
2021-12-01,17083372.9
2022-01-01,3730179.5
2022-02-01,4223959.0
2022-03-01,7914952.2
2022-04-01,5442060.6
2022-05-01,4756149.8
2022-06-01,7392856.6
2022-07-01,4744423.9
2022-08-01,6437051.2
2022-09-01,7028872.4
2022-10-01,6578701.3
2022-11-01,7972684.6
2022-12-01,20683323.0
2023-01-01,5764748.6
2023-02-01,4246990.9
2023-03-01,5084726.1
2023-04-01,6017185.5
2023-05-01,8082540.6
2023-06-01,8475553.6
2023-07-01,7066295.4
2023-08-01,8177601.3
2023-09-01,7625571.2
2023-10-01,8029662.9
2023-11-01,7259422.2
2023-12-01,25346544.4
2024-01-01,3340007.5
2024-02-01,4893549.7
2024-03-01,10988402.9
2024-04-01,4726099.0
2024-05-01,6742797.0
2024-06-01,5008729.8
2024-07-01,6636237.7
2024-08-01,6385243.1
2024-09-01,5940543.4
2024-10-01,7340125.8
2024-11-01,6753038.0
2024-12-01,19392473.0
2025-01-01,5456990.4
2025-02-01,4476276.4
2025-03-01,6842489.9
2025-04-01,6280948.2
2025-05-01,9200917.6
2025-06-01,13571725.4
