Tarih,TP_IN_RH2_EV_KOP_B
2015-11-01,6105.8
2015-12-01,28954.0
2016-01-01,
2016-02-01,15647.0
2016-03-01,3512.0
2016-04-01,74768.0
2016-05-01,957.0
2016-06-01,3453.0
2016-07-01,5046.0
2016-08-01,46145.0
2016-09-01,10247.0
2016-10-01,3647.0
2016-11-01,3450.0
2016-12-01,18280.5
2017-01-01,964.7
2017-02-01,3260.0
2017-03-01,
2017-04-01,136.0
2017-05-01,1938.0
2017-06-01,19945.0
2017-07-01,8190.0
2017-08-01,6967.0
2017-09-01,66051.0
2017-10-01,10944.0
2017-11-01,4800.0
2017-12-01,10824.0
2018-01-01,18431.0
2018-02-01,633.0
2018-03-01,4471.0
2018-04-01,12218.0
2018-05-01,8718.0
2018-06-01,2654.0
2018-07-01,
2018-08-01,
2018-09-01,3730.0
2018-10-01,12759.0
2018-11-01,17196.0
2018-12-01,6911.0
2019-01-01,8557.0
2019-02-01,4725.0
2019-03-01,2882.0
2019-04-01,
2019-05-01,1032.0
2019-06-01,3456.0
2019-07-01,
2019-08-01,4256.0
2019-09-01,466.0
2019-10-01,5676.0
2019-11-01,837.0
2019-12-01,12962.0
2020-01-01,7352.0
2020-02-01,10818.0
2020-03-01,2904.0
2020-04-01,9751.0
2020-05-01,
2020-06-01,765.0
2020-07-01,10041.0
2020-08-01,11458.0
2020-09-01,10660.0
2020-10-01,6100.3
2020-11-01,13048.0
2020-12-01,2212.0
2021-01-01,8909.0
2021-02-01,6724.0
2021-03-01,5722.0
2021-04-01,18332.0
2021-05-01,7166.0
2021-06-01,9419.0
2021-07-01,14876.0
2021-08-01,5061.0
2021-09-01,14508.0
2021-10-01,4654.0
2021-11-01,2016.0
2021-12-01,7683.0
2022-01-01,11200.8
2022-02-01,4982.9
2022-03-01,19602.4
2022-04-01,8478.8
2022-05-01,17823.8
2022-06-01,6158.3
2022-07-01,808.0
2022-08-01,270.0
2022-09-01,21526.7
2022-10-01,3555.9
2022-11-01,31677.4
2022-12-01,82288.7
2023-01-01,179.9
2023-02-01,2149.5
2023-03-01,1752.4
2023-04-01,2095.7
2023-05-01,27028.6
2023-06-01,38023.0
2023-07-01,10724.9
2023-08-01,18233.9
2023-09-01,12100.5
2023-10-01,5425.6
2023-11-01,10562.6
2023-12-01,9282.0
2024-01-01,11359.0
2024-02-01,2740.1
2024-03-01,8597.8
2024-04-01,7079.8
2024-05-01,8359.9
2024-06-01,915.3
2024-07-01,12921.7
2024-08-01,13240.7
2024-09-01,27917.7
2024-10-01,18004.9
2024-11-01,17226.7
2024-12-01,15971.8
2025-01-01,12746.9
2025-02-01,10885.4
2025-03-01,25686.7
2025-04-01,940.8
2025-05-01,7595.8
2025-06-01,3071.7
