Tarih,TP_IN_RH2_TOPTAN_OZE_B
2015-09-01,341677.2
2015-10-01,441207.6
2015-11-01,341482.2
2015-12-01,415077.7
2016-01-01,728806.9
2016-02-01,529941.0
2016-03-01,429123.0
2016-04-01,348578.5
2016-05-01,589965.1
2016-06-01,676428.2
2016-07-01,268725.0
2016-08-01,609752.6
2016-09-01,368923.0
2016-10-01,287919.2
2016-11-01,286850.0
2016-12-01,715994.0
2017-01-01,234807.0
2017-02-01,256682.1
2017-03-01,302378.5
2017-04-01,301074.0
2017-05-01,301555.1
2017-06-01,924423.0
2017-07-01,435387.0
2017-08-01,289522.8
2017-09-01,1580174.8
2017-10-01,443015.0
2017-11-01,330083.0
2017-12-01,319586.6
2018-01-01,196277.0
2018-02-01,197969.9
2018-03-01,382367.6
2018-04-01,466122.9
2018-05-01,637604.4
2018-06-01,533068.6
2018-07-01,561348.4
2018-08-01,410795.0
2018-09-01,321059.0
2018-10-01,443127.4
2018-11-01,455713.0
2018-12-01,1377475.2
2019-01-01,239624.0
2019-02-01,204639.4
2019-03-01,336260.6
2019-04-01,118438.0
2019-05-01,177231.0
2019-06-01,89711.5
2019-07-01,124550.0
2019-08-01,210539.0
2019-09-01,293792.1
2019-10-01,200830.3
2019-11-01,344252.0
2019-12-01,1005244.7
2020-01-01,168383.0
2020-02-01,135770.5
2020-03-01,187669.0
2020-04-01,152404.4
2020-05-01,220628.0
2020-06-01,726758.7
2020-07-01,332612.0
2020-08-01,224212.2
2020-09-01,220561.5
2020-10-01,470341.0
2020-11-01,364028.1
2020-12-01,536697.8
2021-01-01,198898.1
2021-02-01,229793.5
2021-03-01,612432.7
2021-04-01,317958.0
2021-05-01,173340.0
2021-06-01,270650.5
2021-07-01,273516.0
2021-08-01,195545.0
2021-09-01,324789.0
2021-10-01,234516.0
2021-11-01,228185.0
2021-12-01,812762.9
2022-01-01,263453.6
2022-02-01,65157.9
2022-03-01,235688.1
2022-04-01,293683.7
2022-05-01,69478.6
2022-06-01,225204.5
2022-07-01,254106.1
2022-08-01,256925.5
2022-09-01,222633.5
2022-10-01,192980.6
2022-11-01,482162.0
2022-12-01,799931.9
2023-01-01,223236.2
2023-02-01,281971.9
2023-03-01,278922.8
2023-04-01,136752.5
2023-05-01,141405.5
2023-06-01,252446.3
2023-07-01,301843.9
2023-08-01,380120.0
2023-09-01,224687.7
2023-10-01,327189.6
2023-11-01,547084.3
2023-12-01,1166271.5
2024-01-01,141231.4
2024-02-01,360351.0
2024-03-01,532221.9
2024-04-01,192055.5
2024-05-01,127442.0
2024-06-01,107485.6
2024-07-01,74632.3
2024-08-01,195237.6
2024-09-01,83785.4
2024-10-01,43825.8
2024-11-01,89470.8
2024-12-01,339406.6
2025-01-01,95559.3
2025-02-01,92705.7
2025-03-01,163388.5
2025-04-01,67085.7
2025-05-01,32588.5
2025-06-01,424016.1
