Tarih,TP_IN_RH2_TOPLAM_DEV_D
2015-09-01,6978.0
2015-10-01,2077.0
2015-11-01,1549.0
2015-12-01,3578.0
2016-01-01,8400.0
2016-02-01,8581.0
2016-03-01,7193.0
2016-04-01,2624.0
2016-05-01,6972.0
2016-06-01,3408.0
2016-07-01,1506.0
2016-08-01,4740.0
2016-09-01,4041.0
2016-10-01,4253.0
2016-11-01,6134.0
2016-12-01,12953.0
2017-01-01,7313.0
2017-02-01,3418.0
2017-03-01,8124.0
2017-04-01,5853.0
2017-05-01,6674.0
2017-06-01,17397.0
2017-07-01,8146.0
2017-08-01,5521.0
2017-09-01,14028.0
2017-10-01,6854.0
2017-11-01,8105.0
2017-12-01,7760.0
2018-01-01,10203.0
2018-02-01,3801.0
2018-03-01,3651.0
2018-04-01,5214.0
2018-05-01,4807.0
2018-06-01,4994.0
2018-07-01,6830.0
2018-08-01,2301.0
2018-09-01,5768.0
2018-10-01,5585.0
2018-11-01,4865.0
2018-12-01,5999.0
2019-01-01,3800.0
2019-02-01,4542.0
2019-03-01,1513.0
2019-04-01,1404.0
2019-05-01,2541.0
2019-06-01,265.0
2019-07-01,2671.0
2019-08-01,2234.0
2019-09-01,3269.0
2019-10-01,1871.0
2019-11-01,3912.0
2019-12-01,1868.0
2020-01-01,2083.0
2020-02-01,3149.0
2020-03-01,4804.0
2020-04-01,1022.0
2020-05-01,1743.0
2020-06-01,4681.0
2020-07-01,3938.0
2020-08-01,1856.0
2020-09-01,5472.0
2020-10-01,1754.0
2020-11-01,4179.0
2020-12-01,7393.0
2021-01-01,5336.0
2021-02-01,5498.0
2021-03-01,5239.0
2021-04-01,3623.0
2021-05-01,6510.0
2021-06-01,5504.0
2021-07-01,6890.0
2021-08-01,6354.0
2021-09-01,3315.0
2021-10-01,5158.0
2021-11-01,7649.0
2021-12-01,15360.0
2022-01-01,7888.0
2022-02-01,8637.0
2022-03-01,7441.0
2022-04-01,5450.0
2022-05-01,4521.0
2022-06-01,5157.0
2022-07-01,2457.0
2022-08-01,5058.0
2022-09-01,7618.0
2022-10-01,5832.0
2022-11-01,6905.0
2022-12-01,7100.0
2023-01-01,4882.0
2023-02-01,1840.0
2023-03-01,6364.0
2023-04-01,10830.0
2023-05-01,4950.0
2023-06-01,11906.0
2023-07-01,9276.0
2023-08-01,13003.0
2023-09-01,17727.0
2023-10-01,8476.0
2023-11-01,17058.0
2023-12-01,16596.0
2024-01-01,11513.0
2024-02-01,19341.0
2024-03-01,19756.0
2024-04-01,10872.0
2024-05-01,6661.0
2024-06-01,5512.0
2024-07-01,9463.0
2024-08-01,8285.0
2024-09-01,12050.0
2024-10-01,12678.0
2024-11-01,13136.0
2024-12-01,20309.0
2025-01-01,13673.0
2025-02-01,8498.0
2025-03-01,13764.0
2025-04-01,15611.0
2025-05-01,38458.0
2025-06-01,18439.0
