Tarih,TP_IN_RH2_OTEL_OZE_B
2015-09-01,134904.0
2015-10-01,168028.0
2015-11-01,323989.6
2015-12-01,776091.0
2016-01-01,125908.0
2016-02-01,249592.9
2016-03-01,125743.9
2016-04-01,244089.5
2016-05-01,265076.5
2016-06-01,278229.0
2016-07-01,110508.0
2016-08-01,231169.4
2016-09-01,167997.0
2016-10-01,114541.0
2016-11-01,157366.0
2016-12-01,266247.9
2017-01-01,127550.0
2017-02-01,160421.0
2017-03-01,123241.2
2017-04-01,115355.0
2017-05-01,386359.8
2017-06-01,766113.7
2017-07-01,301580.4
2017-08-01,212587.7
2017-09-01,749982.9
2017-10-01,66660.5
2017-11-01,53355.7
2017-12-01,170154.7
2018-01-01,148593.4
2018-02-01,76839.9
2018-03-01,253861.2
2018-04-01,153269.0
2018-05-01,332237.3
2018-06-01,209848.5
2018-07-01,76509.1
2018-08-01,82872.3
2018-09-01,72355.4
2018-10-01,51961.5
2018-11-01,179607.5
2018-12-01,496978.6
2019-01-01,47788.8
2019-02-01,96110.0
2019-03-01,280415.8
2019-04-01,22331.5
2019-05-01,24034.8
2019-06-01,53789.6
2019-07-01,38439.0
2019-08-01,79298.3
2019-09-01,39177.0
2019-10-01,96134.5
2019-11-01,210149.1
2019-12-01,121686.0
2020-01-01,215974.6
2020-02-01,163216.5
2020-03-01,134120.0
2020-04-01,33110.0
2020-05-01,85514.0
2020-06-01,213828.7
2020-07-01,78328.0
2020-08-01,39665.7
2020-09-01,174978.7
2020-10-01,59903.6
2020-11-01,89471.0
2020-12-01,234973.9
2021-01-01,166696.9
2021-02-01,115850.1
2021-03-01,104731.6
2021-04-01,90218.3
2021-05-01,38486.0
2021-06-01,55829.7
2021-07-01,86521.3
2021-08-01,49995.6
2021-09-01,124486.4
2021-10-01,72377.0
2021-11-01,66962.9
2021-12-01,251407.2
2022-01-01,108448.3
2022-02-01,79573.3
2022-03-01,364386.1
2022-04-01,158909.2
2022-05-01,102659.5
2022-06-01,110906.7
2022-07-01,101631.9
2022-08-01,47893.5
2022-09-01,76198.3
2022-10-01,327723.3
2022-11-01,199905.2
2022-12-01,355169.3
2023-01-01,97721.0
2023-02-01,215323.8
2023-03-01,132595.9
2023-04-01,174258.3
2023-05-01,135983.1
2023-06-01,187639.2
2023-07-01,64907.4
2023-08-01,141945.5
2023-09-01,410486.6
2023-10-01,101726.3
2023-11-01,154502.5
2023-12-01,370467.6
2024-01-01,30509.3
2024-02-01,137142.7
2024-03-01,518332.0
2024-04-01,71826.4
2024-05-01,156961.6
2024-06-01,93080.3
2024-07-01,20039.9
2024-08-01,120222.3
2024-09-01,213452.9
2024-10-01,80985.4
2024-11-01,122484.9
2024-12-01,374886.1
2025-01-01,236830.5
2025-02-01,118156.8
2025-03-01,114271.3
2025-04-01,173034.1
2025-05-01,65766.8
2025-06-01,94831.6
