Tarih,TP_IN_RH2_SANAYI_KOP_B
2015-10-01,41508.0
2015-11-01,59891.0
2015-12-01,36550.0
2016-01-01,96655.0
2016-02-01,18506.6
2016-03-01,199481.0
2016-04-01,9019.0
2016-05-01,23593.8
2016-06-01,30799.0
2016-07-01,587.0
2016-08-01,27140.0
2016-09-01,11485.0
2016-10-01,37172.0
2016-11-01,37781.0
2016-12-01,31706.0
2017-01-01,7622.0
2017-02-01,8527.0
2017-03-01,25262.0
2017-04-01,66077.0
2017-05-01,37621.0
2017-06-01,193572.0
2017-07-01,48905.0
2017-08-01,63360.7
2017-09-01,53892.0
2017-10-01,39392.0
2017-11-01,16451.0
2017-12-01,46504.0
2018-01-01,17964.0
2018-02-01,1190.0
2018-03-01,134468.0
2018-04-01,107362.0
2018-05-01,35635.0
2018-06-01,19403.0
2018-07-01,29650.0
2018-08-01,64451.0
2018-09-01,76478.0
2018-10-01,25060.0
2018-11-01,78659.0
2018-12-01,501027.0
2019-01-01,127084.0
2019-02-01,31458.0
2019-03-01,102492.0
2019-04-01,38367.0
2019-05-01,3170.0
2019-06-01,41441.8
2019-07-01,25692.8
2019-08-01,176072.0
2019-09-01,8533.0
2019-10-01,30479.0
2019-11-01,32183.0
2019-12-01,41989.0
2020-01-01,49334.0
2020-02-01,18855.0
2020-03-01,42650.0
2020-04-01,21009.0
2020-05-01,11909.0
2020-06-01,373849.0
2020-07-01,115760.5
2020-08-01,11548.0
2020-09-01,30334.0
2020-10-01,26479.0
2020-11-01,24470.0
2020-12-01,155895.0
2021-01-01,117140.0
2021-02-01,25641.0
2021-03-01,51840.0
2021-04-01,71569.0
2021-05-01,74125.0
2021-06-01,26169.0
2021-07-01,13483.0
2021-08-01,135239.7
2021-09-01,63863.0
2021-10-01,12998.0
2021-11-01,60652.0
2021-12-01,78145.0
2022-01-01,31480.0
2022-02-01,47168.3
2022-03-01,51755.3
2022-04-01,16628.0
2022-05-01,3313.0
2022-06-01,35684.9
2022-07-01,8885.0
2022-08-01,41415.9
2022-09-01,45077.7
2022-10-01,7296.4
2022-11-01,32285.0
2022-12-01,80760.0
2023-01-01,260408.4
2023-02-01,17478.3
2023-03-01,189686.9
2023-04-01,184420.5
2023-05-01,61194.0
2023-06-01,9527.6
2023-07-01,28519.5
2023-08-01,166844.1
2023-09-01,30568.0
2023-10-01,41955.4
2023-11-01,161415.0
2023-12-01,271250.0
2024-01-01,60532.8
2024-02-01,20250.1
2024-03-01,796964.3
2024-04-01,26946.4
2024-05-01,36785.0
2024-06-01,20888.7
2024-07-01,50809.3
2024-08-01,7814.2
2024-09-01,121864.7
2024-10-01,65206.3
2024-11-01,29188.9
2024-12-01,697277.2
2025-01-01,178281.7
2025-02-01,15025.0
2025-03-01,262311.0
2025-04-01,14485.4
2025-05-01,142286.4
2025-06-01,64374.3
