Tarih,TP_IN_RH2_APT_DEV_B
2015-08-01,1054512.0
2015-09-01,1088756.0
2015-10-01,387602.2
2015-11-01,237248.0
2015-12-01,589020.0
2016-01-01,1725610.6
2016-02-01,1410960.5
2016-03-01,1258643.0
2016-04-01,367207.0
2016-05-01,1180567.0
2016-06-01,507310.2
2016-07-01,287820.0
2016-08-01,732850.9
2016-09-01,742927.0
2016-10-01,703513.0
2016-11-01,1011761.8
2016-12-01,2065348.4
2017-01-01,1288028.2
2017-02-01,619601.0
2017-03-01,1190057.3
2017-04-01,977933.9
2017-05-01,1013923.0
2017-06-01,3023916.0
2017-07-01,1090708.0
2017-08-01,824185.0
2017-09-01,2925156.7
2017-10-01,1120412.0
2017-11-01,1328714.6
2017-12-01,1142789.1
2018-01-01,1584015.0
2018-02-01,612976.7
2018-03-01,484480.1
2018-04-01,809764.5
2018-05-01,769806.2
2018-06-01,671952.6
2018-07-01,1047618.5
2018-08-01,362913.0
2018-09-01,859925.7
2018-10-01,950448.9
2018-11-01,808808.6
2018-12-01,996253.0
2019-01-01,554655.6
2019-02-01,742736.2
2019-03-01,287666.3
2019-04-01,168375.0
2019-05-01,336394.0
2019-06-01,15105.0
2019-07-01,351358.0
2019-08-01,289998.0
2019-09-01,526291.7
2019-10-01,281268.5
2019-11-01,675514.1
2019-12-01,376365.5
2020-01-01,306537.4
2020-02-01,528938.7
2020-03-01,676907.6
2020-04-01,181142.0
2020-05-01,282699.0
2020-06-01,693735.7
2020-07-01,675863.0
2020-08-01,285839.0
2020-09-01,882505.8
2020-10-01,183622.4
2020-11-01,646511.0
2020-12-01,1177404.3
2021-01-01,878839.0
2021-02-01,858090.4
2021-03-01,833122.7
2021-04-01,518423.5
2021-05-01,959269.8
2021-06-01,883543.1
2021-07-01,1007650.9
2021-08-01,1004264.0
2021-09-01,443942.7
2021-10-01,808084.5
2021-11-01,1303009.9
2021-12-01,2577448.4
2022-01-01,1393375.4
2022-02-01,1368853.2
2022-03-01,1215401.6
2022-04-01,830621.1
2022-05-01,673796.8
2022-06-01,753451.5
2022-07-01,364079.3
2022-08-01,716702.2
2022-09-01,1131287.9
2022-10-01,839031.7
2022-11-01,1083104.0
2022-12-01,1114009.0
2023-01-01,683692.9
2023-02-01,273779.9
2023-03-01,947678.7
2023-04-01,1840083.9
2023-05-01,717078.8
2023-06-01,2035914.7
2023-07-01,1315069.2
2023-08-01,1906712.6
2023-09-01,2764297.8
2023-10-01,1221995.6
2023-11-01,2537102.6
2023-12-01,2598316.1
2024-01-01,1676399.9
2024-02-01,2821516.0
2024-03-01,2841692.6
2024-04-01,1633159.1
2024-05-01,979042.7
2024-06-01,790326.3
2024-07-01,1302544.4
2024-08-01,1234376.1
2024-09-01,1629036.8
2024-10-01,1712887.8
2024-11-01,1866997.3
2024-12-01,2830457.2
2025-01-01,1929632.4
2025-02-01,1064030.9
2025-03-01,1938545.8
2025-04-01,2210851.9
2025-05-01,5606752.9
2025-06-01,2841382.6
