Tarih,TP_IN_RH2_KAMU_OZE_B
2015-09-01,142909.4
2015-10-01,330749.5
2015-11-01,112338.0
2015-12-01,479018.5
2016-01-01,223034.6
2016-02-01,157862.0
2016-03-01,204038.0
2016-04-01,160305.0
2016-05-01,100289.8
2016-06-01,87590.0
2016-07-01,110189.9
2016-08-01,205989.0
2016-09-01,229428.0
2016-10-01,388069.0
2016-11-01,218276.1
2016-12-01,212198.0
2017-01-01,121743.6
2017-02-01,175113.1
2017-03-01,249316.0
2017-04-01,192041.0
2017-05-01,169556.7
2017-06-01,316193.2
2017-07-01,269490.8
2017-08-01,345136.0
2017-09-01,616902.0
2017-10-01,191795.0
2017-11-01,129319.8
2017-12-01,208680.3
2018-01-01,81033.0
2018-02-01,165407.0
2018-03-01,159215.2
2018-04-01,197982.3
2018-05-01,219879.0
2018-06-01,216035.0
2018-07-01,291018.1
2018-08-01,149843.6
2018-09-01,52341.7
2018-10-01,222292.6
2018-11-01,189862.1
2018-12-01,456236.7
2019-01-01,133276.1
2019-02-01,178920.0
2019-03-01,114190.0
2019-04-01,89133.2
2019-05-01,46156.4
2019-06-01,156199.8
2019-07-01,33930.2
2019-08-01,59493.5
2019-09-01,63636.0
2019-10-01,57778.0
2019-11-01,39927.0
2019-12-01,103329.0
2020-01-01,44145.9
2020-02-01,59920.3
2020-03-01,46576.7
2020-04-01,24448.8
2020-05-01,18047.0
2020-06-01,138260.4
2020-07-01,45026.0
2020-08-01,62056.0
2020-09-01,44061.0
2020-10-01,39128.9
2020-11-01,23775.0
2020-12-01,70321.9
2021-01-01,71891.8
2021-02-01,72967.0
2021-03-01,51095.5
2021-04-01,23215.0
2021-05-01,50724.6
2021-06-01,69649.5
2021-07-01,33097.2
2021-08-01,47796.3
2021-09-01,37012.5
2021-10-01,115934.0
2021-11-01,63342.6
2021-12-01,198214.5
2022-01-01,7648.8
2022-02-01,46316.8
2022-03-01,24351.4
2022-04-01,31943.9
2022-05-01,11832.0
2022-06-01,80040.3
2022-07-01,56092.3
2022-08-01,33458.8
2022-09-01,44356.5
2022-10-01,55418.4
2022-11-01,13959.2
2022-12-01,126018.8
2023-01-01,59463.9
2023-02-01,43843.6
2023-03-01,73319.0
2023-04-01,27602.4
2023-05-01,20407.8
2023-06-01,45198.7
2023-07-01,46205.1
2023-08-01,58889.6
2023-09-01,93106.3
2023-10-01,141695.9
2023-11-01,39793.4
2023-12-01,128228.3
2024-01-01,38741.1
2024-02-01,95780.4
2024-03-01,207767.4
2024-04-01,45151.5
2024-05-01,92674.1
2024-06-01,35184.2
2024-07-01,60573.5
2024-08-01,76109.2
2024-09-01,33352.2
2024-10-01,62484.0
2024-11-01,41116.4
2024-12-01,128039.3
2025-01-01,33379.9
2025-02-01,21926.3
2025-03-01,70012.6
2025-04-01,51712.6
2025-05-01,37921.2
2025-06-01,39523.7
