Tarih,TP_IN_RH2_APT_OZE_A
2015-09-01,5489.0
2015-10-01,6029.0
2015-11-01,6971.0
2015-12-01,10813.0
2016-01-01,6428.0
2016-02-01,7079.0
2016-03-01,8248.0
2016-04-01,7810.0
2016-05-01,7368.0
2016-06-01,7486.0
2016-07-01,4848.0
2016-08-01,7075.0
2016-09-01,5913.0
2016-10-01,7152.0
2016-11-01,7933.0
2016-12-01,10810.0
2017-01-01,5914.0
2017-02-01,6211.0
2017-03-01,8456.0
2017-04-01,8327.0
2017-05-01,8930.0
2017-06-01,16512.0
2017-07-01,8541.0
2017-08-01,7948.0
2017-09-01,23306.0
2017-10-01,5819.0
2017-11-01,4082.0
2017-12-01,6400.0
2018-01-01,3783.0
2018-02-01,3936.0
2018-03-01,5174.0
2018-04-01,5462.0
2018-05-01,8157.0
2018-06-01,6859.0
2018-07-01,5181.0
2018-08-01,3333.0
2018-09-01,3927.0
2018-10-01,3783.0
2018-11-01,3481.0
2018-12-01,6859.0
2019-01-01,1813.0
2019-02-01,1519.0
2019-03-01,2761.0
2019-04-01,1256.0
2019-05-01,1614.0
2019-06-01,1024.0
2019-07-01,1619.0
2019-08-01,1611.0
2019-09-01,1622.0
2019-10-01,2002.0
2019-11-01,3486.0
2019-12-01,7375.0
2020-01-01,2045.0
2020-02-01,2163.0
2020-03-01,2889.0
2020-04-01,2753.0
2020-05-01,2658.0
2020-06-01,5751.0
2020-07-01,4829.0
2020-08-01,3511.0
2020-09-01,4260.0
2020-10-01,4761.0
2020-11-01,4637.0
2020-12-01,8385.0
2021-01-01,4060.0
2021-02-01,4491.0
2021-03-01,8268.0
2021-04-01,5613.0
2021-05-01,3026.0
2021-06-01,5405.0
2021-07-01,4063.0
2021-08-01,4016.0
2021-09-01,4659.0
2021-10-01,4586.0
2021-11-01,4798.0
2021-12-01,9648.0
2022-01-01,2725.0
2022-02-01,3085.0
2022-03-01,4666.0
2022-04-01,3571.0
2022-05-01,3210.0
2022-06-01,4872.0
2022-07-01,3098.0
2022-08-01,4264.0
2022-09-01,4752.0
2022-10-01,4273.0
2022-11-01,4930.0
2022-12-01,10644.0
2023-01-01,3631.0
2023-02-01,2812.0
2023-03-01,3547.0
2023-04-01,3739.0
2023-05-01,4849.0
2023-06-01,4898.0
2023-07-01,4628.0
2023-08-01,5310.0
2023-09-01,5036.0
2023-10-01,5603.0
2023-11-01,5029.0
2023-12-01,13135.0
2024-01-01,2583.0
2024-02-01,3880.0
2024-03-01,5850.0
2024-04-01,3092.0
2024-05-01,4528.0
2024-06-01,3301.0
2024-07-01,4343.0
2024-08-01,4436.0
2024-09-01,4039.0
2024-10-01,4598.0
2024-11-01,4394.0
2024-12-01,10582.0
2025-01-01,3731.0
2025-02-01,3262.0
2025-03-01,4463.0
2025-04-01,3991.0
2025-05-01,5695.0
2025-06-01,8394.0
