Tarih,TP_IN_RH2_TRAFIK_OZE_B
2015-09-01,33176.0
2015-10-01,18201.3
2015-11-01,45467.0
2015-12-01,93917.0
2016-01-01,25221.0
2016-02-01,27966.0
2016-03-01,91041.6
2016-04-01,30239.8
2016-05-01,64472.0
2016-06-01,29799.2
2016-07-01,26971.0
2016-08-01,45689.0
2016-09-01,11276.0
2016-10-01,31563.0
2016-11-01,64621.0
2016-12-01,47595.0
2017-01-01,27301.0
2017-02-01,119613.0
2017-03-01,46564.0
2017-04-01,32829.0
2017-05-01,147846.0
2017-06-01,229788.0
2017-07-01,123909.0
2017-08-01,38821.0
2017-09-01,310557.0
2017-10-01,56526.0
2017-11-01,111230.0
2017-12-01,36862.0
2018-01-01,11580.0
2018-02-01,21001.0
2018-03-01,33748.0
2018-04-01,28643.0
2018-05-01,21069.0
2018-06-01,105716.3
2018-07-01,12494.0
2018-08-01,12868.0
2018-09-01,10955.4
2018-10-01,13783.0
2018-11-01,21541.3
2018-12-01,177260.0
2019-01-01,26318.8
2019-02-01,4157.0
2019-03-01,16803.9
2019-04-01,6768.0
2019-05-01,39156.7
2019-06-01,50952.0
2019-07-01,2724.0
2019-08-01,9140.0
2019-09-01,109136.1
2019-10-01,97797.0
2019-11-01,7406.0
2019-12-01,18487.0
2020-01-01,2884.1
2020-02-01,17121.2
2020-03-01,278686.0
2020-04-01,5776.0
2020-05-01,2894.8
2020-06-01,13289.2
2020-07-01,15817.0
2020-08-01,39317.6
2020-09-01,22401.5
2020-10-01,20647.5
2020-11-01,30814.0
2020-12-01,87476.1
2021-01-01,5436.0
2021-02-01,6662.0
2021-03-01,37114.0
2021-04-01,18224.8
2021-05-01,6819.0
2021-06-01,35237.3
2021-07-01,15631.0
2021-08-01,21296.0
2021-09-01,27866.0
2021-10-01,33122.2
2021-11-01,95251.5
2021-12-01,168487.1
2022-01-01,19185.0
2022-02-01,8072.3
2022-03-01,46853.0
2022-04-01,33454.0
2022-05-01,25703.7
2022-06-01,58613.8
2022-07-01,28884.1
2022-08-01,36005.7
2022-09-01,26033.8
2022-10-01,36981.3
2022-11-01,52738.9
2022-12-01,52032.2
2023-01-01,97593.3
2023-02-01,31298.6
2023-03-01,3018.0
2023-04-01,41630.1
2023-05-01,49087.9
2023-06-01,46775.4
2023-07-01,18180.6
2023-08-01,25066.8
2023-09-01,31277.3
2023-10-01,24978.9
2023-11-01,17864.7
2023-12-01,187926.2
2024-01-01,24073.6
2024-02-01,32853.9
2024-03-01,161890.7
2024-04-01,45169.9
2024-05-01,21697.7
2024-06-01,53505.0
2024-07-01,61932.5
2024-08-01,39105.6
2024-09-01,28333.0
2024-10-01,40367.0
2024-11-01,46911.9
2024-12-01,71724.1
2025-01-01,177452.5
2025-02-01,35225.1
2025-03-01,27115.2
2025-04-01,33365.7
2025-05-01,88819.7
2025-06-01,33515.9
