Tarih,TP_IN_RH2_HALK_DEV_B
2015-09-01,78935.0
2015-10-01,82260.0
2015-11-01,47123.0
2015-12-01,39281.0
2016-01-01,150224.6
2016-02-01,28693.3
2016-03-01,59041.0
2016-04-01,52871.0
2016-05-01,94640.0
2016-06-01,152896.3
2016-07-01,25413.0
2016-08-01,57143.0
2016-09-01,64853.0
2016-10-01,87978.0
2016-11-01,42738.2
2016-12-01,105252.0
2017-01-01,21838.0
2017-02-01,63996.0
2017-03-01,54857.0
2017-04-01,39876.0
2017-05-01,115420.0
2017-06-01,68193.0
2017-07-01,31324.0
2017-08-01,70907.9
2017-09-01,56993.0
2017-10-01,52782.0
2017-11-01,54925.0
2017-12-01,55008.0
2018-01-01,49133.0
2018-02-01,43652.0
2018-03-01,81875.5
2018-04-01,51815.1
2018-05-01,41904.0
2018-06-01,28141.0
2018-07-01,25918.0
2018-08-01,27232.0
2018-09-01,101429.0
2018-10-01,28469.0
2018-11-01,91682.0
2018-12-01,38006.4
2019-01-01,57824.0
2019-02-01,174977.0
2019-03-01,116453.0
2019-04-01,93493.9
2019-05-01,63176.0
2019-06-01,41567.0
2019-07-01,143453.0
2019-08-01,213905.0
2019-09-01,13298.0
2019-10-01,10894.0
2019-11-01,39136.0
2019-12-01,24849.0
2020-01-01,66762.0
2020-02-01,95340.4
2020-03-01,89167.5
2020-04-01,5104.0
2020-05-01,46154.0
2020-06-01,79808.0
2020-07-01,10033.0
2020-08-01,15874.0
2020-09-01,10888.0
2020-10-01,147176.0
2020-11-01,73348.2
2020-12-01,7346.0
2021-01-01,77621.0
2021-02-01,52327.7
2021-03-01,13541.0
2021-04-01,87277.0
2021-05-01,100744.0
2021-06-01,59396.0
2021-07-01,108774.0
2021-08-01,61900.0
2021-09-01,84100.1
2021-10-01,26742.0
2021-11-01,68756.0
2021-12-01,120256.0
2022-01-01,18459.7
2022-02-01,11032.6
2022-03-01,144084.5
2022-04-01,165566.8
2022-05-01,9256.5
2022-06-01,78670.2
2022-07-01,18683.6
2022-08-01,153713.6
2022-09-01,45923.2
2022-10-01,80072.6
2022-11-01,25067.8
2022-12-01,88216.6
2023-01-01,35671.0
2023-02-01,37911.8
2023-03-01,11191.8
2023-04-01,60852.4
2023-05-01,158483.1
2023-06-01,40241.7
2023-07-01,62934.7
2023-08-01,62010.5
2023-09-01,18674.1
2023-10-01,53144.6
2023-11-01,28185.6
2023-12-01,49967.7
2024-01-01,30641.7
2024-02-01,41608.2
2024-03-01,55963.3
2024-04-01,82924.9
2024-05-01,62609.8
2024-06-01,5005.6
2024-07-01,8012.7
2024-08-01,73077.8
2024-09-01,35129.1
2024-10-01,16996.6
2024-11-01,79098.3
2024-12-01,53775.6
2025-01-01,78164.5
2025-02-01,47090.9
2025-03-01,57932.9
2025-04-01,32650.9
2025-05-01,84075.7
2025-06-01,24980.0
